"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1040079","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","A. Cervantes-Maldonado","H. S. Irwin","22866","1969","01","29","South America","Brazil","Minas Gerais","Ca. 17km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.15","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040079","NY01040079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1040078","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","A. Cervantes-Maldonado","H. S. Irwin","20419","1968","02","18","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km. 109 (ca. 134km N. of Belo Horizonte).","-43.4","-18.97","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040078","NY01040078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1040090","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","A. Cervantes-Maldonado","G. G. Hatschbach","36413","1975","02","23","South America","Brazil","Minas Gerais","BR 259, subida Serra do Espinhaço","-43.7406","-18.4544","850","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502222' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040090","NY01040090_01","Gouveia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","246293","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil","Minas Gerais","In saxosis montinum Serra de Lapa",NA,NA,NA,NA,"sheet","Probably Riedel 1023 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246293","NY00246293_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1279905","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.","K. J. Wurdack","T. B. Cavalcanti","CFCR8568","1985","11","22","South America","Brazil","Minas Gerais","Diamantina, estrada para Biri-biri","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01279905","NY01279905_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:38:17-03","EAO","IAN","5047","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll.Arg.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN005047","IAN005047_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:07:26-03","ESALQ","ESA","97614","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.","Cordeiro, I.","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32512.0","2007","02","17",NA,"Brasil","Minas Gerais","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",NA,NA,"680","680",NA,"Arbusto, ca. 60 cm alt.; botões e flores creme.","ESA097614","ESA097614","Santana do Pirapama.",NA,"-43,756,944","-19,005,556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0027321","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","M??ll.Arg.","I. Cordeiro","G. Hatschbach; W. Anderson, R. Barneby, B. Gates","36415","1975","2","23",NA,"Brazil","Minas Gerais","Rod. BR-259, subida Serra do Espinhaco (Mun. Gouveia).","-43.7333","-18.45","850","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-09 15:31:03-03","UNICAMP","UEC","125402","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Müll. Arg.",NA,"Kinoshita, LS; Alencar, ME","00348","2000","11","21",NA,"Brazil","Minas Gerais","Estrada para sede do IBAMA, Serra do Cip","-43.616667","-19.333333","600","700",NA,"ori, Subarbusto ca. 70 cm, frutos imaturos","UEC139771",NA,"Jaboticatubas",NA,"-43.616667","-19.333333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-06 09:55:14-03","UFOP","OUPR","6080","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Bernardia","crassifolia","Bernardia crassifolia","Mull.Arg.","Cordeiro, I.","Schwacke, C.A.W.","7974","1892","03",NA,NA,"Brasil","Minas Gerais","Biribiry","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,"Diamantina",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA
