"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","month","day","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","previousCatalogNumber","fieldNumber","individualCount","relatedCatalogItem"
"1","2016-09-29 18:52:00-03","NY","NYBG","807870","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","C. V. Morton","C. Jürgens","136","1906","South America","Brazil","Rio Grande do Sul","Munic. S. Cruz, Serra do João Rodriguez.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807870","NY00807870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807871","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","C. V. Morton","Mrs. J. Watson Webb","s.n.","1867","South America","Brazil",NA,"Near Rio Janeiro and Bahia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807871","NY00807871_01","(Hedw.) C.V.Morton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3955823","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"J. A. Steyermark","56430","1944","South America","Venezuela","Mérida","Moist rich forest, Quebrada de Los Salichales, tributary of Rio Canagui, southwest of Canaguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244597' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955823","NY03955823_01","(Hedw.) C.V.Morton","05","09","1950","2135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 18:52:00-03","NY","NYBG","807874","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile venustum","C. V. Morton","Mrs. J. Watson Webb","s.n.","1867","South America","Brazil",NA,"Near Rio Janeiro and Bahia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807874","NY00807874_01","(Desv.) C.V.Morton",NA,NA,NA,NA,"venustum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3955824","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"J. A. Steyermark","103496","1970","South America","Venezuela","Lara","Distrito Jiménez: Parque Nacional Yacambú, selva melada a lo largo del río de la Quebrada Cedral, región de El Blanqulto, 17 Kms. SSE de Sanare.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244598' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955824","NY03955824_01","(Hedw.) C.V.Morton","08","06","1660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3955822","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"J. A. Steyermark","56350","1944","South America","Venezuela","Mérida","Between Mucuchachi and Canaguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244596' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955822","NY03955822_01","(Hedw.) C.V.Morton","05","06","1065","1820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 18:45:00-03","NY","NYBG","807867","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","C. V. Morton","A. C. Brade","9573","1929","South America","Brazil","Rio de Janeiro","Rio Paquequer.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807867","NY00807867_01",NA,"10",NA,NA,NA,NA,"Teresópolis","-42.9656","-22.4122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3955820","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"J. A. Steyermark","56429","1944","South America","Venezuela","Mérida","Moist rich forest, Quebrada de Los Salichales tributary of Rio Canaguà, southwest of Canaguà.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244594' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955820","NY03955820_01","(Hedw.) C.V.Morton","05","09","1950","2135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 18:52:00-03","NY","NYBG","807875","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile venustum","C. V. Morton","R. Schmalz","s.n.","1905","South America","Brazil","Santa Catarina",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807875","NY00807875_01","(Desv.) C.V.Morton","03",NA,"800","800","venustum","Joinville","-48.8456","-26.3044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3955819","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"H. H. Smith","2600","1898","South America","Colombia",NA,"Santa Marta. Horgueta Mountains.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244593' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955819","NY03955819_01","(Hedw.) C.V.Morton","12","28","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","807877","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile venustum","C. V. Morton","A. C. Brade","5207","1912","South America","Brazil","São Paulo","Jaraguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807877","NY00807877_01","(Desv.) C.V.Morton","05",NA,NA,NA,"venustum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3955818","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"E. P. Killip","23834","1929","South America","Peru","Junín","East of Quimiri [Kimiri] Bridge, near la Merced","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244592' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955818","NY03955818_01","(Hedw.) C.V.Morton","06","01","800","1300",NA,"Chanchamayo","-75.315489","-11.033671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 01:27:00-03","NY","NYBG","1686477","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"F. B. Matos","1412","2007","South America","Brazil","Bahia","Serra do Corcovado. 9.8 km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1304566' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686477","NY01686477_01",NA,"04","19","750",NA,NA,"Almadina","-39.6033","-14.7058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02316378","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","M. A. Sundue","M. A. Sundue","3345","2012","South America","Colombia","Antioquia","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, camino hacia la mina San Francisco, margen izquierda del río San Francisco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950695' target='other'> <mi>dwc_moreinfo</mi></a>","NY02316378","NY02316378_01","(Hedw.) C.V.Morton","09","11","1700","1750",NA,"Frontino","-76.20836","6.63908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3955813","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"E. P. Killip","7736","1922","South America","Colombia","Cauca","La Gallera, Micay Valley. Cordillera Occidental.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244587' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955813","NY03955813_01","(Hedw.) C.V.Morton","06","29","1500","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3955828","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"H. H. Smith","2600","1898","South America","Colombia",NA,"Santa Marta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244602' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955828","NY03955828_01","(Hedw.) C.V.Morton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3955815","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile",NA,"R. S. Williams","1235","1902","South America","Bolivia",NA,"Cargadira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4244589' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955815","NY03955815_01","(Hedw.) C.V.Morton","07","29","2438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","807872","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","C. V. Morton","A. F. M. Glaziou","6410","1872","South America","Brazil","Rio de Janeiro","Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807872","NY00807872_01","(Hedw.) C.V.Morton","11","30",NA,NA,NA,NA,"-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 18:52:00-03","NY","NYBG","807868","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","fragile","Hymenophyllum fragile","C. V. Morton","A. C. Brade","20612","1929","South America","Brazil","Rio de Janeiro","Pico de Papapagasó.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807868","NY00807868_01",NA,"06","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
