"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:25:34-03","UNESC","CRI","11579","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","A. Stival-Santos","2010","05","31","A. Stival-Santos; E. Legal & S. Silveira","2936","2010","05","31","Brasil","Brasil","Cova da onça.","-48.780833","-27.628889","48º46'51''W","27º37'44''S","236","236","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI008620","CRI008620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:34-03","UNESC","CRI","447","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche, Aurélio José de Aguiar & Jairo Viana de Oliveira Jr.","864","1990","07","13","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004514","CRI004514","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:34-03","UNESC","CRI","12215","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","15","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira",NA,"2016","12","15","Brasil","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S",NA,NA,"Habito: Arbóreo","CRI010396",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:34-03","UNESC","CRI","3234","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1857","1993","04","13","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004702","CRI004702","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:42-03","UNESC","CRI","11811","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Grão Pará","Parque Estadual Serra Furada.","-49.392222","-28.185","49º23'32''W","28º11'6''S","104","104","Floresta Ombrófila Densa Montana Habito: árvore","CRI004716","CRI004716","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:34-03","UNESC","CRI","3127","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","9","1994","05","13","Brasil","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5",NA,"CRI004707","CRI004707","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:34-03","UNESC","CRI","14225","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Verdi, M","2010","04","07","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4264","2010","04","07","Brasil","Armazém","São José dos Macacos/Mineração. São José dos Macacos/Mineração.","-48.959444","-28.2625","48º57'34''W","28º15'45''S","412","412","Florística IFFSC 123 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbustiva; Fruto vermelho;","CRI013367","CRI013367","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:34-03","UNESC","CRI","12229","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Korte. A","2010","06","24","Korte, A; Kniess, A","3511","2010","06","01","Brasil","Vitor Meireles","Serra Cambará.","-49.863056","-26.909722","49º51'47''W","26º54'35''S","587","587","Fruto roxo. Doação Herbário FURB (26693) Habito: Arbustivo","CRI010410",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:44-03","UNESC","CRI","8827","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Vanilde C. Zanette","1998","12","30","Clair M. Martinello; Zenaide P. Topanotti",NA,"1998","12","30","Brasil","Criciúma","Propriedade de João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI004713","CRI004713","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:34-03","UNESC","CRI","5195","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; V. Boff & A. Gozçe.","2346","1996","09","19","Brasil","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,NA,"CRI004709","CRI004709","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:34-03","UNESC","CRI","15213","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Aline Votri Guislon","2018","10","16","Aline V. Guislon; Lucas Oliveira; Felipe Seron, Iara Z. Zanoni",NA,"2018","10","16","Brasil","Criciúma","APA Morro Albino e Esteves. Área L7 Bairro Morro Estevão","-49.351389","-28.740833","49º21'5''W","28º44'27''S","85","85","Interior do fragmento rural em estágio avançado de regeneração natural.","CRI014628","CRI014628","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:42-03","UNESC","CRI","11760","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI004714","CRI004714","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:34-03","UNESC","CRI","12409","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Dreveck, S","2009","10","15","Dreveck, S; Carneiro, FE","1137","2009","10","15","Brasil","São João do Itaperiú","Mantiqueira.","-48.784167","-26.641111","48º47'3''W","26º38'28''S","225","225","Fruto roxo. Doação Herbário FURB (15225) Habito: Arvoreta","CRI010616","CRI010616","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:42-03","UNESC","CRI","5016","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","M. Pirola",NA,NA,NA,"M. Pirola; E. Giacomelli & E. Piazza",NA,"1996","10","23","Brasil","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: arvoreta","CRI004700","CRI004700","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:34-03","UNESC","CRI","3509","PreservedSpecimen","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","Marcos Sobral",NA,NA,NA,"Robson dos Santos","79","1994","06","07","Brasil","Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S","30","30",NA,"CRI004708","CRI004708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
