"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1019214","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","J. E. Meireles","569","2008","01","31","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima. Estrada para o Rio das Flores, antes do Hotel São João.","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019214","NY01019214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 17:47:00-03","NY","NYBG","1098","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana",NA,"A. F. M. Glaziou","6872","1874","02","12","South America","Brazil","Rio de Janeiro","Teresópolis","Theresopolis","-42.986352","-22.417353","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001098","NY00001098_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424328","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","M. R. de V. Barbosa","268","1982","02","13","South America","Brazil","Rio de Janeiro","Resende","Estrada para Mauá, próximo aos Chalés Planalto (9km)","-44.4467","-22.4692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424328","NY00424328_01",NA,"M. C. Vianna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02256169","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","E. A. Goeldi","333[=herb. RB 5733]","1903","02",NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgãos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2423223' target='other'> <mi>dwc_moreinfo</mi></a>","NY02256169","NY02256169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:52-03","UFRJ","RFA","20107","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","P. Occhioni","8715","1979","01","18",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque nacional do Itatiaia, arredores da sede do parque","-44.5633010864258","-22.4960994720459",NA,"Árvore grande de 15 m de altura, flor amarela","RFA51095",NA,NA,"P. Occhioni","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:21:06-03","UFRJ","RFA","26504","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","F. B. Pereira","53/63","2001","01","15",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Serra do Capim","-42.877222","-22.168056",NA,"Árvore, 39m de altura, 73cm de DAP, flores amarelas, comum no local","RFA29927",NA,NA,"C. M. Viana",NA,NA,"2001","12","08","42º52'38''W","22º10'5''S","930","930",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:52-03","UFRJ","RFA","19853","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm.","P. Occhioni","8674","1979","01","15",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, picada do Almirante","-44.5633010864258","-22.4960994720459",NA,"Árvore de 12 a 15 m de altura, flor amarelo vivo","RFA51092",NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:46-03","EAO","IAN","103947","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm. ex Glaz.","Mattos, AF","91","1958","01",NA,"Southern America","Brasil","Rio de Janeiro",NA,"Parque Nacional da Serra dos Órgãos, área do jardim, talhão 18.",NA,NA,NA,"Árvore, cerca de 30m.alt. por 0,40m diam.; flores amarelo-ouro.","IAN103947",NA,NA,NA,NA,NA,"1958","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:50:46-03","EAO","IAN","93856","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm. ex Glaz.","Glaziou, AFM","6872","1907",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN093856",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:50:46-03","EAO","IAN","139534","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Vochysia","schwackeana","Vochysia schwackeana","Warm. ex Glaz.","Heringer, EP","9187","1963","08","10","Southern America","Brasil","Distrito Federal","Brasília","Margem do lago.","-47.9296989440918","-15.7797002792358",NA,"Árvore de 6m; flores amarelas.","IAN139534",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
