"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:12-03","UNESC","CRI","2135","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.","H. Sleumer","1962","12","07","R. M. Klein","3483","1962","12","07","Brasil","Santa Catarina","Caçador","Fazenda Carneiros.","-51.015278","-26.775833","51º0'55''W","26º46'33''S","1100","1100","CRI003833","CRI003833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498466","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","15407","1966","12","13","Brazil","Paraná","Palmas","S. Agostinho","-51.9906","-26.4844",NA,NA,"1000","1000","NY00498466","NY00498466_01","Magnoliophyta","Escalloniales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104513' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498465","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","23099","1969","12","04","Brazil","Paraná","Guarapuava","Entre Rios","-51.4581","-25.3956",NA,NA,NA,NA,"NY00498465","NY00498465_01","Magnoliophyta","Escalloniales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104514' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:36-03","UFRJ","RFA","10503","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.","H. Sleumer",NA,NA,NA,"G.G. Hatschbach","15407","1966","12","13","Brasil","Paraná","Palmas","Santo Agostinho","-51.9906005859375","-26.4841995239258",NA,NA,"1000","1000","RFA40246",NA,NA,NA,NA,NA,"Arbusto 1,5 m de altura; flor vermelha","46666","auto",NA,NA,NA,NA
"5","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870377","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Rambo B",NA,"1951","01","10","Brazil",NA,NA,"SC, Lages, Ad rivum in silvula.",NA,NA,NA,NA,NA,NA,"NL-L1870377","NL-L1870377",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"6","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870371","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Smith LB; Klein RM",NA,"1957","02","02","Brazil",NA,NA,"Santa Catarina, Mun. Mafra: Campo, 10 km west of Tinguí on the road to Mafra.",NA,NA,NA,NA,NA,NA,"NL-L1870371","NL-L1870371",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"7","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870372","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Klein RM",NA,"1962","12","07","Brazil",NA,NA,"Santa Catarina, Fazenda Carneiros, Caçador.",NA,NA,NA,NA,NA,NA,"NL-L1870372","NL-L1870372",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"8","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870373","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Klein RM",NA,"1962","12","07","Brazil",NA,NA,"Santa Catarina, Matos Costa.",NA,NA,NA,NA,NA,NA,"NL-L1870373","NL-L1870373",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870374","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Klein RM",NA,"1962","12","09","Brazil",NA,NA,"Santa Catarina, Matos Costa.",NA,NA,NA,NA,NA,NA,"NL-L1870374","NL-L1870374",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870374 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1870375","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","obtusissima","Escallonia obtusissima","A.St.-Hil.",NA,NA,NA,NA,"Smith LB; Klein RM",NA,"1956","12","07","Brazil",NA,NA,"Santa Catarina, Mun. Mafra: Campo west of Mafra on the road to Barracas.",NA,NA,NA,NA,NA,NA,"NL-L1870375","NL-L1870375",NA,"Escalloniales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1870375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
