"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","376549","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","G. G. Hatschbach","24941","1970","12","14","South America","Brazil","Paraná","Piraquara","Serra do Emboque","-49.0631","-25.4419","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376549","NY00376549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376550","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","J. C. Lindeman","3048","1966","12","15","South America","Brazil","Paraná","Jaguariaíva","By Rio 5 Reis 5 km S of Jaguariaíva","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376550","NY00376550_01","R. C. Forzza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:15-03","UFRJ","RFA","11671","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","G.G. Hatschbach","24941","1970","10","14",NA,"Brasil","Paraná","Piraquara","Serra do Emboque","-49.0633010864258","-25.4416999816895","1100","1100",NA,"Flor zarcão","RFA52152",NA,"L.B. Smith","1971","12577","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:25-03","PUCPR","HUCP","20135","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Ariati, V; Vargas, GR","144","2008","12","14",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"Selusniaki, M",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:25-03","PUCPR","HUCP","20914","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Selusniaki, M; Kersten, RA","2889","2009","10","30",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,"Kersten, RA",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:25:52-03","MN","R","234324","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Kessous, I.M. 331; Pinto, A.R.",NA,"2018","04","25",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"R010052869",NA,"Kessous, I.M.","2018","17116","auto","04","25",NA,NA,NA,NA,NA
"7","2019-02-15 11:35:36-02","IPA","IPA","87731","S","Plantae","Plantae",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Sm.","Silva, J.M.; Barbosa, E.; Barbosa, E.","5067","2006","09","22","Southern America","Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Morro Camapuã, alto do morro, sobre pedra.","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Flor zarcão.","IPA0087731",NA,"Hatschbach, G.","2006","55154","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:46-03","UFJF","CESJ","32876","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B. Smith","J. Cordeiro; et al.","1764","2000","10","24","América do Sul","Brasil","Paraná","Campina Grande","Serra do Ibitiraquire, Morro tucum",NA,NA,NA,NA,NA,"Rupícola, flor alaranjada","CESJ032876",NA,"G. Hatschbach","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-23 15:16:46-03","UTFPR","HCF","15246","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","M.G. Caxambu","5669","2014","10","24",NA,"Brasil","PR","Tibagi","Parque Estadual do Guartelá","-50.251861","-24.578667","1041","1041",NA,"erva rupícola, heliófita, acaule. Flores alaranjadas.",NA,NA,"F. David","2015",NA,NA,NA,NA,"50°15'06,7 W","24°34'43,2 S",NA,NA,NA
"10","2020-12-21 16:19:25-03","MBM","MBM","243887","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Cordeiro, J.; Barboza, E.; Cruz, J.M.; Barboza, E.; Cruz, J.M.","1544","1999","07","01","Southern America","Brazil","Paraná","Campina Grande do Sul","Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM243887","MBM243887","Hatschbach, G.",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:19:25-03","MBM","MBM","254510","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Cordeiro, J.; Barboza, E.; Costa, E.F.; Barboza, E.; Costa, E.F.","1764","2000","10","24","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Morro Tucum","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM254510","MBM254510","Hatschbach, G.",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:19:25-03","MBM","MBM","34059","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","reitzii","Dyckia reitzii","L.B.Sm.","Hatschbach, G.","4177","1957","10","12","Southern America","Brazil","Paraná","Piraquara","Morro Anhangava","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Terrícola.","MBM034059","MBM034059","Smith, L.B.",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
