"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","scientificNameAuthorship","typeStatus","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:25-03","E","E","144555","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","M.Nee & G.Coimbra","36948","1988","11","29","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:153919","<a href=http://data.rbge.org.uk/herb/E00144555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:25-03","E","E","144548","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","L.A.Mattos Silva & T.S.dos Santos","1963","1985","11","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:153926","<a href=http://data.rbge.org.uk/herb/E00144548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:25-03","E","E","212233","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","Ratter, J.A.","605",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:222278","<a href=http://data.rbge.org.uk/herb/E00212233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212233","Est. Do Mato Grosso","Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","133522","PreservedSpecimen","Plantae","Malvaceae","Bombax","heteromorphum","Bombax heteromorphum","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133522","Santa Cruz",NA,"Magnoliophyta","Malvales","Kuntze","holotype","José Miguel de Velasco","200","200","NY00133522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550775","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","W. R. Anderson","9260","1973","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1830726' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550775","Minas Gerais","Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","Magnoliophyta","Malvales","(Mart. & Zucc.) A.Robyns",NA,NA,"520","520","NY01550775_01","-44.83","-15.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 08:18:00-03","NY","NYBG","402504","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","E. Hassler","11240","1912",NA,NA,"South America","Paraguay","sheet",NA,"Lect. mens.: May <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402504",NA,"In altaplanitie Sierra de Amambay",NA,"Malvales",NA,NA,NA,NA,NA,NA,NA,NA,"A. G. M. W. A. Robyns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996785","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","R. C. de Mendonça","3026","1997","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996785","Goiás","Fazenda Engenho; estrada de chão entre Niquelândia e Dois Irmãos a 11 km de Niquelândia (propriedade do Sr. Antonio Ermidio de Morais sob os cuidados da Companhia de Niquel Tocantins, conservada como ârea preservação ambiental da CNT).","Magnoliophyta","Malvales","(Mart. & Zucc.) A.Robyns",NA,"Niquelândia","585","585","NY00996785_01","-48.4611","-14.6008","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2063538","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","D. Sasaki","1599","2007","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500054' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063538","Mato Grosso","Propriedade particular de preservação ambiental delimitada pelo Parque Estadual Cristalino e pelos rios Teles Pires e Cristalino. Próximo à Trilha da Serra.","Magnoliophyta","Malvales","(Mart. & Zucc.) A.Robyns",NA,"Novo Mundo","334",NA,"NY02063538_01","-55.91664","-9.58617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 07:29:00-03","NY","NYBG","402503","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","J. L. Luteyn","13754","1990","05","19","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402503","La Paz","Along rd. ca. 22 km W of Huancanë and 43 km below Unduavi.",NA,"Malvales",NA,NA,"Sud Yungas","1400","1400",NA,"-67.72","-16.43","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1596503","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","longiflorum","Pseudobombax longiflorum","J. L. Zarucchi","2648","1979","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1847958' target='other'> <mi>dwc_moreinfo</mi></a>","NY01596503","Rondônia","Mineraçao Taboca at Massangana (ca. 35 km WSW of Ariquemes)","Magnoliophyta","Malvales","(Mart. & Zucc.) A.Robyns",NA,NA,NA,NA,"NY01596503_01","-63.33","-10.03","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
