"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:42:26-03","E","E","267805","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14754","1994","03","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:278491","<a href=http://data.rbge.org.uk/herb/E00267805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:26-03","E","E","263740","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14754","1994","03","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:273976","<a href=http://data.rbge.org.uk/herb/E00263740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00263740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777279","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","W. W. Thomas","8897","1992","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777279","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Sergipe","Itabaiana","Forest at edge of the Estaçao Ecológica da Serra da Itabaiana, 5 km W of Areia Branca on BR 235 (ca. 41 km W of Aracajú","-37.3889","-10.6875","NY00777279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:45:06-03","UNEB","HUNEB","5732","PreservedSpecimen","Plantae","Scrophulariaceae","Stemodia","foliosa","Stemodia foliosa","Costa, J.","116HRB38089","1998","02","13",NA,"Brasil",NA,NA,NA,"HUNEB0005732","Angiospermae","Florideophycidae","Benth .",NA,"Bahia","Salvador","Stella Maris, Condomínio Petrromar","-38.510799407959","-12.9710998535156",NA,"Dicotyledoneae","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:44:52-03","UNEB","HUNEB","14536","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Santos, S.O.",NA,"2015","01","19",NA,"Brasil",NA,NA,NA,"HUNEB0014536","Angiospermae","Florideophycidae","Benth .",NA,"Bahia","Alagoinhas","UNEB/Campus II, ao lado de meliponário.","-38.4192008972168","-12.1356000900269",NA,"Dicotyledoneae","24621","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:46:56-03","EAO","IAN","79173","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Sobrinho, V","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN079173","Dicotiledônea",NA,"Benth.",NA,"Pernambuco",NA,"De preferência terrenos argilosos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:46:56-03","EAO","IAN","94147","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Glaziou, AFM","s.n.","1881","05","12","Southern America","Brasil",NA,NA,NA,"IAN094147","Dicotiledônea",NA,"Benth.",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:46:56-03","EAO","IAN","137088","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Belém, RP; Pinheiro, RS","3024","1967","01","09","Southern America","Brasil",NA,NA,"Planta de 1m; flores roxas; anteras azuis.","IAN137088","Dicotiledônea",NA,"Benth.","Souza, VC","Bahia","Itacaré","Mata costeira.","-38.9967002868652","-14.2775001525879",NA,NA,"41230","auto","2014","10","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:46:56-03","EAO","IAN","99053","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","foliosa","Stemodia foliosa","Sobrinho, V","s.n.","1936","04","18","Southern America","Brasil",NA,NA,NA,"IAN099053","Dicotiledônea",NA,"Benth.","Sobrinho, V","Pernambuco","Recife","Parque do IPA.","-34.8810997009277","-8.05389022827148",NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-11-22 14:39:15-02","EBDA","BAH","4269","S","Plantae","Scrophulariaceae","Stemodia","foliosa","Stemodia foliosa","Edna L.P.G. de Oliveira","537","1982","11","10",NA,"Brasil",NA,NA,"Erva de flor azul; pouco frequente.IMPORT. PLANTA: Invasora",NA,NA,NA,"Benth.","Vinicius C. Souza","Bahia","Itaberaba","Pasto Caldeirão. Faz. Serra da Monta.","-40.3069","-12.5275",NA,NA,"39857","auto","1988","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
