"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2017-05-17 10:21:00-03","NY","NYBG","02681801","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","R. Engelmann","RE818","2010","07","19","South America","Brazil","Rio de Janeiro","Teresópolis","Trilha do Papudo, próximo à trilha da Pedra do Sino. Parque Nacional da Serra dos Órgãos","-43.023611","-22.456667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944141' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681801","NY02681801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 01:18:00-03","NY","NYBG","1144526","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","L. Sylvestre","1892","2006","12",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Maromba. Estrada para o Planalto.","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144526","NY01144526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 18:48:00-03","NY","NYBG","807287","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","C. Spannagel","175","1907",NA,NA,"South America","Brazil","Santa Catarina","Sao Joaquim",NA,"-49.9317","-28.2942","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807287","NY00807287_01","J. Lellinger","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 23:42:00-03","NY","NYBG","1551368","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","C. M. Mynssen","1193","2010","11","30","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada antes da guarita do planalto","-44.6817","-22.385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1158587' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551368","NY01551368_01","C. M. Mynssen","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017155","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","P. H. Labiak E.","4440","2008","01","10","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida para o Planalto do Itatiaia.","-44.61526","-22.368371","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017155","NY01017155_01","P. H. Labiak E.","2100","2100","(Fée & Glaz.) Copel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 18:01:00-03","NY","NYBG","2063309","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","J. Pereira","148","2008","02","17","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná.","-48.83","-25.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463269' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063309","NY02063309_01",NA,"1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 09:58:49-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","5340","S","Plantae","Tracheophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Máximo F. Morel et al.","119","1990","02","11","América do Sul","Brasil","Rio de Janeiro","PARNA Itatiaia","Estr. para A. Negras, km 12.5.",NA,NA,NA,"Barranco as margens da estrada.",NA,NA,"V. A. de O. Dittrich",NA,NA,"(Fée & Glaz.) Copel.","Polypodiopsida","2003","03",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 09:58:49-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","16255","S","Plantae","Tracheophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","P. G. Windisch","8740","1997","04","27","América do Sul","Brasil","Rio Grande do Sul","São José dos Ausentes","Distr. Silveiras, Pico Montenegro, ca. 1300-1400 m.s.m., coxilhas com campo e formações de araucária.","-50.0657997131348","-28.7483005523682",NA,"Terrestre na mata nebular.",NA,NA,"J. Piton-Serra",NA,NA,"(Fée & Glaz.) Copel.","Polypodiopsida","1998","10","27","42598","auto",NA,NA,NA,NA,NA
"9","2021-04-05 09:58:49-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","6276","S","Plantae","Tracheophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","P. G. Windisch","2914","1980","11","20","América do Sul","Brasil","São Paulo","Campos do Jordão","(Divisa com Pindamonhangaba), São José dos Alpe, ca. 1800 m alt.","-45.5900001525879","-22.7299995422363",NA,"Campo de altitude com capões de mata nebular. Terrestre na matinha nebular.",NA,NA,NA,NA,NA,"(Fée & Glaz.) Copel.","Polypodiopsida",NA,NA,NA,"21048","auto","45°35'","22°45'",NA,NA,NA
"10","2021-04-05 09:58:49-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","1232","S","Plantae","Tracheophyta","Cyatheales","Plagiogyriaceae","Plagiogyria","fialhoi","Plagiogyria fialhoi","Windisch et al.","4991","1987","02","12","América do Sul","Brasil","São Paulo","Campos do Jordão","Estrada de acesso a São José dos Alpes, a ca. 12 km do Horto Florestal","-45.5900001525879","-22.7299995422363",NA,"Mata de altitude, a ca. 1900 m alt. Terrestre na mata.",NA,NA,"B. Ollgaard et Windisch",NA,NA,"(Fée & Glaz.) Copel.","Polypodiopsida","1987","05",NA,"21048","auto","45°35'","22°42'",NA,NA,NA
