"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","class","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414900","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","G. F. J. Pabst","E. P. Heringer","10615","1965","10","06","South America","Brazil","Distrito Federal","Brasília","Cabeçeiras do Veado Brasília, D. F.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414900","NY00414900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414899","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","F. C. Hoehne","A. Gehrt","819","1917","10","30","South America","Brazil","São Paulo","Sao Paulo","Butantan, Sao Paulo","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414899","NY00414899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:44:26-03","UFMG","BHCB","119915","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.",NA,"Batista, JAN; Martins, CAN","2234","2007","11","14","Southern America","Brasil","Minas Gerais","Diamantina","APE Manancial Pau de Fruta, área da COPASA, área a","-43.669556","-18.257333",NA,"Erva terrestre; Campo limpo seco. Solo areno-argiloso, marrom claro. Área anteriormente queimada.","BHCB001171","BHCB001171","2007","11","14","-43.669556","-18.257333","1359","1359",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:26-03","UFMG","BHCB","97499","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.",NA,"Batista, JAN; Pansari, ER","1146A","2001","01","09","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Campo a esquerda da pista na GO-118","-47.5099983215332","-14.1324996948242",NA,"Erva terrestre, em campo limpo permanentemente úmido próximo a mata ciliar inundada. Solo hidromórfico, escuro, instável, em vários pontos com água sobre a superfície. Comum, observados vários exemplares espalhados pelo campo. Pseudobulbos não enterr",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"5","2020-09-02 16:34:44-03","Cenargen","CEN","34432","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","J. A. N. Batista & L. B. Bianchetti","João Aguiar Nogueira Batista","942","1999","10","11",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Chapada dos Veadeiros. 8 km N de Alto Paraíso, na GO-118, em direção a Teresina de Goiás. Em campo úmido a margem direita da pista.","-47.5099983215332","-14.1324996948242","Exsicatas","Erva terrestre, em campo limpo permanentemente úmido. Solo escuro, hidromórfico, com água na superfície. Área anteriormente queimada. Rara; observado somente em pequeno conjunto no local com cerca de 8 plantas em floração. Pseudobulbos não enterrados, parcialmente queimados. Em final de floração. Sépalos e pétalos amarelos pintalgados de vermelho-castanho. Lobos laterais do labelo vermelhos; lobo central amarelo com manchas transversais e a margem vermelhas. Espécie muito rara. É possível que esta seja a segunda coleta da espécie, depois da coleta tipo do material tipo em São Paulo em 1917.","CEN00034432","CEN00034432","1999","10",NA,NA,NA,NA,NA,"44724","auto","1",NA,NA,NA,NA
"6","2020-09-02 16:34:44-03","Cenargen","CEN","37133","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","J. A. N. Batista","João Aguiar Nogueira Batista","1146","2001","01","09",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Chapada dos Veadeiros, Campo a esquerda da pista na GO-118, em direção a Alto Paraíso, cerca de 38 km ao N e antes de Alto Paraíso, na altura do km 204.","-47.5099983215332","-14.1324996948242","Exsicatas","Observado grande numero de plantas com varios frutos em desenvolvimento por inflorescência. o que é pouco comum no gênero, ainda. mais para uma planta com inflorescência simples e poucas flores Coletada para documentar a parte vegetativa e a ocorrência da espécie para o local. Coletadas 3 plantas para cultivo no Cenargen, demais informações na exsicata, Doação Flora do Brasil - Estado de Goiás.","CEN00037133","CEN00037133 CEN00037133_1","2001","01",NA,NA,NA,NA,NA,"44724","auto","1",NA,NA,NA,NA
"7","2020-09-02 16:34:44-03","Cenargen","CEN","37139","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","J. A. N. Batista","João Aguiar Nogueira Batista","1152","2001","01","10",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Chapada dos Veadeiros. Mun. de Alto Paraíso, campo a direita da pista na GO 118 em direção a Teresina de Goiás, ca. de 9 km apos e ao N de Alto Paraíso, na altura do km 176.","-47.5099983215332","-14.1324996948242","Exsicatas","Coletada afim de documentar a parte vegetativa da espécie, coletada uma mudap/ cultivo no Cenargen, exatamente mesmo local de coleta do numero Batista 942, Demais informações na exsicata, Doação Flora do Brasil - Estado de Goiás.","CEN00037139","CEN00037139","2001","01",NA,NA,NA,NA,NA,"44724","auto","1",NA,NA,NA,NA
"8","2020-09-02 16:34:44-03","Cenargen","CEN","94713","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","J. A. N. Batista","João Aguiar Nogueira Batista","2242","2007","11","14",NA,"Brasil","MG","DIAMANTINA","APE Manancial Pau de Fruta, área da COPASA, área a esquerda da pista cerca de 7 km Oeste de Diamantina em direção a Gouveia.","-43.6002998352051","-18.2493991851807","Exsicatas","Área queimada durante a seca. Doação Herbário do Departamento de Botânica ICB - UFMG - Plantas do Brasil - BHCB 119915.","CEN00094713","CEN00094713","2007","11",NA,NA,NA,"1350","1350","101169","auto","1",NA,NA,NA,NA
"9","2019-07-09 12:43:19-03","F","FMNH-SEEDPLANTS","V0436173F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides",NA,NA,"E. P. Heringer","10615","1965","10","6","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0436173F","V0436173F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA
"10","2019-11-21 10:13:06-03","IBt","SP","819","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","lissochiloides","Cyrtopodium lissochiloides","Hoehne & Schltr.","Hoehne, FC","Hoehne, FC","s.n.","1917","10","30",NA,"Brasil","São Paulo","São Paulo","Butantã","-46.6300010681152","-23.5400009155273",NA,"Brejos. Flores amarelas","SP002032","SP002032","1921",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,"Isotype",NA,NA
