"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","kingdom","recordNumber","verbatimLongitude","verbatimLatitude","relatedCatalogItem","phylum","yearIdentified","continentOcean"
"1","2017-01-11 12:46:43-02","MNHN","RECOLNAT_MNHN_P","P00724054","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig","Lourteig","isotype","Bueno, E.A.|Emygdio, Luiz","223","1942","7","18","Brésil","Es, Faz. Camargo, Rio Doce Margem direita","hb","Cat. Geral N.° 37.627 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00724054' target='other'> <mi>dwc_moreinfo</mi></a>","P00724054","P00724054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-06 23:12:12-02","MNHN","RECOLNAT_MNHN_P","P00724055","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig","Lourteig","holotype","Bueno, E.A.|Emygdio, Luiz","223","1942","7","18","Brésil","Es, Faz. Camargo, Rio Doce Margem direita","hb","Cat. Geral N.° 37.627 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00724055' target='other'> <mi>dwc_moreinfo</mi></a>","P00724055","P00724055_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 10:03:43-03","MNHN","RECOLNAT_MNHN_P","P05555554","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig",NA,NA,"Kuhlmann, J.G.","652","1943","11","22","Brasil","Goitacazes, Rio Doce","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05555554' target='other'> <mi>dwc_moreinfo</mi></a>","P05555554","P05555554_01","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 10:03:43-03","MNHN","RECOLNAT_MNHN_P","P05555555","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig",NA,NA,"Santos, T.S.","2043","1971","10","2","Brasil","km 6 a 8 ao lado L; proximo do Vale do rio Doce","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05555555' target='other'> <mi>dwc_moreinfo</mi></a>","P05555555","P05555555_01","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-05 10:03:43-03","MNHN","RECOLNAT_MNHN_P","P05555556","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig",NA,NA,"Santos, T.S.","2043","1971","10","2","Brasil","km 6 a 8 lado L. próximo do Vale do Rio Doce","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05555556' target='other'> <mi>dwc_moreinfo</mi></a>","P05555556","P05555556_01","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-23 12:17:35-03","CEPLAC","CEPEC","7594","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana",NA,"P. Fiaschi","Paratipo","T. S. dos Santos",NA,"1971","10","02","Brasil","Km 6 a 8 ao leste, próximo ao Vale do Rio Doce.",NA,"<ll>dwc_commonname:</ll> Azedinha",NA,NA,"Espírito Santo","LINHARES","-40.0722007751465","-19.3910999298096","48094","auto","Plantae","2043","0W0'0","0S0'0","30/08/2004",NA,NA,NA
"7","2019-11-01 15:07:35-03","UnB","UB","192562","PreservedSpecimen","Oxalidaceae","Oxalis","doceana","Oxalis doceana","Lourteig","Brade, AC","paratype","Kuhlmann, JG",NA,"1943","11","22","Brasil","Goyatacazes, Rio Doce",NA,"ERVA VIVE EM SOCIEDADE, FLORES AMARELAS, FOLHAS AS VEZES PURPÚREAS NA PAGINA DORSAL.",NA,NA,"Espírito Santo",NA,NA,NA,NA,NA,"Plantae","6520",NA,NA,NA,"Dicotyledoneae","1954","Southern America"
