"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified"
"1","2020-02-08 10:23:17-03","NBC","NL-BOTANY","U 0004537","PreservedSpecimen","Plantae","Magnoliopsidae","Rosales","Moraceae","Dorstenia","conceptionis","Dorstenia conceptionis","Carauta","Berg CC","isotype","Brade AC; et al.","1946","05","28","Southern America","Brazil","Espírito Santo","Est. do Espirito Santo - Municipio de Itaguassi - Jatiboca","332684 B","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004537","NL-U0004537",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:38:53-03","UFMG","BHCB","78202","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Dorstenia","conceptionis","Dorstenia conceptionis","Carauta",NA,NA,"Lombardi, JA; Salino, A; Mota, RC da; Carvalho, FA","2003","02","26","Southern America","Brasil","Espírito Santo","Barra de Jatiboca, Fazenda do Stuhr",NA,"Mata pluvial, vale entre morros. Erva, folhas cartáceas, marrom-avermelhadas na face abaxial, recept",NA,NA,"Dicotyledon","5221","Itarana","-40.875301361084","-19.8738994598389","23320","auto",NA
"3","2019-09-04 20:02:02-03","F","FMNH-SEEDPLANTS","V0064372F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Moraceae","Dorstenia","conceptionis","Dorstenia conceptionis",NA,NA,"Isotype","A. C. Brade et al.","1946","5","28","South America","Brazil",NA,NA,NA,NA,"V0064372F","V0064372F_01","Spermatophyta","18461",NA,"-52.8731","-10.8339",NA,NA,NA
"4","2019-11-21 10:10:56-03","IBt","SP","129185","S","Plantae",NA,NA,"Moraceae","Dorstenia","conceptionis","Dorstenia conceptionis","Carauta","Carauta, JPP","Isotype","Brade, AC; Barbosa Pereira, A; Duarte, AP","1946","05","28",NA,"Brasil","Espírito Santo","Jatiboca",NA,NA,"SP001265","SP001265",NA,"18461","Itaguaçu","-40.855598449707","-19.8019008636475","26990","auto","1974"
