"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","typeStatus","eventTime","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","376148","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth","G. T. Prance","Collector info in notes","1837","South America","Brazil","Rio de Janeiro","sheet","Iter brasiliense 1834-38 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376148","NY00376148_01 NY00376148_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423169","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth",NA,"M. Ribeiro","2013","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685395' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423169","NY02423169_01","1152","09","29","Rio de Janeiro","Parque Estadual da Chacrinha. Copacabana. Morro de São João.","-43.1808","-22.9614","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376149","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth","G. T. Prance","Victorio",NA,"South America","Brazil","Rio de Janeiro","sheet","Collection date: 20 jun 1932? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376149","NY00376149_01","1699",NA,NA,"Rio de Janeiro","Gávea. Ponto terminal da linha de bonde","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03066016","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth","M. Ribeiro","C. Baez","2016","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287039' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066016","NY03066016_01","537","03","06","Rio de Janeiro","Cume da Pedra da Gávea. Parque Nacional da Tijuca","-43.2830556","-22.9991666","823","823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02423467","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth","M. Ribeiro","M. Ribeiro","2014","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685352' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423467","NY02423467_01","991","03","12","Rio de Janeiro","Parque Estadual da Chacrinha, Copacabana","-43.1808","-22.9586","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376146","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth","G. T. Prance","A. Castellanos","1963","South America","Brazil","Rio de Janeiro","sheet","Cultivada. Herbarium sheet also at SP. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376146","NY00376146_01","23949","05","27","Rio de Janeiro","Guanabara, Jacarépaguá, perto do Largo da Pechincha","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376147","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Lecythis","rufescens","Lecythis rufescens","(Cambess.) O.Berg",NA,"L. Riedel","1830","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376147","NY00376147_01","357","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:39:30-03","EAO","IAN","137532","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth",NA,"Lanna Sobrinho, JP; Castellanos, A","1963","Southern America","Brasil","Rio de Janeiro",NA,"Culta","IAN137532",NA,"609","05","27","Guanabara","Jacarepagua, pr.Largo do Pechincha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:39:30-03","EAO","IAN","137536","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Couratari","pyramidata","Couratari pyramidata","(Vell.) R.Knuth",NA,"Angeli, C","1963","Southern America","Brasil","Rio de Janeiro",NA,"Árvore de 12m.","IAN137536",NA,"360","08","22","Guanabara","Morro do Querozene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:39:50-03","EAO","IAN","76799","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Lecythis","rufescens","Lecythis rufescens","Berg",NA,"Saint-Hilaire",NA,"Southern America","Brasil",NA,NA,NA,"IAN076799",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
