"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","9982","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","L. A. Funez","2012","08","30","L.A. Funez","834","2012","08","25","Brasil","Santa Catarina","Rodeio","Terreno ao lado do ginásio municipal de esportes.","-49.372222","-26.920833","49º22'20''W","26º55'15''S","84","84","Floresta Ombrófila Densa Habitat: área aberta Habito: erva de base lenhosa","CRI002714","CRI002714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","13590","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","590790","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.",NA,NA,NA,NA,"J. Döbereiner","1721","1982","11","12","Brazil","Rio de Janeiro","Itaguaí",NA,"-43.7753","-22.8522",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590790","NY00590790_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","590787","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","J. W. Grimes",NA,NA,NA,"W. R. Anderson","37072","1972","03","16","Brazil","Bahia","Cocos","5km S of Cocos","-44.5344009399414","-14.1838998794556",NA,NA,"530","530","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590787","NY00590787_01","Magnoliophyta","Fabales","South America","sheet","199742","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590789","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","D. R. Windler",NA,NA,NA,"G. Eiten","5700","1964","08","01","Brazil","São Paulo","Moji-Guaçu","Campos das Setes Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10km NNE of Padua Sales. (About 27km NW of city of Moji-Mirim)","-47.142","-22.242",NA,NA,"575","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590789","NY00590789_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00983615","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","J. W. Grimes",NA,NA,NA,"W. R. Anderson","6821","1973","03","11","Brazil","Goiás","Monte Alegre de Goiás","24 km by road SW of Monte Alegre de Goiás","-47.23","-13.45",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983615","NY00983615_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","590788","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","G. P. Lewis",NA,NA,NA,"G. P. Lewis","992","1981","12","29","Brazil","Bahia","Ilhéus","Area do CEPEC km 22 da Rodovia Ilhéus/Itabuna (BR-415)","-39.22","-14.78",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590788","NY00590788_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","590786","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","G. P. Lewis",NA,NA,NA,"J. Cominote","49","1981","06","23","Brazil","Rio de Janeiro","Rio de Janeiro","Via 9, Pr. Parque Ecológico","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590786","NY00590786_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00983592","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","D. R. Windler",NA,NA,NA,"H. S. Irwin","2134","1958","11","23","Brazil","Minas Gerais",NA,"State Agricultural School, Viçosa.","-42.868031","-20.7613428",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983592","NY00983592_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590785","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","lanceolata","Crotalaria lanceolata","E.Mey.","R. S. Cowan",NA,NA,NA,"S. A. Mori","9269","1978","02","12","Brazil","Bahia","Ilhéus","Area do CEPEC, km 22 rodovia Ilhéus/Itabuna - BR 415","-39.2273659","-14.771874",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=688118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590785","NY00590785_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
