"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2016-09-29 21:57:00-03","NY","NYBG","930510","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","brachysiphon","Ruellia brachysiphon","Richards","6495","1967","09","24","South America","Brazil","Mato Grosso","Claria S.W. of Xavantina (Bar Village Ridge transect).","-52.23","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930510","NY00930510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01059887","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","brachysiphon","Ruellia brachysiphon","R. M. Harley","10126","1968","09","19","South America","Brazil","Mato Grosso","Near Base Camp","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059887","NY01059887_01","(Nees) Lindau","E. A. Tripp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2446999","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","brachysiphon","Ruellia brachysiphon","W. W. Thomas","5642A","1987","12","04","South America","Bolivia","Santa Cruz","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado.","-60.72","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2360824' target='other'> <mi>dwc_moreinfo</mi></a>","NY02446999","NY02446999_01","(Nees) Lindau","J. R. I. Wood","José Miguel de Velasco","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","930512","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","brachysiphon","Ruellia brachysiphon","R. M. Harley","10306","1968","09","28","South America","Brazil","Mato Grosso","R 10, c. 12 km S.W. of base camp. Near Lago de Leo.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930512","NY00930512_01","(Nees) Lindau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","930511","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","brachysiphon","Ruellia brachysiphon","G. C. G. Argent","6683","1967","10","07","South America","Brazil","Mato Grosso","C. 130 km. N. of Ferry, Xavantina.","-52.23","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930511","NY00930511_01","(Nees) Lindau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492388","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","dissitifolia","Ruellia dissitifolia","W. Hoehne","s.n.","1936","11","10","South America","Brazil","São Paulo","Iperó.","-47.68","-23.3503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492388","NY00492388_01","(Nees) Hieron.","C. Ezcurra","Iperó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","492391","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","dissitifolia","Ruellia dissitifolia","H. S. Irwin","32825","1971","03","20","South America","Brazil","Goiás","Ca. 19 km north of Alto do Paraíso.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492391","NY00492391_01","(Nees) Hieron.","D. C. Wasshausen","Alto Paraíso de Goiás","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","492390","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","dissitifolia","Ruellia dissitifolia","H. S. Irwin","6442","1964","09","30","South America","Brazil","Mato Grosso","Disturbed area, Garapú.","-52.57","-13.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492390","NY00492390_01","(Nees) Hieron.","D. C. Wasshausen",NA,"300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","492389","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","dissitifolia","Ruellia dissitifolia","B. D. Sucre","864","1965","10","26","South America","Brazil","Distrito Federal","Cerrado em frente ao Zoobotânico. Campo queimado.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492389","NY00492389_01","(Nees) Hieron.","D. C. Wasshausen","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:56:00-03","NY","NYBG","930495","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","dissitifolia","Ruellia dissitifolia","J. A. Ratter","R.4409","1980","09","15","South America","Brazil","Tocantins","Ilha do Bananal, Parque Nacional do Araguaia (IBDF), nr HQ (c. 2 km from Macaúba)","-50.5","-10.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930495","NY00930495_01",NA,NA,"Pium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
