"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:38:40-03","E","E","212410","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","Buchtien, Otto","8069","1930","06","27","W. Tropical South America","BO","Nord-ynngas, Region von Coripata, Haceinda 'El Choro'.","herbarium specimen of unspecif","BGBASE:226755","<a href=http://data.rbge.org.uk/herb/E00212410 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1462197","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","A. V. de Melo Silva","518","2010","10","05","South America","Brazil","Reserva Biológica da Pedra Talhada. Trilha próxima do alojamento.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551719' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462197","Magnoliophyta","Poales","Cav.","W. W. Thomas","Alagoas","Quebrangulo","-36.4261","-9.2497","741","741","NY01462197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","612428","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","L. P. Xavier","2713","1969","11","04","South America","Brazil","Joao Pessoa. (mata da Cidade Universitária)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612428","Magnoliophyta","Poales","Cav.","W. W. Thomas","Paraíba",NA,"-34.834731","-7.156119",NA,NA,"NY00612428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01201018","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","J. A. Ratter","6177","1988","02","01","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201018","Magnoliophyta","Poales","Cav.","A. C. Araújo","Roraima",NA,NA,NA,NA,NA,"NY01201018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921692","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","M. S. Ferrucci","1130","1997","02","11","South America","Brazil","Igarassu, Refugio Ecologico Charles Darwin","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334593' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921692","Magnoliophyta","Poales","Cav.","W. W. Thomas","Pernambuco",NA,"-34.92","-7.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","612418","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","S. A. Mori","10533","1978","09","14","South America","Brazil","Area de Restinga com algumas manchas de Campos, a 7 Km a NW de Mucuri. Folha SE - 24 (18-40d).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612418","Magnoliophyta","Poales","Cav.","T. M. Koyama","Bahia","Mucuri","-39.5919608","-18.034268",NA,NA,"NY00612418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939375","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","H. S. Irwin","10362","1965","11","16","South America","Brazil","Serra do Rio Preto, ca. 14 km E. of Cabeceiras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939375","Magnoliophyta","Poales","Cav.","A. C. Araújo","Goiás","Cabeceiras","-46.85263","-15.8","1000","1000","NY00939375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00939368","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","G. G. Hatschbach","32383","1973","08","27","South America","Brazil","7 Quedas.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939368","Magnoliophyta","Poales","Cav.","T. M. Koyama","Mato Grosso do Sul","Rio Verde de Mato Grosso","-54.90181","-18.9385",NA,NA,"NY00939368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","518040","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","A. M. Amorim","739","1992","09","15","South America","Brazil","Ca. 43 km na estrada Ilhéus para Una","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00518040","Magnoliophyta","Poales","Cav.","M. Alves","Bahia","Una","-39.0006763","-15.1550087",NA,NA,"NY00518040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","612466","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","L. P. Xavier","s.n.","1947","01","31","South America","Brazil","Saboeiro, Areia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612466","Magnoliophyta","Poales","Cav.","A. C. Araújo","Paraíba",NA,NA,NA,NA,NA,"NY00612466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01201019","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","N. A. Rosa","3562","1979","09","27","South America","Brazil","As proximidades da divisa com a Venezuela, km 11-2 do marco BV-9. Cordilheira Pacaraima.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452188' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201019","Magnoliophyta","Poales","Cav.","N. A. Rosa","Roraima",NA,"-61.526572","4.043111","1049",NA,"NY01201019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","637221","PreservedSpecimen","Plantae","Cyperaceae","Scleria","bracteata","Scleria bracteata","R. A. Pursell","9273","1967","06","12","South America","Venezuela","Mountain slope ca. 7 km n.e. (60° E of N) of Santa Inés.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637221","Magnoliophyta","Poales","Cav.","A. C. Araújo","Monagas",NA,NA,NA,"950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
