"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","558006","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","W. Hoehne","5876","1964","10","26","South America","Brazil","Rio de Janeiro","Guanabara, Barra da Tijoca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558006","NY00558006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684350","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","W. W. Thomas","12003","1999","02","05","South America","Brazil","Bahia","Parque Nacional Monte Pascoal, along road from entrance to visitor's center and road to E side of park.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684350","NY00684350_01","Porto Seguro","-39.415","-16.86722222","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","545521","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","L. A. Mattos Silva","3963","1999","04","15","South America","Brazil","Bahia","Parque Ecotutístico de Una, próximo à REBIO (Reserva Biológica de Una). Zona do Barro Vermelho. Km 6. Margeando o Rio Maruim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545521","NY00545521_01","Una","-39.0753","-15.2933","60","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182626","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","V. de F. Mansano","652","2009","11","24","South America","Brazil","Bahia","Rodovia Ilhéus-Itacaré.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407352' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182626","NY01182626_01","Ilhéus","-39.0689","-14.72094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017240","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","G. M. Barroso","D. S. D. de Araújo","8344","1987","12","10","South America","Brazil","Rio de Janeiro","Sistema de Dunas Dama Branca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202264' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017240","NY01017240_01","Cabo Frio","-42.0183","-22.8794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017242","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","G. M. Barroso","H. C. de Lima","695","1978","09","26","South America","Brazil","Espírito Santo","Reserva Florestal da Cia. Vale do Rio Doce.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017242","NY01017242_01","Linhares","-39.961174","-19.138199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1017241","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","G. G. Hatschbach","60078","1993","11","10","South America","Brazil","Espírito Santo","Ligação rodovia BR-101 a Ponta do Ipiranga, Sede. Mata de Massununga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202314' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017241","NY01017241_01","Sao Mateus","-39.8589","-18.7161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1522496","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. C. Souza","C. Farney","4547","2007","03","01","South America","Brazil","Rio de Janeiro","Praia Seca. Mata de restinga próxima a margem da Lagoa de Araruama, a 3.6 km da Rodovia Amaral Peixoto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522496","NY01522496_01","Araruama","-42.3819","-22.905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2422759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.",NA,"V. C. Souza","32478","2006","11","29","South America","Brazil","Espírito Santo","Estrada entre Marataízes e Piúma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673263' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422759","NY02422759_01","Piúma","-40.7219009399414","-20.8377990722656",NA,NA,"11958","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557891","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bahiensis","Eugenia bahiensis","DC.","M. Sobral","W. Hoehne","5876","1964","10","26","South America","Brazil","Rio de Janeiro","Guanabara; Rio de Janeiro, Barra da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557891","NY00557891_01",NA,"-43.369099","-22.995332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
