"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","yearIdentified","monthIdentified","barcode","phylum","dayIdentified","coordinatePrecision","geoFlag","individualCount","order","class","imagecode"
"1","2021-02-19 11:27:03-03","UEMA","HABIT","1319","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","D.F. PERALTA","D.L.Medeiros & G.M.Conceição","156","2015","05","02","Brasil","MA","Caxias","Povoado Buriti Corrente","-43.656075","-4.7541388","-43.656075","-4.7541388","72","72","Ambiente: Cerrado, Substrato: Terrícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-22 11:15:59-03","UEMA","HABIT","0806","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","D.F. PERALTA","D.L.Medeiros & G.M.Conceição","380","2015","05","02","Brasil","MA","Caxias","Povoado Buriti Corrente","-43.655249","-4.754443","-43.655249","-4.754443","72","72","Ambiente: Cerrado, Substrato: Terrícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:05:47-03","UFBA","ALCB","119322","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","Santos, IAM","Santos, IAM","07","2015","01","16","Brasil","Bahia","Ruy Barbosa","Serra do Orobó, trilha para o Pátio das Orquídeas.","-40.486944","-12.299722","-40.486944","-12.299722","100","522",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:05:47-03","UFBA","ALCB","119381","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","Vilas Bôas-Bastos, SB","Sara, A","12","2015","01","16","Brasil","Bahia","Ruy Barbosa","Serra do Orobó, trilha para o Pátio das Orquídeas.","-40.486944","-12.299722","-40.486944","-12.299722","100","522",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:05:47-03","UFBA","ALCB","119573","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","Vilas Bôas-Bastos, SB","Santos, IAM","65","2015","01","18","Brasil","Bahia","Itaberaba","Serra do Orobó, Fazenda Gameleira, após a Fazenda Monte Verde","-40.535833","-12.408333","-40.535833","-12.408333","100","752",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:05:47-03","UFBA","ALCB","119684-A","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.","Bastos, C","Freitas, R de","31","2015","01","17","Brasil","Bahia","Ruy Barbosa","Serra do Orobó, trilha para o alto da Serra","-40.484722","-12.302778","-40.484722","-12.302778","100","545",NA,"Southern America","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:05:47-03","UFBA","ALCB","34314","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.",NA,"Bastos, C","1140","1998","05","21","Brasil","Bahia","Camaçari",NA,"-38.324167","-12.6975","-38.324167","-12.6975",NA,NA,"arenícolo","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:05:47-03","UFBA","ALCB","51019","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M.Schust.",NA,"Bastos, C","2737","2001","05","12","Brasil","Bahia","Camaçari",NA,"-38.324167","-12.6975","-38.324167","-12.6975",NA,NA,"terrícolo","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 12:06:23-03","IAP","PACA-BRYOPHYTES","117203","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schuster","Peralta, D. F.","Vital, D.M.","4832","1974","11","06","Brasil","SP","Itirapina",NA,"-47.8225","-22.252778","47º49'21W","22º15'10S","770","770","sp126677 Habitat: on turfoos soil on borders of a small stream",NA,"2017","12","PACA117203",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200840","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","832","2013","06","15","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.704722","-22.601389","-43.704722","-22.601389","85","85","Sobre solo/barranco",NA,"2019","11","BHCB200840",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200827","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","817","2013","06","15","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.705278","-22.601667","-43.705278","-22.601667","100","100","Sobre tronco morto",NA,"2019","11","BHCB200827",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200841","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","833","2013","06","15","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.704722","-22.601389","-43.704722","-22.601389","85","85","Sobre base de caule de bambu",NA,"2019","11","BHCB200841",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200847","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","839","2013","06","15","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.704444","-22.610278","-43.704444","-22.610278","96","96","Sobre tronco vivo",NA,"2019","11","BHCB200847",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200775","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","763","2013","06","14","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.704167","-22.595278","-43.704167","-22.595278","198","198","Sobre tronco morto",NA,"2019","11","BHCB200775",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-19 10:16:00-03","UFMG","BHCB-BRYOPHYTA","200849","PreservedSpecimen","Plantae","Cephaloziellaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","Maciel-Silva, AS; Araújo, CAT; Oliveira, MF","Maciel-Silva, AS; Knupp, RO; Feitosa, SS","841","2013","06","15","Brasil","Rio de Janeiro","Paracambi","Parque Natural Municipal Curió","-43.704444","-22.610278","-43.704444","-22.610278","96","96","Sobre tronco vivo",NA,"2019","11","BHCB200849",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:49:51-03","UFJF","CESJ","70603","PreservedSpecimen","Plantae","Cephaloziaceae","Cylindrocolea","rhizantha","Cylindrocolea rhizantha","(Mont.) R.M. Schust.","D.F. Peralta","D.M. Vital","4832","1974","11","06","Brasil","São Paulo","Itirapina",NA,"-47.492222","-22.151111","-47.492222","-22.151111","770","770","On turfoos soil on borders of a small stream, duplicata SP126677","América do Sul","2017","12","CESJ070603","Hepática",NA,NA,NA,NA,NA,NA,NA
"17","2019-05-02 10:52:45-03","IBt","SP-BRYOPHYTA","121954","S","Plantae","Cephaloziellaceae","Cylindrocolea","obtusifolia","Cylindrocolea obtusifolia","Fulford","Giancotti, C.","Vital, D.M.","3083","1974","04","23","BRASIL","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.636111","-23.5475","-46.636111","-23.5475","760","760","On swampy ground covered with a low grass vegetation (mixed with a moss and Symphyogyna sp)","Southern America","1990","04","SP065563",NA,"26",NA,NA,NA,NA,NA,NA
"18","2019-05-02 10:52:45-03","IBt","SP-BRYOPHYTA","121958","S","Plantae","Cephaloziellaceae","Cylindrocolea","obtusifolia","Cylindrocolea obtusifolia","Fulford","Giancotti, C.","Vital, D.M.","3087","1974","04","30","BRASIL","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.636111","-23.5475","-46.636111","-23.5475","760","760","associado a Drepanolejeunea sabalina. Growing in shade on a rotten trunk laying on the floor of a humid secondary forest along a stream","Southern America","1990","04","SP065567",NA,"27",NA,NA,NA,NA,NA,NA
