"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","559653","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","A. C. Brade","18859","1948","02","16","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559653","NY00559653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559660","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","A. C. Brade","18399","1946","05","23","South America","Brazil","Espírito Santo","Itaguaçu","Santa Maria","-40.8556","-19.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559660","NY00559660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559648","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","R. Callejas Posada","P. J. M. Maas","3252","1977","10","16","South America","Brazil","Rio de Janeiro","Petrópolis","Serra da Estrela","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559648","NY00559648_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559658","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","G. G. Hatschbach","4073","1957","08","25","South America","Brazil","Paraná","Morretes","Grota Funda","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559658","NY00559658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559670","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","R. Callejas Posada","G. G. Hatschbach","22457","1969","10","15","South America","Brazil","Paraná","Guaraqueçaba","Fazenda Abobreira","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559670","NY00559670_01","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","559656","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","C. A. W. Schwacke","s.n.","1889","04","20","South America","Brazil","São Paulo","Moji das Cruzes","Mogy das Crujes","-46.1883010864258","-23.5228004455566","sheet","probably [coll. no.] 6607 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559656","NY00559656_01",NA,NA,"28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559664","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.",NA,"C. F. P. von Martius","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Hab. in arboribus repens prope Mandioccam",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559664","NY00559664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559659","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","G. G. Hatschbach","6701","1960","01","22","South America","Brazil","Paraná","Campina Grande do Sul","Ribeirao do Mundéo","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559659","NY00559659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","559669","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.",NA,"C. A. W. Schwacke","83IV","1884","06","20","South America","Brazil","Santa Catarina","Blumenau","Blumenau","-49.0658","-26.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559669","NY00559669_01 NY00559669_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","559654","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","C. W. Mosén","2570","1874","09","20","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado, Painciras","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559654","NY00559654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","559655","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","pseudoestrellensis","Peperomia pseudoestrellensis","C.DC.","T. G. Yuncker","A. J. de Sampaio","1730","1917","03","14","South America","Brazil","Rio de Janeiro","Teresópolis","Teresopolis","-42.986352","-22.417353","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559655","NY00559655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
