"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:38:39-03","E","E","195620","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Fiebrig, K.","5349","1908","01","10","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:199924","<a href=http://data.rbge.org.uk/herb/E00195620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","195619","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Fiebrig, K.","5349","1908","01","10","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:199925","<a href=http://data.rbge.org.uk/herb/E00195619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:38-03","E","E","195614","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","Shepherd, G.J., de Andrade, J.B. & Monteiro, R.","4090","1976","12","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:199931","<a href=http://data.rbge.org.uk/herb/E00195614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-08 14:15:00-02","NY","NYBG","1758993","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","A. P. do N. Prata","2264","2010","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758993","Magnoliophyta","Poales","A. P. do N. Prata","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Fonte do Boi.","-37.4197","-11.395","NY01758993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622413","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","R. M. Harley","20029","1977","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622413","Magnoliophyta","Poales","M. H. Nee","Bahia",NA,"Ca. 0.5 km. SW of Jussiape by the Rio de Contas, on the road to Marcolino Moura. Serra do Rio de Contas.","-41.62","-13.52",NA,"(Roxb.) Schult.","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","622415","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","S. Tsugaru","B-2176","1987","11","22","South America","Brazil","sheet",NA,"EX Herb. Oomoto Kameyama Botanical Garden <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622415","Magnoliophyta","Poales","M. H. Nee","São Paulo","Tanabi","Near Cargo do Meio, 50 km NW from Sao José do Rio Preto.","-49.6397","-20.6203",NA,"(Roxb.) Schult.","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:54:00-03","NY","NYBG","568771","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","M. Alves","1793","1999","01","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568771","Magnoliophyta","Poales","M. Alves","São Paulo","Peruíbe","Estaçao Ecológica Juréia-Itains, trilha para Cachoeira do Rio Verde.","-46.99","-24.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02618581","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","T. M. Koyama","13704","1970","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2921911' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618581","Magnoliophyta","Poales",NA,"Minas Gerais",NA,"Road between Varginha to Eloi Mendes.",NA,NA,"NY02618581_01","(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622416","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","L. A. Mattos Silva","942","1980","07","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622416","Magnoliophyta","Poales",NA,"Bahia","Belmonte","Km 60 a 68 da Rodovia Itapebi/Belmonte, 18 a 24 km a leste de Barrolândia.","-39.0839374","-16.0118337",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","622414","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","acutangula","Eleocharis acutangula","T. M. Koyama","13760","1970","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622414","Magnoliophyta","Poales","M. S. González-Elizondo","São Paulo",NA,"Road between Pres. Prudente and Pres. Bernardes.","-51.482655","-22.091838",NA,"(Roxb.) Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
