"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","imagecode","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:55-03","UNESC","CRI","15339","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","L.","Isadora Zapelini & José T. Pires","2020","09","03","Alexandre Medeiros","2017","10","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.584444","-27.028889","48º35'4''W","27º1'44''S","Coleta 591.","CRI014756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","309549","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","L.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","05","08","Bolivia","Santa Cruz","Florida","Along highway from Santa Cruz to Samaipata, 2 km (by road) SE of Bermejo, gorge of Río Bermejo.","-63.62","-18.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309549","Magnoliophyta","Poales","49225","South America","875","875","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","298854","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","L.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","02","22","Bolivia","Santa Cruz","Sara","Along highway from Portachuelo to Guabirá (and Montero), 2 km E of Portachuelo.","-63.37","-17.35",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298854","Magnoliophyta","Poales","48429","South America","280","280","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:00-03","EAO","IAN","111929","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","Georgi",NA,NA,NA,NA,"Edwin, A","1950","03","17","Paraguai",NA,NA,"Assuncion: Ita. Sandy loam, open roadside.",NA,NA,NA,NA,"Erect, colony.","IAN111929","Monocotiledônea",NA,"1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:00-03","EAO","IAN","44777","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","Georgi",NA,NA,NA,NA,"Black, GA","1937","09","11","Estados Unidos","Califórnia",NA,"Suisum, brajo.",NA,NA,NA,NA,NA,"IAN044777","Monocotiledônea",NA,"4111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:00-03","EAO","IAN","65199","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","Georgi","Kuhlmann, M",NA,NA,NA,"sc",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN065199","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:53:00-03","EAO","IAN","65557","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","Georgi",NA,NA,NA,NA,"sc",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN065557","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:00-03","EAO","IAN","66941","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","Georgi",NA,NA,NA,NA,"sc",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN066941","Monocotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:39-03","PUCPR","HUCP","15124","S","Plantae","Poaceae","Arundo","donax","Arundo donax","Beauv., P. ex Ledeb.","Kaminski, N",NA,NA,NA,"Libsch, D","2001","03","08","Brasil","Paraná","Curitiba","Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00006759","Monocotiledonea",NA,"202",NA,NA,NA,NA,"25180","HUCP00006759","auto",NA,NA,NA,NA,NA
"10","2019-12-04 15:26:39-03","PUCPR","HUCP","14884","S","Plantae","Poaceae","Arundo","donax","Arundo donax","Beauv., P. ex Ledeb.","Guimarães, FC",NA,NA,NA,"Nogaroli, RL","2002","02","25","Brasil","Paraná","Curitiba","Prado Velho, PUC.","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00006811","Monocotiledonea",NA,"016",NA,NA,NA,NA,"25180","HUCP00006811","auto",NA,NA,NA,NA,NA
"11","2019-10-09 11:28:49-03","UFBA","ALCB","005192","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","L.","Pinto, GCP","1953","12",NA,"Pinto, GCP","1953","03",NA,"Brasil","Bahia","Cruz das Almas","Recôncavo Sul","-39.1","-12.666667","-39.1","-12.666667",NA,"ALCB020669","Monocotyledon",NA,"53-68","Southern America",NA,NA,NA,NA,"ALCB020669",NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:28:49-03","UFBA","ALCB","05191","PreservedSpecimen","Plantae","Poaceae","Arundo","donax","Arundo donax","L.","Silva, C","2010","11","25","Inolers, R",NA,NA,NA,"Iraque",NA,NA,"Local da antiga cidade da Babilônia.",NA,NA,NA,NA,"Coletada sobre o banco de um reservatório de água. Doada pelo Industry and Productivity Program.","ALCB020668","Monocotyledon",NA,"s/n",NA,NA,NA,NA,NA,"ALCB020668",NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:16:15-03","NBC","NL-BOTANY","L.1217351","PreservedSpecimen","Plantae","Gramineae","Arundo","donax","Arundo donax","L.",NA,NA,NA,NA,"Hassler E","1913","01","01","Paraguay",NA,NA,"PARAGUARIA CENTRALIS: In region lacus Ypacaray.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1217351 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1217351",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"NL-L1217351",NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2020-02-08 10:16:15-03","NBC","NL-BOTANY","U.1493100","PreservedSpecimen","Plantae","Gramineae","Arundo","donax","Arundo donax","L.","Judziewicz EJ","2006","04","01","Oldenburger FHF; Mecenas VV","1975","09","24","Brazil","Distrito Federal",NA,"D.F. BrasÝlia, University Campus.",NA,NA,NA,NA,"Cerrado<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1493100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1493100",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"NL-U1493100",NA,"Magnoliopsidae","U 0123500",NA,NA,NA
