"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","393966","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","S. R. Hill","B. Rambo","43258","1949","09","05","South America","Brazil","Rio Grande do Sul","Estación Azevedo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393966","NY00393966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522323","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","S. R. Hill","B. Rambo","43258","1949","09","05","South America","Brazil","Rio Grande do Sul","Estación Azevedo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522323","NY01522323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1365148","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"A. F. Regnell","Ser. III,164",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701888' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365148","NY01365148_01","isolectotype","Caldas","-46.3861","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550945","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","S. R. Hill","J. E. Leite","587","1941","12",NA,"South America","Brazil","Rio Grande do Sul","Juxta cacumen Sapucaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838411' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550945","NY01550945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 08:18:00-03","NY","NYBG","393967","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa",NA,"S. R. Hill","E. Schwindt","2260","1949","10","24","South America","Argentina","Misiones","Dep. Iguazu: Eldorado - Zona de Schwelm","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:09:20-03","UNESP-IBB","BOTU","22110","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Bicudo, L.R.H.","89","1998","10","13",NA,"Brasil","São Paulo",NA,NA,"Mata de galeria, 1,5 m de altura, epicálice verde, cálice verde, corola amarela com base internamente vermelha, andróforo amarelo, sem odor","BOTU022110",NA,NA,"Panorama","-51.856667","-21.347222","51°51'24w","21°20'50s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:09:20-03","UNESP-IBB","BOTU","22109","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Bicudo, L.R.H.","5","1998","10","12",NA,"Brasil","São Paulo",NA,NA,"Brejo, arbusto , 1,5 m de altura, epicálice verde, cálice verde, corola amarelo-ouro, base interna da pétala avermelhada, andróforo amarelo, sem odor","BOTU022109",NA,NA,"Castilho","-51.613889","-20.786389","51°36'50w","20°47'11s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:43:49-03","EAO","IAN","37453","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","Takeuchi, C","Viégas, AP","8198","1947","05","02","Southern America","Brasil","São Paulo","Alto do Aracaiaba.",NA,"Herbáceo.","IAN037453","IAN037453 IAN037453_e",NA,"Ipanema",NA,NA,NA,NA,"2015","08","05",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1364870","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Woolston AL",NA,"1953","01","01","Southern America","Paraguay",NA,"Depto. San Pedro, Alto Paraguay: Primavera.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1364870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1364870","NL-U1364870",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1364871","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.",NA,"Woolston AL",NA,"1969","09","06","Southern America","Paraguay",NA,"Depto. San Pedro, Alto Paraguay. Primavera.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1364871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1364871","NL-U1364871",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:12:50-03","ESALQ","ESA","1514","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa",NA,"Killip, E.P.","Santoro, J.",NA,"1936","05","13",NA,"Brasil","São Paulo",NA,NA,NA,"ESA001514","ESA001514",NA,"Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA
"12","2020-11-04 11:12:50-03","ESALQ","ESA","39900","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa",NA,NA,"Grotta, A.S.",NA,"1955","01","30",NA,"Brasil","São Paulo",NA,NA,NA,"ESA039900","ESA039900",NA,"Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA
"13","2020-11-04 11:12:50-03","ESALQ","ESA","36261","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa",NA,"Krapovickas, A.","Rozza, A.F.","178.0","1996","01","08",NA,"Brasil","São Paulo",NA,NA,NA,"ESA036261","ESA036261",NA,"Matão","-48.3600006103516","-21.6000003814697",NA,NA,NA,NA,NA,NA,"26922","auto",NA,NA,NA,NA
"14","2015-07-02 14:02:42-03","JBP","HPL","3962","S","Plantae",NA,NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K.Schum.","G.L. Esteves","H. Lorenzi","2155","2000","01","16",NA,"Brasil","SP","Coletada em terreno baldio, daninha.",NA,NA,NA,NA,NA,"Piracicaba","-47.64","-22.72",NA,NA,"2001","04","01",NA,"44778","auto",NA,NA,NA,NA
"15","2019-07-26 11:40:36-03","IPA","IPA","62920","S","Plantae","Plantae",NA,"Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.",NA,"Grotta, A.S.","62920","1955","01","30","Southern America","Brasil","São Paulo","Vila Estanislau.",NA,"Herbáceo; flores amarelas pequenas.","IPA0062920",NA,NA,"Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA
"16","2019-08-27 13:30:51-03","IAP","PACA-AGP","42610","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","07","18",NA,"Brasil","RS","Pareci",NA,"Habitat: Ad viam ferream in arenosis dumetosis Fenofase: flor e fruto","PACA042610",NA,NA,"Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"1954","08","22","Magnoliatae","21601","auto",NA,NA,NA,NA
"17","2019-08-27 13:30:51-03","IAP","PACA-AGP","44811","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1949","12","18",NA,"Brasil","RS",NA,NA,"Habitat: In campestribus dumetosis Fenofase: flor","PACA044811",NA,NA,"São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"1954","08","22","Magnoliatae","76715","auto",NA,NA,NA,NA
"18","2019-08-27 13:30:51-03","IAP","PACA-AGP","84706","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","B. Rambo","Sehnem, A.",NA,"1960","06","05",NA,"Brasil","RS","ad flumen Rio dos Sinos",NA,"7668 ASSL Habitat: herba ad viam","PACA084706",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,NA,"Magnoliatae","10287","auto",NA,NA,NA,NA
"19","2019-08-27 13:30:51-03","IAP","PACA-AGP","1324","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","pilosa","Gaya pilosa","K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1922","12","05",NA,"Brasil","RS","ad montem Sapucaia",NA,"Habitat: In silvula campestri Fenofase: flor e fruto","PACA001324",NA,NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"1954","08","22","Magnoliatae","10287","auto",NA,NA,NA,NA
