"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","catalogNumber","barcode","imagecode","county","locality","coordinatePrecision","occurrenceRemarks","geoFlag"
"1","2019-09-04 17:57:44-03","F","FMNH-PTERIDOPHYTES","PreservedSpecimen","Plantae","Pteridophyta","Pteridopsida","Polypodiales","Dryopteridaceae","Dryopteris","cutiataensis","Dryopteris cutiataensis","Brade","A. C. Brade","Isotype","A. C. Brade","16275","1940","5","12","South America","Brazil","Rio de Janeiro","-42.5","-22",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-04 17:57:44-03","F","FMNH-PTERIDOPHYTES","PreservedSpecimen","Plantae","Pteridophyta","Pteridopsida","Polypodiales","Dryopteridaceae","Dryopteris","cutiataensis","Dryopteris cutiataensis","Brade",NA,"Isotype","A. C. Brade","16275","1940","5","12","South America","Brazil","Rio de Janeiro","-42.5","-22","V0075964F","V0075964F","V0075964F_01",NA,NA,NA,NA,NA
"3","2018-10-04 14:37:33-03","F","FMNH-PTERIDOPHYTES","PreservedSpecimen","Plantae","Pteridophyta","Pteridopsida","Polypodiales","Thelypteridaceae","Thelypteris","cutiataensis","Thelypteris cutiataensis","(Brade) Salino","A. Salino",NA,"Brade","16275","1940","5","12","South America","Brazil",NA,"-52.8731","-10.8339","C0670998F","C0670998F","C0670998F_01",NA,NA,NA,NA,NA
"4","2021-01-12 15:25:11-03","UFMG","BHCB-SL","PreservedSpecimen","Plantae",NA,NA,NA,"Thelypteridaceae","Goniopteris","cutiataensis","Goniopteris cutiataensis","(Brade) Brade","Salino, A",NA,"Salino, A","2563","1996","02","07","América","Brasil","São Paulo","-45.0699996948242","-23.4300003051758","31592","BHCB001732","BHCB001732","Ubatuba","Parque Estadual da Ilha de Anchieta; estrada que p","34265","Terrestre, interior de floresta","auto"
