"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","identifiedBy","preparationType","coordinatePrecision","geoFlag"
"1","2016-02-02 14:38:14-02","BGBM","B","B 10 0367060","S","Plantae","Gramineae","Gymnopogon","rigidus","Gymnopogon rigidus","Döll","type","Warming","Middle and South America","Brazil","In campis ad Lagoa Santa.","<a href=http://herbarium.bgbm.org/object/B100367060 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100367060","B100367060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:45:06-03","UFMG","BHCB","181849","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Brina, AE","Southern America","Brasil",NA,"Erva; Canga Nebular","BHCB038857","BHCB038857","Monocotyledon","s.n.","2015","01","28","Minas Gerais","Itabirito","-43.9275","-20.426111","-43.9275","-20.426111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:45:06-03","UFMG","BHCB","188035","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Meyer, PB; Paula, NL de","Southern America","Brasil","Serra das Serrinhas, Próximo à Estação Ecológica de Aredes. Sinclinal Moeda.","Erva terrícola com aproximadamente 70 cm, com colmos ascendente-eretos, prostrados. Porção ligular vinácea. Cerca de aproximadamente 15 indivíduos restritos a uma área de aproximadamente 100m².; Transição entre Cerrado e Canga Nodular","BHCB188035","BHCB188035","Monocotyledon","3029","2017","03","09","Minas Gerais","Itabirito","-44.517314","-20.510931","-44.517314","-20.510931","2017","03","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:45:06-03","UFMG","BHCB","183261","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Meyer, PB; Mendes, MS","Southern America","Brasil","Estação Ecológica de Aredes, Próximo à Estação","Erva terrícola com aproximadamente 60 cm; Meia encosta úmida em canga nodular","BHCB039403","BHCB039403","Monocotyledon","3001","2013","01","31","Minas Gerais","Itabirito","-43.910833","-20.303633","-43.910833","-20.303633",NA,NA,NA,"1238","1238",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:45:06-03","UFMG","BHCB","190494","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Meyer, PB; Brina, AE; Mendes, MS","Southern America","Brasil","Fazenda Retiro José Pereira, Fazenda de propiedade da Vale S.A.","Perene, nativa e restrita ao cerrado brasileiro nos estados de Minas Gerais, Goiás e Distrito Federal.; Campo sujo em baixada úmida.","BHCB190494","BHCB190494","Monocotyledon","3127","2018","01","23","Minas Gerais","Rio Acima","-43.746667","-20.125278","-43.746667","-20.125278","2018","01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2489464","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","rigidus","Gymnopogon rigidus","Döll","Type collection","E. Warming","South America - Neotropics","Brazil","Lago Santa [?].","Fragmentary material of type specimen ex herb. Freeburg.","US01231931","US01231931_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales","1",NA,NA,NA,NA
"7","2020-09-02 16:36:38-03","Cenargen","CEN","109872","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"A. S. Quaresma",NA,"Brasil","RPPN Córrego Seco","Espécie criticament ameaçada segundo o MMA 2014,Doação Universidade Federal de Minas Gerais - BHCB 190275.","CEN00109872",NA,NA,"857","2018","05","14","MG","ITABIRITO","-43.881111","-20.270555","-43.881111","-20.270555","2018","05",NA,"1392","1392",NA,NA,"1","A. S. Quaresma","Exsicatas",NA,NA
"8","2020-09-02 16:36:38-03","Cenargen","CEN","24762","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Regina Célia Oliveira",NA,"Brasil","Parque Nacional de Brasília, 1,5 km do centro de visitantes.","Indivíduo em pequenas populações isoladas.","CEN00024762","CEN00024762",NA,"266","1994","04","18","DF","BRASILIA","-47.933333","-15.583333","-47.933333","-15.583333","2014","08",NA,"1020","1020",NA,NA,"4","J. F. M. Valls","Exsicatas",NA,NA
"9","2020-09-02 16:36:38-03","Cenargen","CEN","64736","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"Carlos Romero Martins",NA,"Brasil","Parque Nacional de Brasília, transição entre a cascalheira do entroncamento e o cerrado.",NA,"CEN00064736","CEN00064736",NA,NA,"2007","05","00","DF","BRASILIA","-47.934166","-15.7375","-47.934166","-15.7375","2007","05",NA,"106","106",NA,NA,"2","C. R. Martins","Exsicatas",NA,NA
"10","2020-09-02 16:36:38-03","Cenargen","CEN","89829","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","doellii","Gymnopogon doellii","Boechat & Valls",NA,"José Francisco Montenegro Valls",NA,"Brasil","Setor de mansões do Lago Norte.","Colmos ascendente-eretos e base delicada. Bainhas imbricadas e lâminas plano-acanaladas em ângulo de 45 graus com colmo. Região ligular arroxeada. Só duas plantas muito próximas vistas no local, e apenas uma delas florescida.","CEN00089829","CEN00089829",NA,"12095","1989","03","18","DF","BRASILIA","-47.9296989440918","-15.7797002792358",NA,NA,"1989","03",NA,"1010","1010",NA,NA,"1","J. F. M. Valls","Unicata","70570","auto"
