"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","class","county","occurrenceRemarks","fieldNumber"
"1","2020-08-31 09:11:56-03","INPA","INPA","84683","S","Plantae","Dicotyledon Magnoliids","Magnoliales","Annonaceae","Annona","burchellii","Annona burchellii","R.E.Fr.","Rooden, J van","Irwin, HS","34800","1972","01","22","Southern America","Brasil","Goiás","Cerca de 14 km S of Niquelândia.","-48.726039","-14.955294","-48.726039","-14.955294","INPA0084683","INPA0084683 INPA0084683_e",NA,NA,NA,NA
"2","2019-10-07 09:23:12-03","UEFS","HUEFS","188610","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Annona","burchellii","Annona burchellii","R.E.Fr.",NA,"Matos, E.N.de","1640","2011","12","11",NA,"Brasil","Bahia","Mata do Rodrigo","-39.1725","-17.656944","39W10'21''","17S39'25''","HUEFS0188610","HUEFS0188610","Magnolianae","Caravelas","Restinga. Floresta.",NA
"3","2018-05-14 16:02:01-03","F","FMNH-SEEDPLANTS","V0232159F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Annonaceae","Annona","burchellii","Annona burchellii",NA,"RRC ID Flag","H. S. Irwin","34800","1972","1","22","South America","Brazil","Goiás",NA,"-48","-12",NA,NA,"V0232159F","V0232159F_01 V0232159F_02","Dicotyledoneae",NA,NA,"34800"
