"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","stateProvince","locality","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet","relatedCatalogItem"
"1","2021-04-05 14:25:18-03","UNESC","CRI","2161","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","S. F. Smith","R. M. Klein","1963","10","31","Brasil","Brasil","-50.580278","-27.663611","50º34'49''W","27º39'49''S","950","950","CRI002931","CRI002931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","10222","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","J. Cordeiro","M. G. Caxambu; E.L. Siqueira","2009","10","16","Brasil","Ponta Grossa","-49.9684","-25.172567","49º58'104''W","25º10'354''S","866","866","CRI002936","CRI002936","2710","Paraná","Buraco do Padre.","Estepe (campos gerais) Habito: arbusto heliófito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","6845","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","S. F. Smith","R. M. Klein","1963","10","31","Brasil","São José do Cerrito","-50.579444","-27.661389","50º34'46''W","27º39'41''S","950","950","CRI002938","CRI002938","4312","Santa Catarina","São José do Serrito.","Habitat: campo Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:41-03","E","E","285987","PreservedSpecimen","Plantae","Leguminosae","Lupinus","reineckianus","Lupinus reineckianus",NA,NA,"Reineck, M. & Czermak, J.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00285987",NA,"93","Rio Grande Do Sul","Prope Belém Vélhs.","Det. Dr.Briquet, Genf.<a href=http://data.rbge.org.uk/herb/E00285987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:304573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","607928","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"G. G. Hatschbach","1971","02","22","Brazil",NA,NA,NA,NA,NA,NA,NA,"NY00607928","NY00607928_01","26456","Paraná","Barracao","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268345' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","603484","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","A. M. Planchuelo; D. B. Dunn","G. F. J. Pabst","1963","12",NA,"Brazil","Porto Alegre","-51.23","-30.0331",NA,NA,NA,NA,"NY00603484","NY00603484_01","7400","Rio Grande do Sul","Fazenda Tiririca, entre Belém Velho e Belém Novo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268346' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","607930","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"R. A. Wasum","1991","10","02","Brazil",NA,NA,NA,NA,NA,"750","750","NY00607930","NY00607930_01","s.n.","Rio Grande do Sul","Caxias do Sul - estrada para Forqueta","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268342' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603481","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","R. O. Vanni","A. Krapovickas","1988","01","14","Brazil",NA,NA,NA,NA,NA,NA,NA,"NY00603481","NY00603481_01","41999","Santa Catarina","6 km de Campo Belo do Sul, camino a Cerro Negro","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268340' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","607929","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.",NA,"G. G. Hatschbach","1971","12","13","Brazil","Piraquara","-49.159367","-25.441889",NA,NA,NA,NA,"NY00607929","NY00607929_01","28477","Paraná","Maria Antonieta","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268343' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","603482","PreservedSpecimen","Plantae","Fabaceae","Lupinus","gibertianus","Lupinus gibertianus","C.P.Sm.","A. M. Planchuelo; D. B. Dunn","G. F. J. Pabst","1963","12","08","Brazil",NA,NA,NA,NA,NA,NA,NA,"NY00603482","NY00603482_01","7400","Rio Grande do Sul","Porto Alegre, Fazenda Tiririca, entre Belém Velho e Belém Novo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268349' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
