"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","typeStatus","recordNumber","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","15340","PreservedSpecimen","Plantae","Microteaceae","Microtea","scabrida","Microtea scabrida","Urb.","Isadora Zapelini & José T. Pires","2020","09","03","Alexandre Medeiros","2017","06","05","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.582778","-27.028889","48º34'58''W","27º1'44''S","50","50","Coleta 415. Habito: Trepadeira","CRI014757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","169737","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","paniculata","Microtea paniculata latifolia","Kuntze",NA,NA,NA,NA,"C. E. O. Kuntze","1892","06",NA,"Bolivia","Santa Cruz","Ichilo","Yapacaní",NA,NA,NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169737","Magnoliophyta","Caryophyllales","latifolia","type","s.n.","South America","sheet","NY00169737_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","169738","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","paniculata","Microtea paniculata latifolia","Kuntze",NA,NA,NA,NA,"C. E. O. Kuntze","1892","06",NA,"Bolivia","Santa Cruz","Ichilo","Yapacaní",NA,NA,NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169738","Magnoliophyta","Caryophyllales","latifolia","type","s.n.","South America","sheet","NY00169738_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685060","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","M. S. Marchioretto",NA,NA,NA,"P. K. H. Dusén","1911","01","29","Brazil","Paraná",NA,"Therezina, Barra Grande.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685060","Magnoliophyta","Caryophyllales",NA,NA,"11265","South America","sheet","NY00685060_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","865147","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","J. A. Kallunki",NA,NA,NA,"D. C. Daly","2002","03","14","Brazil","Acre","Santa Rosa do Purus","Rio Chambuiacu, right-bank tributary of Rio Purus defining border with Peru. Water 1-2m below maximum, ca. 30m across at mouth but only 8m wide 3 km from mouth.","-70.5897","-9.5703",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=67665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865147","Magnoliophyta","Caryophyllales",NA,NA,"11320","South America","sheet","NY00865147_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685058","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","L. Y. T. Westra",NA,NA,NA,"G. G. Hatschbach","1965","12","10","Brazil","Paraná","Xambrê","Altônia.","-53.49","-23.7361",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685058","Magnoliophyta","Caryophyllales",NA,NA,"13304","South America","sheet","NY00685058_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","685064","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","R. L. Liesner",NA,NA,NA,"P. Núñez","1986","09","07","Peru","Madre de Dios","Manú","Manu Park, Cocha cashu uplands.","-71","-11.75",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685064","Magnoliophyta","Caryophyllales",NA,NA,"6034","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685057","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","L. Y. T. Westra",NA,NA,NA,"G. G. Hatschbach","1965","12","10","Brazil","Paraná","Xambrê","Altônia.","-53.49","-23.7361",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685057","Magnoliophyta","Caryophyllales",NA,NA,"13304","South America","sheet","NY00685057_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","685059","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida","Urb.","M. S. Marchioretto",NA,NA,NA,"G. G. Hatschbach","1967","01","20","Brazil","Paraná","Icaraíma","Estr. para Pôrto Camargo. Da bacia do Rio Paraná","-53.6139","-23.3958",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685059","Magnoliophyta","Caryophyllales",NA,NA,"15765","South America","sheet","NY00685059_01",NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 20:16:00-03","NY","NYBG","685062","PreservedSpecimen","Plantae","Phytolaccaceae","Microtea","scabrida","Microtea scabrida",NA,"E. R. Guaglianone",NA,NA,NA,"O. Morrone","1997","04","20","Argentina","Misiones","San Ignacio","Ruta Prov. 216, 9 km del desvio al balneario Municipal de la Ruta Nac. 12, frente al río Yabebiry","-55.47","-27.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685062","Magnoliophyta","Caryophyllales",NA,NA,"1922","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
