"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","class","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2020-09-23 10:41:47-03","E","E","82969","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G. & Silva, J.M.","54433","1990","09","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91396","<a href=http://data.rbge.org.uk/herb/E00082969 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017340","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","J. S. Blanchet","2572","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017340","Magnoliophyta","Myrtales","Mattos","Bahia","Montagnes de la Jacobina prês Bahia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","719868","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","R. J. Almeida-Scabbia","5119","2007","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719868","Magnoliophyta","Myrtales","Mattos","São Paulo","Suborefeitura de Paranapiacaba e Parque Andreense, regiao administrativa da Subprefeitura, Parque America, trilha travessa Marechal Rondon.","Santo André","-46.410344","-23.776225","NY00719868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017339","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. G. Hatschbach","57110","1992","06","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206365' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017339","Magnoliophyta","Myrtales","Mattos","Paraná","Mato Preto.","Cerro Azul","-49.2608","-24.8236","NY01017339_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017338","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. G. Hatschbach","54433","1990","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017338","Magnoliophyta","Myrtales","Mattos","Paraná","Mato Preto. Mata pluvial do vale do Rio Ribeira.","Cerro Azul","-49.2608","-24.8236","NY01017338_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:07:35-03","NBC","NL-BOTANY","U.1441605","PreservedSpecimen","Plantae","Myrtaceae","Stenocalyx","stipularis","Stenocalyx stipularis","Macedo (Brazil) A",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1441605 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1441605",NA,"Myrtales","O.Berg",NA,"J. Vicente, Municipio Jtuiatab, Estado Miuas.",NA,NA,NA,"NL-U1441605",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:46:19-02","IPA","IPA","59194","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.; Silva, J.M.; Silva, J.M.","54433","1990","09","05","Southern America","Brasil",NA,NA,"Árvore 12m; flor alva.; Mata Pluvial do Vale do Rio Ribeira.","IPA0059194","Plantae",NA,"Mattos","Paraná","Mato Preto.","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M.",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034946","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. Hatschbach; J. M. Silva","54433","1990","9","5",NA,"Brazil",NA,NA,"Arvore, 12 m, flor alva.",NA,"Magnoliophyta","Myrtales","Mattos","Parana","Mato Preto (mun. Cerro Azul)",NA,"-49.27366","-24.79626",NA,"M. Sobral, 1993.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034947","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. Hatschbach; Kummrow","57110","1992","6","24",NA,"Brazil",NA,NA,"arovre 12 m, flores alvas, fruto vermelho",NA,"Magnoliophyta","Myrtales","Mattos","Parana","Mato Preto (Mun. Cerro Azul).",NA,"-49.261447","-24.825669",NA,"Sobral, M., 1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:09-03","UFJF","CESJ","31665","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","G. Hatschbach; J. M. Silva","54433","1990","09","05","América do Sul","Brasil",NA,NA,"árvore 12m, flor alva. Mata pluvial dovale do Rio Ribeira","CESJ031665","Angiosperma",NA,"Mattos","Paraná","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"M. Sobral",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:36:23-03","UNICAMP","UEC","11756","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Matthes, LAF","9257","1978","08","17",NA,"Brazil",NA,NA,"Coleção Bosque dos Jequitibás nº 491-D",NA,"Magnoliopsida",NA,"Mattos","São Paulo","Bosque dos Jequitibás","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:36:23-03","UNICAMP","UEC","11754","S","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Matthes, LAF","9256","1978","08","17",NA,"Brazil",NA,NA,"Coleção Bosque dos Jequitibás nº 798-D",NA,"Magnoliopsida",NA,"Mattos","São Paulo","Bosque dos Jequitibás","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:53:53-03","UCS","HUCS","10149","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.","57110","1992","06","24",NA,"Brasil",NA,NA,"árvore 12m, flores alvas, fruto maduro , vermelho.; Mata pluvial",NA,"Angiospermae","Myrtales","Mattos","Paraná","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M.",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-16 17:53:53-03","UCS","HUCS","13197","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.","54433","1990","09","05",NA,"Brasil",NA,NA,"árvore 12m, flor alva.; Mata pluvial do vale do Rio Ribeira",NA,"Angiospermae","Myrtales","Mattos","Paraná","Mato Preto","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Sobral, M.",NA,"1993","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-21 19:37:35-03","UFC","EAC","30653","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","squamiflora","Eugenia squamiflora","Hatschbach, G.; Silva, J.M.","54433","1990","09","05","Southern America","Brasil",NA,NA,"Árvore, 12m, flor alva; Mata pluvial","EAC0030653","Dicotyledon",NA,"Mattos","Paraná","Mato preto, Vela do Rio Ribeira","Cerro Azul","-49.261100769043","-24.823600769043","EAC0030653",NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
