"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","7393","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","Jorge Waechter","2006","11","29","Edilane Rocha","12","2005","12","26","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI005708","CRI005708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625800","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. G. Born; P. J. M. Maas",NA,NA,NA,"J. C. Lindeman","4855","1967","03","13","Brazil","Paraná",NA,"-52.0758963","-25.9309469",NA,NA,"NY00625800","NY00625800_01","Magnoliophyta","Asparagales","South America","Fazenda Reserva, ca 85km SW of Guarapuava.","800","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224559' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625797","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. G. Born; P. J. M. Maas",NA,NA,NA,"G. G. Hatschbach","15991","1967","02","15","Brazil","Paraná","Lapa","-49.7156","-25.7697",NA,NA,"NY00625797","NY00625797_01","Magnoliophyta","Asparagales","South America","Rio Passa Dois.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224558' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625798","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. G. Born; P. J. M. Maas",NA,NA,NA,"G. G. Hatschbach","16053","1967","02","24","Brazil","Paraná","Ponta Grossa","-50.012929","-25.234872",NA,NA,"NY00625798","NY00625798_01","Magnoliophyta","Asparagales","South America","Parque V. Velha, Vila Velha.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224556' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625796","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. G. Born; P. J. M. Maas",NA,NA,NA,"H. S. Irwin","19384","1968","01","28","Brazil","Goiás","Cocalzinho de Goiás","-48.95","-15.88",NA,NA,"NY00625796","NY00625796_01","Magnoliophyta","Asparagales","South America","Pico dos Pirineus, ca 20 km NW of Corumbá de Goiás, near road to Niquelandia, Goiás.","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224557' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625799","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. G. Born; P. J. M. Maas",NA,NA,NA,"G. G. Hatschbach","26342","1971","02","19","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"NY00625799","NY00625799_01","Magnoliophyta","Asparagales","South America","Candoi.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:49-03","UFRJ","RFA","35763","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.","M. M. Moreira","2010","01","11","M. O. Silva","7","2009","01","20","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA31910",NA,NA,NA,NA,"Floresta da Tijuca, Trilha Bom Retiro",NA,NA,NA,"Erva terrestre, sem folhas, com frutos brancos; botões brancos; ciófila","57442","auto",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:46-03","UFBA","ALCB","106577","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Spreng.) K.Schum.","Barros, F; Vieira, TL","2012","10",NA,"Vieira, TL; Stadnik, A; Moura, L","62","2012","01","12","Brasil","Bahia","Jacobina","-40.483333","-11.35","-40.483333","-11.35","ALCB007677","ALCB007677","Monocotyledon",NA,"Southern America","Piemonte da Diamantina, Estância dos bandeirantes.",NA,NA,NA,"Erva micoheterotrófica vegetando no folhiço. Ca. de 20 cm. Toda a planta com coloração alva.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:47:01-03","NBC","NL-BOTANY","L.1534213","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","03","16","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1534213","NL-L1534213",NA,"Asparagales","Southern America","Paraná (Brasil), Mun. Lapa, Sta. Amaro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1534213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 08:47:01-03","NBC","NL-BOTANY","L.1534214","PreservedSpecimen","Plantae","Orchidaceae","Wullschlaegelia","aphylla","Wullschlaegelia aphylla","(Sw.) Rchb.f.",NA,NA,NA,NA,"Balansa B",NA,"1881","12","01","Paraguay",NA,NA,NA,NA,NA,NA,"NL-L1534214","NL-L1534214",NA,"Asparagales","Southern America","Pl. du Paraguay, Santa-barbara, prés de Billa-Roica.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1534214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
