"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","verbatimLongitude","verbatimLatitude","class","order","individualCount"
"1","2020-11-04 11:11:16-03","ESALQ","ESA","64757","PreservedSpecimen","Plantae","Magnoliophyta","Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","Chautems, A.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23608.0","2000","02","21","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha para a Cachoeira Bonita","-41.8683013916016","-20.4333000183105","21645","Em barranco, flores externamente vermelho-alaranjadas, internamente creme-alaranjadas com estrias vermelhas","ESA064757","ESA064757","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:55:32-03","JBP","HPL","11616","S","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","A. Chautems","A. Chautems","L.S. Leoni","2962","2008","02","23","Brasil","MG","Alto Caparaó","Coletado no Parque Nacional do Caparaó, ao lado da trilha que conduz ao Vale Encantado.","-41.8683","-20.4333","21645",NA,NA,NA,"auto","1999","05","13","2200","2200",NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:18-03","JBP","HPL","3063","S","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","J. Rossini","E.R. Salviani & H. Lorenzi","1923","2001","01","28","Brasil","MG","Carangola","Coletada nas proximidades da cidade.","-42.0294","-20.7331","21913",NA,NA,NA,"auto","2014","09","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:17:56-03","UFV","VIC","028287","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems",NA,"Caiafa, A.N.","005","2000","07",NA,"Brasil","Minas Gerais","Araponga","PESB Serra das cabeças, 3° cabeça.","-42.5208015441895","-20.6667003631592","16385","Subarbusto de cerca de 0.40 m de altura, flores tubulares de cor rosa mais escuro.Presente em mancha de solo sobre rocha granitoide.","VIC028287","VIC028287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:56-03","UFV","VIC","038626","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems",NA,"Tinti, B.V.","s.n.","2010","04","23","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Pedra do pato.","-42.2789001464844","-20.7255992889404","20038","Herbácea, pétalas vermelhas,campo rupestre de velósia.","VIC038626","VIC038626","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:56-03","UFV","VIC","20771","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","Valente, G.E.","Valente, G.E.; et al.","1448","2004","03","10","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 cabeças totem deitado, alt 1722 m.","-42.5208015441895","-20.6667003631592","16385",NA,"VIC020771",NA,"auto","2004","03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:17:56-03","UFV","VIC","28214","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","Valente, G.E.","Valente, G.E.; Batista, M.L.","1359","2003","06","28","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 cabeças totem deitado, alt 1722 m. Platô da serra.","-42.5208015441895","-20.6667003631592","16385",NA,"VIC028214",NA,"auto","2004","02","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:56-03","UFV","VIC","028289","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems",NA,"Caiafa, A.N.; Batista, M.L.","148","2001","03","21","Brasil","Minas Gerais","Araponga","PESB Serra das cabeças, 3° cabeça.","-42.5208015441895","-20.6667003631592","16385","Subarbusto de ca de 0.30 m,portando flores de corola tubulares vermelhas e cálice verde de lacinios vermelhos. Crescendo em mancha de solo raso sobre afloramento de rocha granitoide.","VIC028289","VIC028289","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:31:42-03","UNICAMP","UEC","133197","S","Plantae","Magnoliopsida","Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","San Martin-Gajardo, I","Caiafa, AN; Batista, ML","148","2001","03","21","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Serra das Cabeças, 3a. Cabeça.","-42.5208015441895","-20.6667003631592","16385","Subarbusto com cerca de 0,3m, portando flores de corolas tubulares vermelhas e cálice verde com lacínios vermelhos.; Crescendo em mancha de solo raso sobre afloramento de rocha granitóide.","UEC141496","UEC141496","auto","2003","11",NA,"1722","1722",NA,NA,NA,NA,NA,NA,NA
"10","2020-04-28 14:12:49-03","UFES","VIES","35453","S","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","A. Chautems","Manhães, V.C.; Carrijo, T.T.; Garbin, M.L.; Schwartsburd, P.B. & Pereira, J.B.S.","469","2014","03","10","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó.","-41.8683013916016","-20.4333000183105","21645",NA,"VIES035453","VIES035453","auto","2020","04","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:29:12-03","MBM","MBM","149578","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Vanhouttea","leonii","Vanhouttea leonii","Chautems","Chautems, A.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55446","1991","06","14","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Subida para o Pico da Bandeira","-41.8683013916016","-20.4333000183105","21645","Carnosa, 70 cm, flor vermelha. Paredões rochosos e úmidos; Carnosa 70cm, flor vermelha.; Paredões rochosos e úmidos.","MBM149578","MBM149578","auto","2006","03","13","2200","2200","PARATYPE","Southern America",NA,NA,NA,NA,NA
