"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","884996","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","L. B. Smith","H. B. Basil","s.n.","1846","05","21","South America","Brazil","Rio de Janeiro","Serra dos Orgãos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884996","NY00884996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:19:07-03","UFRJ","RFA","10528","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","L.B. Smith","J.V. Azevedo; Fernando Agarez e Helena",NA,"1970","10","26",NA,"Brasil","Rio de Janeiro","Horto da Faculdade","-42.9655990600586","-22.4122009277344",NA,"Flores avermelhadas","RFA10458",NA,"1975","Teresópolis","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:24:56-03","PUCPR","HUCP","24810","S","Plantae","Eudicotiledonea",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Pedrassani, WM; Rocco, I","s.n.","2013","04","22",NA,"Brasil","Paraná","Batel","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00024810","HUCP00024810",NA,"Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:59:00-03","NBC","NL-BOTANY","U.1144471","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Krukoff BA",NA,"1939","07","01","Southern America","Bolivia",NA,"Department of La Paz: Province of S. Yungas: Basin of Rio Bopi, San Bartolome (near Calisaya).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144471 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144471","NL-U1144471",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:01:03-03","JBP","HPL","1957","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea",NA,"E.L. Jacques","H. Lorenzi","2379","2000","09","01",NA,"Brasil","SP","Instituto Plantarum, coleção de begonias, canteiro 29, origem cultivada.","-47.29","-22.77",NA,NA,NA,NA,"2009","Nova Odessa","8440","auto",NA,"10","19",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:42:18-03","JBP","HPL","13259","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","E.L. Jacques","E.L. Jacques, H.Lorenzi et al.","1823","2012","07","25",NA,"Brasil","RJ","Poço Parado. Crescendo na rocha em pleno sol, entre e abaixo de Vriesea bituminosa e Alcantarea (Bromeliaceae) com acúmulo de substrato, crescendo na face norte e oeste, grande população. Observando-se visita de beija-flores nas bromélias.","-41.825694","-21.836528",NA,NA,NA,NA,"2012","São Fidélis",NA,NA,NA,"07","25","41° 49' 32,5 W","21° 50' 11,5 S","1022","1022",NA,NA,NA,NA
"7","2015-07-02 14:42:18-03","JBP","HPL","12180","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","E.L.Jacques","E.L.Jacques, S.Vieira, H. Lorenzi & M. Peixoto","1759","2010","11","09",NA,"Brasil","RJ","Coletado em Macaé de Cima.","-42.529783","-22.425117",NA,NA,NA,NA,"2010","Nova Friburgo",NA,NA,NA,"11","09","42° 31' 787 W","22° 25' 507 S",NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:47-02","BGBM","B","B 10 0124312","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea",NA,NA,"G. F. J. Pabst","5179","1959","10","04","Middle and South America","Brazil",NA,"East Rio de Janeiro, Macaé de Cima, pr. Friburgo.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124312 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124312","B100124312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:37:47-02","BGBM","B","B 10 0124314","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea",NA,NA,"Schwacke","11.093",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124314 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124314","B100124314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:37:47-02","BGBM","B","B 10 0124320","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Hort. bot. berol.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124320 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124320","B100124320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-02-02 14:37:47-02","BGBM","B","B 10 0124322","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.f.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"Zeichnung Blüten und Blütenorgane <a href=http://herbarium.bgbm.org/object/B100124322 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124322","B100124322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-02-02 14:37:47-02","BGBM","B","B 10 0124311","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","E. Irmscher","Martius","322",NA,NA,NA,"Middle and South America","Brazil",NA,"Serra do Mar. Provincia Sebastinopol.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124311 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124311","B100124311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-02-02 14:37:47-02","BGBM","B","B 10 0124313","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","E. Irmscher","E. H. G. Ule","4636","1898","01",NA,"Middle and South America","Brazil",NA,"Rio de Janeiro. bei Mona Friburgo.",NA,NA,NA,"Habitat: Epiphyt. <a href=http://herbarium.bgbm.org/object/B100124313 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124313","B100124313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-02-02 14:37:47-02","BGBM","B","B 10 0124315","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea",NA,NA,"Schwacke","11.022",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124315 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124315","B100124315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-02-02 14:37:47-02","BGBM","B","B 10 0124321","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.f.",NA,NA,NA,"1853","04","27","Middle and South America","Brazil",NA,"Hort. bot. berol.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124321 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124321","B100124321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-02-02 14:37:47-02","BGBM","B","B 10 0124323","S","Plantae",NA,NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.f.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Orgelgebirge [Serra dos Orgàos]. H. Berol.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100124323 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100124323","B100124323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:26:18-03","UNICAMP","UEC","180542","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","Delfini, C","Delfini, C; Rigon, J; Diaz, DC; Oliveira, DB; Souza, VC; Rodrigues, RR","975","2013","04","02",NA,"Brazil","São Paulo","UHE Serraria, trilha da Igrejinha.","-47.546944","-24.155556",NA,"Erva robusta, até 2m alt.; flores e cápsulas jovens vermelhas; frutos marrons.; Floresta Ombrófila Densa bem conservada.","UEC047949","UEC047949","2013","Tapiraí",NA,NA,NA,NA,NA,"-47.546944","-24.155556","29","29",NA,NA,NA,NA
"18","2021-03-01 16:26:18-03","UNICAMP","UEC","21490","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.","Smith, LB","Hatschbach, G; Guimarães, O","23318","1970","10","08",NA,"Brazil","Paraná","Serra Negra.","-48.3288993835449","-25.3066997528076",NA,"Arbusto 1m70, carnoso, flor rosea. Escapada do cultivo. Alt. 10m s/mar.","UEC040893","UEC040893",NA,"Guaraqueçaba","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-12 12:52:36-03","UNICAMP","UEC","209340","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","coccinea","Begonia coccinea alba","Regel","Campos-Rocha, A","Campos-Rocha, A","1318","2013","10","31",NA,"Brazil","São Paulo","em cultivo no Jardim Botânico Plantarum, doado por Marco Lacerda","-47.2900009155273","-22.7700004577637",NA,"Herbácea ca. 1,3 m de altura, folhas algo discolores (face abaxial verde-clara com nervuras avermelhadas), eixo da inflorescência de coloração róseo-avermelhada, flores masculinas","UEC181523","UEC181523_v01","2013","Nova Odessa","8440","auto",NA,"10","31",NA,NA,NA,NA,"alba",NA,NA,NA
"20","2014-10-14 15:56:29-03","BS","M","M-0113304","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","coccinea","Begonia coccinea","Hook.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"Habitat in rupibus ad summitate Serra do Mar; Provinciae Sebastianopol.",NA,NA,NA,NA,"M0113304",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,"TYPE",NA,NA
