"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","dayIdentified","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00946833","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","G. G. Hatschbach","63617","1995","10","20","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Arredores.","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946833","NY00946833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00946836","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","A. Macedo","2672","1950","10","31","South America","Brazil","Goiás","Jataí","Queixada.","-51.7142","-17.8817","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946836","NY00946836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","609668","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","G. G. Hatschbach","25227","1970","10","26","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Campo Alegre","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609668","NY00609668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00946834","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl",NA,"D. Philcox","3279","1967","11","28","South America","Brazil","Mato Grosso",NA,"Circa 2 km W from km 259 Xavantina-Cachimbo road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946834","NY00946834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","818081","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","H. S. Irwin","7531","1964","10","29","South America","Brazil","Goiás","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818081","NY00818081_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","818082","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","H. S. Irwin","10787","1965","11","30","South America","Brazil","Goiás","Abadiânia","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818082","NY00818082_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","609667","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","L. B. Smith","L. B. Smith","14063","1964","12","16","South America","Brazil","Santa Catarina","Chapecó","8-13 km west of Chapecó","-52.67","-27.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609667","NY00609667_01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00946835","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","G. T. Prance","P19188","1973","10","18","South America","Brazil","Mato Grosso",NA,"Road behind Veu de Noiva. Chapada dos Guimarães.","-55.832445","-15.40761","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946835","NY00946835_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00946837","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","H. S. Irwin","10531","1965","11","19","South America","Brazil","Minas Gerais",NA,"Serra do Rio Preto. 25 km E. of Cabeceiras (ca. 4 km E. of Goiás-Minas Gerais border)","-46.74996","-15.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946837","NY00946837_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","609669","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","C. L. Cristóbal","H. S. Irwin","7316","1964","10","24","South America","Brazil","Goiás","Jataí","Serra do Caiapó. Ca. 30 km N. of Jataí on road to Caiaponia.","-51.78","-17.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609669","NY00609669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:43:46-03","EAO","IAN","135182","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","Cristobal, CL","Irwin, HS; Souza, R","10787","1965","11","30","Southern America","Brasil","Goiás",NA,"Serra dos Pirineus. Rocky cerrado, canga soil, ca. 14Km S of Corumbá de Goiás.",NA,NA,NA,NA,"IAN135182",NA,"975","975","1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:43:46-03","EAO","IAN","139412","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","Cristobal, CL","Fonsêca, SG da; Onishi, E","1005","1968","10","02","Southern America","Brasil","Goiás",NA,"Jataí-Fazenda Matalda. Cerca de 22Km da estrada Jataí-Caiapônia. Desvio no Km 25 a esquerda.",NA,NA,NA,NA,"IAN139412",NA,NA,NA,"1981","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:00:01-03","NBC","NL-BOTANY","L.2369579","PreservedSpecimen","Plantae",NA,"Malvales","Sterculiaceae","Byttneria","oblongata","Byttneria oblongata","Pohl",NA,"Pedersen TM",NA,"1975","02","13","Southern America","Paraguay",NA,NA,"Estancia 'La Soledad', Santiago, Dep. Misiones.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2369579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2369579","NL-L2369579",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:31:31-03","MN","R","7731","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","oblongata","Byttneria oblongata","Pohl","Cristóbal, C. L.","Glaziou, A.F.M.","20728","1894","09","24",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007731","R000007731_001",NA,NA,"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
