"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","eventTime"
"1","2021-03-15 16:37:00-03","NY","NYBG","445733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","G. G. Hatschbach","23269","1969","12","17","South America","Brazil","Paraná","Sao Mateus do Sul","Rio Iguaçu","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445733","NY00445733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","445742","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","G. G. Hatschbach","15234","1966","11","04","South America","Brazil","Paraná","Contenda",NA,"-49.5344","-25.6758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445742","NY00445742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445738","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne",NA,"B. Rambo","45785","1950","02","07","South America","Brazil","Rio Grande do Sul","Farroupilha","Santa Rita","-51.3478","-29.2253","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445738","NY00445738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","445737","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","A. Lourteig","G. G. Hatschbach","26405","1971","02","25","South America","Brazil","Paraná","Marmeleiro","Estr. Marmeleiro-Campo Ere","-53.0258","-26.1494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445737","NY00445737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","445745","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","J. E. Leite","591","1941","11",NA,"South America","Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of Sao Leopoldo","-51.143791","-29.75136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445745","NY00445745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","445735","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","G. G. Hatschbach","28445","1971","12","09","South America","Brazil","Paraná","Sao Mateus do Sul","Rio Potinga","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445735","NY00445735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445740","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","P. K. H. Dusén","7344","1908","12","11","South America","Brazil","Paraná","Lapa",NA,"-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445740","NY00445740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","445736","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","L. B. Smith","14222","1965","01","03","South America","Brazil","Santa Catarina","Sao Joaquim","Santa Barbara","-49.5","-28.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445736","NY00445736_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","445734","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","G. G. Hatschbach","13915","1966","02","28","South America","Brazil","Paraná","Curitiba","Rio Iguaçu","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445734","NY00445734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","445744","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","urbaniana","Cuphea urbaniana","Koehne","T. B. Cavalcanti; S. A. T. Graham","L. B. Smith","8940","1956","12","21","South America","Brazil","Santa Catarina","Caçador","8 km north of Caçador","-51.001528","-26.7096209","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445744","NY00445744_01","950","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
