"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1747065","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. O. Vanni","A. Schinini","30141","1995","10","11","South America","Paraguay","Caaguazú","Cnia. Pindo, camino entre Itaguyry y Curguaty. Estribaciones de la Sra. de San Joaquin.","-55.33","-24.58","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2006005' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747065","NY01747065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00980911","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","G. G. Hatschbach","23848","1970","02","19","South America","Brazil","Mato Grosso do Sul","Estr. p/Miranda","-55.8067","-20.4836",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980911",NA,"Anastácio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 13:44:00-02","NY","NYBG","1747064","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon",NA,NA,"E. M. Zardini","25981","1991","01","12","South America","Paraguay","Caaguazú","Arroyo Cambay, northern side","-55.92","-25.42",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2006002' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747064","NY01747064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1747061","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","E. Hassler","4300",NA,NA,NA,"South America","Paraguay",NA,"Plantae Paraguariensis",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747061","NY01747061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1747062","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","E. Hassler","7121",NA,NA,NA,"South America","Paraguay",NA,"Plantae Paraguariensis",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747062","NY01747062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 13:31:00-03","NY","NYBG","1747057","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon",NA,NA,"P. Jörgensen","4624","1932","01",NA,"South America","Paraguay",NA,"Estancia Guinera [?].","-57.25","-25.17",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005989' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747057","NY01747057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1747060","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","F. J. Fernández Casas","FC -7528","1982","12","13","South America","Paraguay","Caaguazú","Cerca de Yhú, unos 4 km al Norte, de Butia.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747060","NY01747060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1747059","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","F. J. Fernández Casas","FC -6342","1982","02","20","South America","Paraguay","Caaguazú","Campo 9",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747059","NY01747059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 10:05:00-03","NY","NYBG","1747063","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon",NA,"R. O. Vanni","A. Krapovickas","46055","1994","10","26","South America","Paraguay","Amambay","23 km. S de Bella Vista.","-56.28","-22.63",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005998' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747063","NY01747063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 13:31:00-03","NY","NYBG","1747058","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","paradictyon","Senna paradictyon",NA,NA,"E. Hassler","9309","1905",NA,NA,"South America","Paraguay","Caaguazú","In viciniis Caaguazú",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2005990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747058","NY01747058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
