"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","9045","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand","H. F. Uller","2012","02","25","H. F. Uller","269","2012","02","25","Brasil","Santa Catarina","Balneário Camboriú","-48.68","-26.9775","48º40'48''W","26º58'39''S","7","7","Habitat: sub-bosque Habito: arvoreta","CRI005442","CRI005442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016111","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","20194","1968","11","05","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141487' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016111","NY01016111_01","Magnoliophyta","Myrtales","South America","Col. Floresta","sheet",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1522748","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand","M. F. Santos",NA,NA,NA,"P. K. H. Dusén","8680","1909","12","15","Brazil","Paraná",NA,"-48.631716","-25.548936",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776762' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522748","NY01522748_01","Magnoliophyta","Myrtales","South America","Alexandra.","sheet",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1522469","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","13064","1965","10","29","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1752518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522469","NY01522469_01","Magnoliophyta","Myrtales","South America","Rio Pardinho","sheet",NA,NA,NA,NA,NA
"5","2020-11-13 09:20:24-03","UFRJ","RFA","12343","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","20194","1968","11","05","Brasil","Paraná","Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"Arvoreta de 4 m, flor alva","RFA46938",NA,NA,NA,NA,"Col. Floresta",NA,"30514","auto",NA,NA,NA
"6","2020-02-08 10:07:06-03","NBC","NL-BOTANY","L.2527168","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1962","11","11","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527168","NL-L2527168",NA,"Myrtales","Southern America","Est Parana, Mun: Guaratuba, Rio da Divisa.",NA,NA,NA,"Magnoliopsidae",NA,NA
"7","2020-02-08 10:07:06-03","NBC","NL-BOTANY","L.2527169","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1968","11","05","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527169","NL-L2527169",NA,"Myrtales","Southern America","Est Paraná, Mun: Morretes, Col. Floresta.",NA,NA,NA,"Magnoliopsidae",NA,NA
"8","2020-02-08 10:07:06-03","NBC","NL-BOTANY","L.2527170","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1962","11","02","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527170","NL-L2527170",NA,"Myrtales","Southern America","Serra da Prata (mun. Paranagua) Paraná.",NA,NA,NA,"Magnoliopsidae",NA,NA
"9","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U.1450635","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1962","11","11","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1450635","NL-U1450635",NA,"Myrtales","Southern America","Est Parana, Mun: Guaratuba, Rio da Divisa.",NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-02-08 10:07:06-03","NBC","NL-BOTANY","WAG.1116204","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","heringii","Myrcia heringii","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1962","11","02","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1116204","NL-WAG1116204",NA,"Myrtales","Southern America","Serra da Prata (mun. Paranagua) Paraná.",NA,NA,NA,"Magnoliopsidae",NA,NA
