"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2016-09-29 21:56:00-03","NY","NYBG","00924506","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","J. R. Pirani","1305","1985","10","21","South America","Brazil","Mato Grosso","Cuiabá","Chapada dos Guimaraes, perto da Cachoeir Véu de Noiva, do Rio Coxipozinho.","-55.75","-15.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924506","NY00924506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:56:00-03","NY","NYBG","00924510","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","R. Goodland","873","1967",NA,NA,"South America","Brazil","Minas Gerais",NA,"Triángulo region.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924510","NY00924510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885582","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","speciosum","Isostigma peucedanifolium speciosum","(Less.) Guad.Peter","G. Peter","A. Löfgren","16773","1887","11","05","South America","Brazil","São Paulo","Itapetininga",NA,"-48.0497","-23.5903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885582","NY00885582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:56:00-03","NY","NYBG","00924535","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","R. Goodland","60","1965","10","22","South America","Brazil","Minas Gerais",NA,"Lagoa Santa, Jaguara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924535","NY00924535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:54:00-03","NY","NYBG","885587","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","L. Riedel","2979","1834","02",NA,"South America","Brazil",NA,NA,"Ytú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885587","NY00885587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:54:00-03","NY","NYBG","885593","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","I. M. Válio","202","1960","12","27","South America","Brazil","São Paulo",NA,"Estrada S. Paulo - Itapetininga, km 163 bacia do rio Tatuí.","-47.88","-23.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885593","NY00885593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885588","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","S. M. de Campos","131","1959","11","25","South America","Brazil","São Paulo","Itapetininga","Fazenda Bom Retiro, SW da cidade de Itapetininga, próximo ao Rio Paranapanema.","-48.0497","-23.5903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885588","NY00885588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924508","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","G. G. Hatschbach","37591","1975","11","15","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Capao Seco","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924508","NY00924508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885585","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","strictum","Isostigma peucedanifolium strictum","Guad.Peter","G. Peter","J. E. B. Warming","s.n.","1863","09","26","South America","Brazil",NA,NA,"Ad Lagoa Santa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885585","NY00885585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00924533","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","peucedanifolium","peucedanifolium","Isostigma peucedanifolium peucedanifolium","(Spreng.) Less.","G. Peter","H. S. Irwin","7366","1964","10","26","South America","Brazil","Goiás","Caiapônia","Ca. 50 km. S. of Caiapônia, on rd. to Jataí. Serra do Caiapó.","-51.77","-17.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924533","NY00924533_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
