"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode"
"1","2021-02-12 18:59:28-03","UFMT","UFMT","20024","S","Plantae","Malpighiaceae","Heteropterys","marginata","Heteropterys marginata","W.R.Anderson","Sintype","SchessI, M.; Gottsberg, G.","19099216","1991","09","19","Brasil","Mato Grosso","Poconé","Pantanal - matogrossense; Fazenda Ipiranga, at Traspantaneira highway Km 10.","-56.6227989196777","-16.2567005157471","200792","shrub, up to 2,5 meteres en heigth, forms dense monodominant stands with diametres up to 5 metres.; seasonally inundated floodplains about 3 Km south of the farms houses; corixo verde campo north of the Bento Gomes river; Sandy alluvial sediments (D","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:08:53-03","IBt","SP","313938","S","Plantae","Malpighiaceae","Heteropterys","marginata","Heteropterys marginata","W.R.Anderson",NA,"Pott, VJ; Mauro, RA; Salis, SM; Pereira, M; Mazza, CAS","343","1987","09","12","Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.65","-19.016667",NA,NA,NA,"Mamede, MCH","2004","03","-57.65","-19.016667","141","141","SP019365"
"3","2019-11-21 10:08:53-03","IBt","SP","465799","S","Plantae","Malpighiaceae","Heteropterys","marginata","Heteropterys marginata","W.R.Anderson",NA,"Jesus, EM","234","2008","07","22","Brasil","Mato Grosso do Sul","Ladário","Fazenda Band'Alta","-57.586667","-19.142778",NA,NA,NA,NA,NA,NA,"-57.586667","-19.142778","132","132",NA
"4","2019-11-21 10:08:53-03","IBt","SP","314171","S","Plantae","Malpighiaceae","Heteropterys","marginata","Heteropterys marginata","W.R.Anderson",NA,"Andrade, LA","4","1995","08","05","Brasil","Mato Grosso do Sul","Ladário",NA,"-57.6016998291016","-19.0046997070312","23141",NA,"auto","Mamede, MCH","2004","03",NA,NA,NA,NA,"SP019363"
