"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","273495","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Lucuma","bullata","Lucuma bullata","S.Moore","isotype","314","South America","Brazil","Rio de Janeiro","Rio","sheet","Collectors: Bowie & Cunningham <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=752642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273495","NY00273495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273651","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pellita","Pouteria pellita","Baehni","isotype",NA,"South America","Brazil","Rio de Janeiro","Serra da Bica, .. Cascadona","sheet","donné par Mme SIMARD, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=612954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273651","NY00273651_01","C. Baehni","A. F. M. Glaziou","1883","11","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:27-03","EAO","IAN","150789","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"3919","Southern America","Brasil","Pará","Estrada do Acará, km 60. Mata de terra firme.",NA,"Árvore de 38m e 50cm de diâmetro. Flor verde.","IAN150789",NA,NA,"Silva, NT da","1975","08","15","Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:51-03","UFABC","HUFABC","001222","PreservedSpecimen","Plantae","Angiospermas",NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"05",NA,"Brasil","São Paulo",NA,NA,"Doação do herbário municipal (Pq do Ibirapuera).; Árvore 12m","HUFABC001222",NA,"E.H.P.B","Amaral, B","2018","04","19","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","2018","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:19:43-03","ESALQ","ESA","104562","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata",NA,NA,"1188.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA104562","ESA104562","Aguiar, O.T.","Aguiar, O.T.","2002","03","13","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto","2002","03","17",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:19:43-03","ESALQ","ESA","16456","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"1036.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA016456","ESA016456","Carneiro, C.E.","Moraes, P.L.R.","1994","08","06","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:16:09-03","ESALQ","ESA","137206","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"2385.0",NA,"Brasil","São Paulo","Parque Estadual de Carlos Botelho, trilha interna Km 48",NA,"Árvore, 10m, látex branco, tronco fissurado","ESA137206",NA,NA,"Colletta, G. D","2015","11","18","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:16:09-03","ESALQ","ESA","141128","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"58.0",NA,"Brasil","Rio de Janeiro","Ilha do Governador; Base de Fuzileiros Navais; Trilha das Pelonas; Floresta Ombrófila Densa",NA,"Árvore; 2 metros de altura; látex","ESA141128",NA,"Zanini, A.M.; Silva, T.D.","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.","2017","04","20","Rio de Janeiro","-43.1834","-22.7827",NA,NA,"2017","05","24","-43.1834","-22.7827",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:33:34-03","MN","R","93949","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"14057",NA,"Brasil","Rio de Janeiro",NA,NA,"Platae Flum. Ex Herb. Glaziou; Herb. J. de Saldanha,7517","R000093949","R000093949_001","Silva, I.M. da","Glaziou, A.F.M.",NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","2001","06","06",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:04:17-03","JBP","HPL","6929","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata",NA,NA,"1506",NA,"Brasil","ES","Coletado na BR101 8,4km do trevo de Colatina, 19°42'13,4''S; 40°19'24,7''W.",NA,NA,NA,NA,"R. Tsuji & H. Lorenzi et al.","R. Tsuji & H. Lorenzi et al.","2007","01","24","João Neiva","-40.3856","-19.7575","16286","auto","2007","01","24",NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:04:17-03","JBP","HPL","7233","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata",NA,NA,"127",NA,"Brasil","ES","Coletado nas proximidades do município de João Neiva - onde existiam mais umas 2 plantas.",NA,NA,NA,NA,"E.R. Salviani","E.R. Salviani","1998","07","21","João Neiva","-40.3856","-19.7575","16286","auto","1998","07","21",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:19:26-03","UFV","VIC","018043","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"s.n.",NA,"Brasil","Bahia","FLONA Rio Preto",NA,"Altura de 26 m P 17 n°117.","VIC018043","VIC018043",NA,"Ana Luiza.","1995","09","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-24 17:10:02-03","UFES","SAMES","9986","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"1639",NA,"Brasil","Espírito Santo","Floresta Alta, km 4 na estrada que circunda a reserva, trecho conservado, sub-bosque sombreado.",NA,"Planta com 13,5 m alt. x 82,6 cm CAP, presença de latex leitoso abundante, face abaxial das folhas com indumento vermelho. Estéril. Transecto 10 planta 17. Habitat: Floresta de Tabuleiro Habito: Árvore","SAMES09986",NA,"Alves-Araujo, A.","Ribeiro, M.","2011","04","30","Conceição da Barra","-39.7322006225586","-18.5932998657227","41644","auto","2017",NA,NA,"-398194445.0","-182555556.0",NA,NA,NA,NA,NA,NA
"14","2021-03-24 17:10:02-03","UFES","SAMES","8666","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"1624",NA,"Brasil","Espírito Santo","Reserva Biológica de Sooretama. Estrada do meio. Borda da trilha.",NA,"Arvoreta 8m alt., látex alvo, abundante, tricomas ferrugíneos nos ramos e face abaxial foliar. Estéril.","SAMES08666",NA,NA,"Alves-Araújo, A.; S. Mori, N. Smith & M. Ribeiro","2013","10","26","Sooretama","-40.0978012084961","-19.1968994140625","33715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:41:10-03","UNICAMP","UEC","33598","S","Plantae","Magnoliopsida",NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"14926",NA,"Brazil","São Paulo","Reserva Estadual de Carlos Botelho.",NA,"Árvore 14 m. Material em estado vegetativo. Frutos coletados.; Vegetação de Mata Atlântica de encosta.","UEC031233","UEC031233","Carneiro, CE","Gianotti, E; Joly, CA; Martins, FR","1983","09","22","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto","1996","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-04-27 16:11:41-03","UFES","VIES","23872","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"1203",NA,"Brasil","Paraná","Parque Estadual das Lauráceas.",NA,NA,"VIES023872","VIES023872","Völtz, R.R","Völtz, R.R; Brotto, M.L","2017","03","21","Adrianópolis","-48.692222","-24.838333",NA,NA,"2017","03",NA,"48º41'32''W","24º50'18''S","906","906",NA,NA,NA,NA
"17","2019-09-27 18:06:27-03","UFES","VIES","22643","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"3837",NA,"Brasil","Espírito Santo","Flona de Goytacazes.",NA,NA,"VIES022643","VIES022643","Gomes, J.M.L.","Gomes, J.M.L.","2010","12","11","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","2010","12","11",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-09-27 18:06:27-03","UFES","VIES","13942","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"2978",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"VIES013942","VIES013942","Fabris, L.C.","Folli, D.A.","1997","04","04","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","2010","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-07-05 19:08:52-03","UFES","VIES","42902","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"160",NA,"Brasil","Espírito Santo","Fragmento da Sede abandonada. Flona do Rio Preto",NA,NA,"VIES042902","VIES042902",NA,"Mello, B.N.; Sossai, B.G.; Dutra, S.C.; Nichio-Amaral, R.; Alves-Araújo, A.","2019","05","28","Conceição da Barra","-39.7322006225586","-18.5932998657227","41644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-09-27 18:06:27-03","UFES","VIES","26444","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"275",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"VIES026444","VIES026444","Fabris, L.C.","Silva, I.A.","1981","12","02","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","2010","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-09-27 18:06:27-03","UFES","VIES","13947","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"6279",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"VIES013947","VIES013947","Fabris, L.C.","Folli, D.A.","2009","01","09","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","2010","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-27 10:26:52-03","UFES","VIES","36283","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"1624",NA,"Brasil","Espírito Santo","Reserva Biológica de Sooretama. Estrada do meio. Borda da trilha.",NA,NA,"VIES036283","VIES036283",NA,"Alves-Araújo, A.; Mori, S.; Smith, N.; Ribeiro, M.","2013","10","26","Sooretama","-40.0978012084961","-19.1968994140625","33715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-19 16:37:04-03","UNESP-IBB","BOTUW","1162","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,NA,NA,"Brasil","Espírito Santo","Comp. Vale do Rio Doce",NA,NA,"BOTUW001162",NA,NA,NA,NA,NA,NA,NA,"-40.533333","-19.866667",NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA
"24","2019-08-16 08:41:07-03","UTFPR","HCF","27331","S","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,"4733",NA,"Brasil","PR","Rio Pederneira",NA,"árvore 10-15 m, mata pluvial encosta de morros",NA,NA,"R.R. Völtz","Y.S. Kuniyoshi","1984","01","18","Guaraqueçaba","-48.3288993835449","-25.3066997528076","37295","auto","2017","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2013-04-01 09:19:18-03","IPT","BCTW","19887","S","Plantae","Magnoliophyta",NA,NA,"Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"397",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Instituto Plantarum","Lorenzi, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"26","2020-12-21 16:44:50-03","MBM","MBM","408401","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"1156","Southern America","Brazil","Paraná","Parque Estadual das Lauráceas",NA,"Árvore 17 m alt.; látex branco; fruto com tricomas amarelados; estrato superior de Floresta Ombrófila Densa Montana.; Floresta Ombrófila Densa Montana.","MBM408401","MBM408401","Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Silva, J.M.; Brotto, M.L.; Silva, J.M.","2016","09","26","Adrianópolis","-48.708056","-24.852222",NA,NA,"2016","09","26","-48.708056","-24.852222","915","915",NA,NA,NA,NA
"27","2020-12-21 16:44:50-03","MBM","MBM","409650","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"1203","Southern America","Brazil","Paraná","Parque Estadual das Lauráceas",NA,"Árvore 12 m alt.; látex alvo, abundante, pegajoso; flores com sépalas prateadas e pétalas esverdeadas; dossel de Floresta Ombrófila Densa Montana secundária.; Floresta Ombrófila Densa Montana.","MBM409650","MBM409650","Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","2017","03","21","Adrianópolis","-48.692222","-24.838333",NA,NA,"2017","03","21","-48.692222","-24.838333","906","906",NA,NA,NA,NA
"28","2020-12-21 16:44:50-03","MBM","MBM","415241","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"2588","Southern America","Brazil","Paraná","Estrada da Berneck a Tatupeba",NA,"Árvore com 16 m de altura; botões verdes.; Floresta Ombrófila Densa Montana.","MBM415241",NA,"Brotto, M.L.","Brotto, M.L.","2018","04","04","Adrianópolis","-48.713611","-24.791389",NA,NA,"2018","11","08","-48.713611","-24.791389","939","939",NA,NA,NA,NA
"29","2020-12-21 16:44:50-03","MBM","MBM","415387","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"304","Southern America","Brazil","Paraná",NA,NA,"Árvore com 20 m de altura, frutos maduros.; Ecótono entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.","MBM415387",NA,"Völtz, R.R.","Roher, D.; Castro, J.M.; Castro, J.M.","2017","08","14","Adrianópolis","-48.914722","-24.866389",NA,NA,"2017","08","21","-48.914722","-24.866389","915","915",NA,NA,NA,NA
"30","2020-12-21 16:44:50-03","MBM","MBM","113186","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"4733","Southern America","Brazil","Paraná","Guaraqueçaba",NA,NA,"MBM113186","MBM113186","Pennington, T.D.","Kuniyoshi, Y.S.; Roderjan, C.V.; Roderjan, C.V.",NA,NA,NA,"Guaraqueçaba","-48.3288993835449","-25.3066997528076","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:44:50-03","MBM","MBM","412739","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"1354","Southern America","Brazil","Paraná","Parque Estadual do Marumbi",NA,"Árvore 14 m alt.; látex alvo, abundante; frutos esverdeados; estrato superior de Floresta Ombrófila Densa Montana.; Floresta Ombrófila Densa Montana.","MBM412739","MBM412739","Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","2017","08","26","Morretes","-48.913889","-25.446111",NA,NA,"2017","08","26","-48.913889","-25.446111","920","920",NA,NA,NA,NA
"32","2020-12-21 16:44:50-03","MBM","MBM","89684","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S. Moore) Baehni",NA,"46942","Southern America","Brazil","Espírito Santo","Lagoa Juparaná",NA,NA,"MBM089684","MBM089684","Pennington, T.D.","Hatschbach, G.; Guimarães, O.; Guimarães, O.",NA,NA,NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-09-05 07:50:50-03","MNHN","RECOLNAT_MNHN_P","P00640538","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","bullata","Pouteria bullata","(S.Moore) Baehni",NA,NA,NA,"Brésil",NA,"Serra de Bica, près de Rio de Janeiro","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00640538' target='other'> <mi>dwc_moreinfo</mi></a>","P00640538","P00640538_01 P00640538_02",NA,"Glaziou, A.","1884","1","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15198",NA,NA
