"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","identifiedBy","stateProvince","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","minimumElevationInMeters","typeStatus","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","sex"
"11","2020-12-21 16:17:23-03","MBM","MBM","280361","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch. Bip. ex Baker","Schinini, A.; et al.; et al.","36015","Southern America","Paraguay","MBM280361",NA,NA,"2002","03",NA,NA,NA,"MBM280361","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:17:23-03","MBM","MBM","83124","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch. Bip. ex Baker","Pedersen, T.M.","11690","Southern America","Argentina","MBM083124",NA,NA,"1977","03","08",NA,NA,"MBM083124","Pedersen, T.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:17:23-03","MBM","MBM","101364","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch. Bip. ex Baker","Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","49336","Southern America","Brazil","MBM101364",NA,NA,"1985","04","16","Lagoa Seca",NA,"MBM101364","Robinson, H.","Paraná",NA,NA,NA,NA,"Guarapuava","-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:17:23-03","MBM","MBM","153525","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch. Bip. ex Baker","Silva, J.M.; Poliquesi, C.B.; Poliquesi, C.B.","1133","Southern America","Brazil","MBM153525",NA,NA,"1992","05","13","Recanto dos Papagaios",NA,"MBM153525","Robinson, H.","Paraná",NA,NA,NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:17:23-03","MBM","MBM","257829","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch. Bip. ex Baker","Scur, L.","507","Southern America","Brazil","MBM257829",NA,NA,"2000","02","19","Vila Seca",NA,"MBM257829","Ribas, O.S.","Rio Grande do Sul",NA,NA,NA,NA,"Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-11-05 11:15:55-02","MNHN","RECOLNAT_MNHN_P","P00957272","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi",NA,"Girault",NA,NA,"Bolivie","P00957272",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00957272' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Cerrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-12-21 15:24:30-02","MNHN","RECOLNAT_MNHN_P","P00704319","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Gaudichaud, C.",NA,NA,"Brésil","P00704319",NA,NA,"1833",NA,NA,"Province de Rio-Grande","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704319' target='other'> <mi>dwc_moreinfo</mi></a>","P00704319_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"998","hb",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-12-21 16:36:28-02","MNHN","RECOLNAT_MNHN_P","P00704320","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","s.c.",NA,NA,"[Brésil]","P00704320",NA,NA,NA,NA,NA,"Rio Grande","Sprgl! herb. n°473 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704320' target='other'> <mi>dwc_moreinfo</mi></a>","P00704320_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-10-03 02:26:54-03","MNHN","RECOLNAT_MNHN_P","P00704321","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sello, F.",NA,NA,"Brésil","P00704321",NA,NA,"1823","11","25","Campo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704321' target='other'> <mi>dwc_moreinfo</mi></a>","P00704321_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","hb",NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-04 05:25:10-03","MNHN","RECOLNAT_MNHN_P","P02457237","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Gaudichaud, C.",NA,NA,"Brasil","P02457237",NA,NA,"1833","1","1","BRÉSIL: Province de Rio-Grande. Rio Grande do Sul, Sul, Brasil, América do Sul",". . [omissa] <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02457237' target='other'> <mi>dwc_moreinfo</mi></a>","P02457237_01","Nakajima","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"889","hb",NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-09-04 05:32:49-03","MNHN","RECOLNAT_MNHN_P","P02677863","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sello",NA,NA,"Brasil","P02677863",NA,NA,"1823","2","1","Brasilia ?. Brasil, América do Sul",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677863' target='other'> <mi>dwc_moreinfo</mi></a>","P02677863_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","hb",NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-04 05:32:49-03","MNHN","RECOLNAT_MNHN_P","P02677864","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sellow",NA,NA,"Brasil","P02677864",NA,NA,NA,NA,NA,". Brasil, América do Sul",". . 2046 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677864' target='other'> <mi>dwc_moreinfo</mi></a>","P02677864_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 05:32:49-03","MNHN","RECOLNAT_MNHN_P","P02677868","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sello",NA,NA,"Brasil","P02677868",NA,NA,"1875","1","1","Brasilia. Brasil, América do Sul",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677868' target='other'> <mi>dwc_moreinfo</mi></a>","P02677868_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 05:32:49-03","MNHN","RECOLNAT_MNHN_P","P02677871","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sello",NA,NA,"Brasil","P02677871",NA,NA,NA,NA,NA,"Brasilia. Brasil, América do Sul",". s.d. [d].(221).1069 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677871' target='other'> <mi>dwc_moreinfo</mi></a>","P02677871_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-04 05:32:49-03","MNHN","RECOLNAT_MNHN_P","P02677873","PreservedSpecimen",NA,NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Sello",NA,NA,"Brasil","P02677873",NA,NA,"1895","2","1","Brasilia, Salto. Brasil, América do Sul",". . d. 221. (59899) <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677873' target='other'> <mi>dwc_moreinfo</mi></a>","P02677873_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
