"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","continentOcean","individualCount"
"1","2021-03-01 16:20:47-03","UNICAMP","UEC","85927","S","Plantae","Liliopsida","Velloziaceae","Burlemarxia","pungens","Burlemarxia pungens","N.L.Menezes & Semir","Menezes, NL; Semir, J","1991","isotypus","Menezes, NL; Souza, VC; Simão, RC","8833","1985","12","16","Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata km 185","-43.6002998352051","-18.2493991851807","101169","Planta crescendo na sombra de fendas de rocha voltadas para o poente. Folhas verde - azuladas, tomentosas, espinescentes no ápice. Flores rosa - salmão","UEC060848","UEC060848","auto",NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3335656","PreservedSpecimen","Plantae",NA,"Velloziaceae","Burlemarxia","pungens","Burlemarxia pungens","N.L. Menezes & Semir",NA,NA,"Isotype","N. L. Menezes, V. C. Souza & R. Simao","CFCR 8833","1985","12","16","Brazil","Minas Gerais",NA,"Diamantina, estrada para conselheiro mata, km 185",NA,NA,NA,NA,"US00516589","US00516589_01",NA,"Monocotyledonae","Liliales","South America - Neotropics","1"
"3","2021-03-15 18:30:17-03","USP","SPF","40990","PreservedSpecimen","Plantae",NA,"Velloziaceae","Barbacenia","pungens","Barbacenia pungens","(N.L.Menezes & Semir) Mello-Silva",NA,NA,"holotype","Menezes, NL; Souza, VC; Simão, R","CFCR8833","1985","12","16","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, km 185. Planta crescendo na sombra de fendas de rocha voltadas para o poente.","-43.6002998352051","-18.2493991851807","101169","Folhas verde-azuladas, tomentosas, espinescentes no ápice. Flores rosa-salmão.","SPF00040990",NA,"auto",NA,NA,NA,NA
