"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","previousCatalogNumber","sex"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","603","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda) L.B.Sm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Raymundo Fernandes Reis Junior; José Carlos Falcon; Edmundo Silva","2001","08","16","Brasil","Bahia","Itapetinga","Estrada para Potiraguá, entrada para Palmares; mata de cipó","-40.2477989196777","-15.2489004135132","59623","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376504","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Chevaliera","stephanophora","Chevaliera stephanophora","(E.Morren) Mez",NA,NA,NA,"K. F. Baker","1939","02","24","Brazil","Pernambuco","Afogados da Ingazeira","Between Afogados and Boa Viagem just south of Recife","-37.6392","-7.7508",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107777' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY00376504","NY00376504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376503","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Chevaliera","stephanophora","Chevaliera stephanophora","(E.Morren) Mez",NA,NA,NA,"K. F. Baker","1939","02","24","Brazil","Pernambuco","Afogados da Ingazeira","Between Afogados and Boa Viagem just south of Recife","-37.6392","-7.7508",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107776' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet","NY00376503","NY00376503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:32-03","MN","R","71604","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda) L.B. Sm.","Sousa, G.M.","2000",NA,"Foster, M.B.","1948","10","13","Brasil","Pernambuco","Recife",NA,"-34.8810997009277","-8.05389022827148","18865",NA,NA,"auto","2429",NA,NA,"R010000739","R010000739",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:35:33-02","IPA","IPA","83579","S","Plantae","Plantae",NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.","Leite, M.S.","2008","06","Leite, M.S.; Wanderley, A.M.; Wanderley, A.M.","2008","05","18","Brasil","Pernambuco","Cabo de Santo Agostinho","Pedra do Cayango, Litoral, entre Megahype e Cayango.","-34.985278","-8.201944",NA,NA,"Rupícola formadora de ilhas de vegatação. População composta por 15 a 20 indivíduos, poucos em frutificação. Fruto em cone espinescente cinza-amarronzado.; Afloramento rochoso.",NA,"791","Southern America",NA,"IPA0083579",NA,"09","-34.985278","-8.201944","112","112",NA,NA,NA,NA
"6","2019-02-15 11:35:33-02","IPA","IPA","67294","S","Plantae","Plantae",NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.",NA,NA,NA,"Sacramento, A.","1997","03","25","Brasil","Pernambuco","Cabo de Santo Agostinho","Ponte dos Carvalhos, restinga. Praia do Paiva","-35.0349998474121","-8.28666973114014","25282",NA,"Erva com ca. de 1m de altura; em floração.","auto","50","Southern America",NA,"IPA0067294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:35:33-02","IPA","IPA","8165","S","Plantae","Plantae",NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.","Andrade-Lima","1956","02","Andrade-Lima","1955","09","14","Brasil","Pernambuco","Jaboatão dos Guararapes","Restinga de Prazeres.","-35.0147018432617","-8.11277961730957","16392",NA,"Fl. rôxa. Phytologia 8(1):12","auto","55-2135","Southern America",NA,"IPA0008165",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:35:33-02","IPA","IPA","13683","S","Plantae","Plantae",NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.","Andrade-Lima","1966","09","Andrade-Lima","1965","11","17","Brasil","Pernambuco","Nazaré da Mata","Engenho Cavalcante, Sombra da mata caducifólia, em morro rochoso.","-35.2277984619141","-7.74167013168335","9456",NA,"Fl. rôxas. Phytologia 8(1):12","auto","65-4318","Southern America",NA,"IPA0013683",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:35:33-02","IPA","IPA","13346","S","Plantae","Plantae",NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.","Andrade-Lima","1964","03","Andrade-Lima","1963","12","26","Brasil","Pernambuco","São Lourenço da Mata","Tapera, Eng. S. Bento, mata do Toró, prox. orla área elevada aprox. oeste, menos úmida.","-35.0182991027832","-8.00222015380859","21764",NA,"Frutos vermelhos. Phytologia 8(1):12","auto","63-4197","Southern America",NA,"IPA0013346",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 14:05:21-03","UFRPE","PEUFR","464","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","muricata","Aechmea muricata","(Arruda & CAMARA) L.B. Sm.","G.M. Sousa","1996","03","A. Lima","1955","09","14","Brasil","Pernambuco","Jaboatão","Restinga de Prazeres",NA,NA,NA,NA,"Flor roxa",NA,"2135",NA,NA,"PEUFR000464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
