"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2375","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","L. B. Smith","1977","R. M. Klein; M. M. Klein","1975","10","18","Brasil","Santa Catarina","Navegantes","-48.654444","-26.899444","48º39'16''W","26º53'58''S","7","7","CRI008831","CRI008831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","2499","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","L. B. Smith","1977","R. M. Klein","1972","11","12","Brasil","Santa Catarina","Navegantes","-48.656944","-26.890278","48º39'25''W","26º53'25''S",NA,NA,"CRI008834","CRI008834","13.359","Passagem da Balsa para Itajaí, Navegantes.","Habitat: beira rio Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","2080","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","L. B. Smith","1978","R. M. Klein","1974","12","26","Brasil","Santa Catarina","Blumenau","-49.073333","-26.901667","49º4'24''W","26º54'6''S","10","10","CRI008833","CRI008833","11.141","Limite municipal de Gaspar - Blumenau.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 20:56:00-03","NY","NYBG","00861866","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya",NA,NA,NA,"M. A. Chase","1925","02","25","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"685","685","NY00861866","NY00861866_01","8635","Igrejinha, 19 km Northwest of Juiz de Fóra","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938036' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","787016","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","P. K. H. Dusén",NA,"P. K. H. Dusén","1914","10","29","Brazil","Paraná",NA,NA,NA,NA,NA,"890","890","NY00787016",NA,"15831","Bariguy","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461168' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 13:29:00-03","NY","NYBG","787019","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya",NA,"J. R. Swallen",NA,"R. M. Klein","1962","12","10","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"750","750","NY00787019","NY00787019_01","3688","Pôrto Uniao","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461169' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","787017","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","S. A. Renvoize",NA,"G. G. Hatschbach","1971","12","08","Brazil","Paraná","Porto Vitória","-51.2317","-26.1611",NA,NA,NA,NA,"NY00787017",NA,"28427","Rio do Banhado","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461170' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 13:29:00-03","NY","NYBG","787018","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya",NA,NA,NA,"L. B. Smith","1956","12","19","Brazil","Santa Catarina","Porto Uniao","-51.0781","-26.2383",NA,NA,"750","750","NY00787018",NA,"8810","Bank of Rio Iguaçu east of Pôrto Uniao","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461172' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","787020","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees ex Trin.) Döll & Asch.","T. R. Soderstrom",NA,"H. S. Irwin","1970","03","23","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"975","975","NY00787020","NY00787020_01","28161","Serra do Espinhaço. Ca. 15km N. of Sao Joao da Chapada","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461171' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:54:28-03","EAO","IAN","48663","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Chase, A","1925","02","25","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN048663",NA,"8635","Igrajinha 19 km NW of Jiuz de Fora. (Cedido pelo Herb. Smithsonian).","3 m tall in shallow water of marsh.","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:54:28-03","EAO","IAN","65399","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Dusén, PKH","1904","01","16","Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,"IAN065399",NA,"3121","Serrinha.",NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:54:28-03","EAO","IAN","66865","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Dutra, AP",NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"IAN066865",NA,"75",NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:54:28-03","EAO","IAN","66866","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.","Kuhlmann, M",NA,"Frazão, A",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN066866",NA,"s.n.",NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:54:28-03","EAO","IAN","49970","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Pires, JM","1949","09","29","Brasil","Bahia","Valença","-39.0731010437012","-13.3703002929688",NA,NA,NA,NA,"IAN049970",NA,"1790",NA,"Capim de beira d'água salobra, da altura de um homem; folhas fortes e cortantes. Vive em moitas, inflorescências verdes.","Monocotiledônea",NA,"Southern America",NA,"43634","auto",NA,NA,NA,NA,NA
"15","2021-02-24 18:14:24-03","UFBA","ALCB","043599","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Doell & Asch.","Guedes, ML","2000","Santos, JJ dos","1997","03","29","Brasil","Bahia","Alcobaça","-39.183333","-17.516667","-39.183333","-17.516667",NA,NA,NA,NA,"s/n","Extremo Sul, Margens do Rio","colmo de 170-250 cm de altura. Lmina foliar de 50-100 cm X 14-18 mm, acuminada, e margem escabrosa. InflorescÆncia em pan¡cula de 60-90 cm de compr.; µrea antropizada.","Monocotyledon",NA,"Southern America",NA,NA,NA,"12",NA,NA,NA,NA
"16","2020-02-08 10:20:39-03","NBC","NL-BOTANY","L.1352066","PreservedSpecimen","Plantae","Gramineae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Hatschbach GG","1965","10","10","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1352066","NL-L1352066",NA,"Paraná, Tibagi, Rio Tibagi.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1352066 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"17","2020-02-08 10:20:39-03","NBC","NL-BOTANY","L.1352067","PreservedSpecimen","Plantae","Gramineae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Klein RM","1962","12","10","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1352067","NL-L1352067",NA,"Plantas de SANTA CATARINA - BRASIL, Pôrto União.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1352067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"18","2020-02-08 10:20:39-03","NBC","NL-BOTANY","L.1352068","PreservedSpecimen","Plantae","Gramineae","Zizaniopsis","microstachya","Zizaniopsis microstachya","(Nees) Döll & Asch.",NA,NA,"Hatschbach GG",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1352068","NL-L1352068",NA,"Est. Parana, Mun. Tibagi, Tibagi.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1352068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
