"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","locality","phylum","order","scientificNameAuthorship","identifiedBy","typeStatus","county","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:12-03","E","E","9228","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Ratter, J.A.; Filho, Fonsêca J.; Gomes, Sueli M. & de Lima Jacques, Elaine","1996","09","03","E. Tropical South America","BR","Mato Grosso do Sul","herbarium specimen of unspecif","BGBASE:46503","<a href=http://data.rbge.org.uk/herb/E00009228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:12-03","E","E","177941","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Gavilanes, M.L.","1992","04","14","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:194184","<a href=http://data.rbge.org.uk/herb/E00177941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:12-03","E","E","177938","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Martins, Fernando R.","1981","12","18","E. Tropical South America","BR","Sao Paulo","herbarium specimen of unspecif","BGBASE:194181","<a href=http://data.rbge.org.uk/herb/E00177938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177938","13234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:12-03","E","E","177940","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Ratter, J.A.","1982","08","15","E. Tropical South America","BR","Goias","herbarium specimen of unspecif","BGBASE:194183","<a href=http://data.rbge.org.uk/herb/E00177940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:12-03","E","E","177837","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Riedel",NA,NA,NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:193468","<a href=http://data.rbge.org.uk/herb/E00177837 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:12-03","E","E","104116","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","23","E. Tropical South America","BR","Tocantins","herbarium specimen of unspecif","BGBASE:113424","<a href=http://data.rbge.org.uk/herb/E00104116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:12-03","E","E","177833","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Hassler, E.","1905","03","27","E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:193464","<a href=http://data.rbge.org.uk/herb/E00177833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177833","12474","In regione lacus Ypacaray.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:12-03","E","E","177834","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Hassler, E.","1905","03","27","E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:193465","<a href=http://data.rbge.org.uk/herb/E00177834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177834",NA,"In regione lacus Ypacaray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:12-03","E","E","177835","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Ratter, J.A.; De Santos, R.R.; Souza, R.; De Castro, R.A. & Andrelinho","1968","06","22","E. Tropical South America","BR","Mato Grosso","herbarium specimen of unspecif","BGBASE:193466","<a href=http://data.rbge.org.uk/herb/E00177835 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:12-03","E","E","177836","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Ratter, J.A.; Filho, Joaquim Fonsêca; Dos Santos, João Batista; de Oliveira, Newton R. & Pais, Nelson Oliveira","1993","11","10","E. Tropical South America","BR","Mato Grosso","herbarium specimen of unspecif","BGBASE:193467","<a href=http://data.rbge.org.uk/herb/E00177836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177836",NA,"Fazenda do Senhor Antonio, Serra da Petrovina, Mun. de Tatuape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:43:12-03","E","E","35842","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","riedelianum","Zanthoxylum riedelianum","Ratter, J.A., Bridgewater, S., Fonsêca Filho, J., Ibañez García, Alicia & dos Santos, Gilmar B.","1996","11","10","E. Tropical South America","BR","Mato Grosso do Sul","herbarium specimen of unspecif","BGBASE:46272","<a href=http://data.rbge.org.uk/herb/E00035842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","55846","PreservedSpecimen","Plantae","Rutaceae","Fagara","prancei","Fagara prancei","G. T. Prance","1968","10","05","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055846","7887","Trail from west bank of Rio Iaco to Rio Purus, 3 km above confluence","Magnoliophyta","Sapindales","Albuq.","B. W. P. de Albuquerque","isotype","Sena Madureira","-68.6569","-9.06556","NY00055846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-02-01 13:33:00-02","NY","NYBG","55852","PreservedSpecimen","Plantae","Rutaceae","Fagara","riedeliana","Fagara riedeliana pubescens","E. Hassler","1900","12",NA,"South America","Paraguay",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055852","5677","Yerbales, montium Sierra de Maracayú. In regione vicine Igatimí.","Magnoliophyta","Sapindales","Chodat & Hassl.",NA,"isotype",NA,NA,NA,"NY00055852_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","929236","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","cinereum","Zanthoxylum cinereum","H. S. Irwin","1966","05","13","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929236","15805","Ca. 25 km E. of Brasília","Magnoliophyta","Sapindales","Engl.","J. A. Kallunki",NA,"Brasília","-47.68338","-15.7833","NY00929236_01",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","929238","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","cinereum","Zanthoxylum cinereum","H. S. Irwin","1966","05","13","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929238","15805","Ca. 25 km E. of Brasília","Magnoliophyta","Sapindales","Engl.","J. A. Kallunki",NA,"Brasília","-47.68338","-15.7833","NY00929238_01",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
