"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:40:18-03","E","E","259544","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","lucida","Oreodaphne lucida","unspecified kind of","Gardner, George","811","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:271769","<a href=http://data.rbge.org.uk/herb/E00259544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02098570","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"W. W. Thomas","10428","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468388' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098570","Magnoliophyta","Laurales","(C.F.W.Meissn.) Mez","P. L. R. de Moraes","1994","05","20","Bahia","Uruçuca","Uruçuca, Escola Media de Agropecuaria da RegiÔo Cacaueria Reserva Gregório Bondar","-39.2842","-14.6033","NY02098570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355732","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","lucida","Oreodaphne lucida","possible type","G. Gardner","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355732","Magnoliophyta","Laurales","Meisn.",NA,"1837","02",NA,"Rio de Janeiro",NA,"Serra dos Orgaos.","-43.073169","-22.496706","NY00355732_01 NY00355732_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355733","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","lucida","Oreodaphne lucida","isotype","G. Gardner","811","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355733","Magnoliophyta","Laurales","Meisn.",NA,"1837","07",NA,NA,NA,"Prope Rio de Janeiro.","-43.448386","-22.913514","NY00355733_01 NY00355733_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:05-03","UFRJ","RFA","25250","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"A. Quinet","17/033",NA,"Brasil",NA,NA,"Árvore, 22 m de altura, 52 cm de DAP, folhas verdes discolores, fruto verde, comum no local.","RFA38542",NA,NA,"(Meisn.) Mez","A. Quinet","2000","09","10","Rio de Janeiro","Rio de Janeiro","Jacarepaguá/Taquara, Santa Maria (caminho do Rio Pequeno)","-43.450833","-22.922778",NA,"2000","10","19","43º27'3''W","22º55'22''S","250","250",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:01-03","UFRJ","RFA","8977","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"E. Pereira","3741",NA,"Brasil",NA,NA,NA,"RFA43228",NA,NA,"(Meisn.) Mez",NA,"1958","06","24","Rio de Janeiro","Rio de Janeiro","Mesa do Imperador","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"7","2020-06-29 11:31:01-03","UFRJ","RFA","17285","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"P. Occhioni","7839",NA,"Brasil",NA,NA,"Arbusto 5 - 6 m de altura; flor verde","RFA14412",NA,NA,"(Meisn.) Mez","A.Quinel","1975","12","12","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada Registro - Planalto","-44.5633010864258","-22.4960994720459",NA,"2006","02","23",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
"8","2020-06-29 11:31:01-03","UFRJ","RFA","12951","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"E. Pereira; Liene, Sucre; Duarte","3931",NA,"Brasil",NA,NA,"Pequena árvore de flores alvas","RFA43227",NA,NA,"(Meisn.) Mez","I. de Vattimo","1958","06","24","Rio de Janeiro","Rio de Janeiro","Estrada Grajaí - Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"9","2020-06-29 11:31:02-03","UFRJ","RFA","7638","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lucida","Ocotea lucida",NA,"P. Occhioni","482",NA,"Brasil",NA,NA,"Árvore mediana; flor creme","RFA43270",NA,NA,"(Meisn.) Vattimo-Gil","I. de Vattimo","1945","10","30","Rio de Janeiro","Rio de Janeiro","Matas da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,"1978","01","12",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"10","2020-01-20 14:40:31-03","UPM","MACK","2648","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"S. Honda","930",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Meisn.) Mez.","B. F. Mellado","2011","12","08","SP","São Paulo","Parque TIZO","-46.6300010681152","-23.5400009155273",NA,"2012","06","22",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"11","2020-01-20 14:40:31-03","UPM","MACK","407","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"R. J. F. Garcia","3525",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Meisn.) Mez","F. S. Siqueira","2008","10","03","SP","São Paulo","Parque Est. Urbano Fazenda TIZO, Butantã, mata","-46.6300010681152","-23.5400009155273",NA,"2008","12","19",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"12","2020-01-20 14:40:31-03","UPM","MACK","2834","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"S. Honda; et al","472",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Meisn.) Mez.","S. Honda","2008","03","31","SP","São Paulo","Parque Tizo","-46.6300010681152","-23.5400009155273",NA,"2008","08","13",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"13","2020-01-20 14:40:31-03","UPM","MACK","2835","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"S. Honda; R.J.F. Garcia, R.S. Pando, R. Costa","308",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Meisn.) Mez.","F. S. Siqueira","2007","12","27","SP","São Paulo","Parque Tizo","-46.6300010681152","-23.5400009155273",NA,"2008","06","17",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"14","2019-12-12 15:31:44-03","UFABC","HUFABC","002217","PreservedSpecimen","Plantae","Lauraceae","Ocotea","cf. brachybotrya","Ocotea cf. brachybotrya",NA,"M. Keiller; R. Cândido","2",NA,"Brasil",NA,NA,"Árvore ca. 3 m. Flores pequenas com corola amarela e cálice esverdeado.","HUFABC002217","Angiospermas",NA,"(Meisn.) Mez","M. Keiller; J.H.L.El Ottra","2018","11","24","São Paulo","São Paulo","Parque CIENTEC, No alto da Trilha Fontes do Ipiranga, próxima à clareira. Remanescente de floresta úmida.","-46.6300010681152","-23.5400009155273",NA,"2019","02",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"15","2020-11-04 11:12:03-03","ESALQ","ESA","65877","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Lyra-Lemos, R.P.","2728.0",NA,"Brasil",NA,NA,NA,"ESA065877","Magnoliophyta",NA,"(Meisn.) Mez","Moraes, P.","1993","04","25","Alagoas","Murici",NA,"-35.9432983398438","-9.30667018890381",NA,"2019",NA,NA,NA,NA,NA,NA,"22851","auto",NA,NA,NA,NA,NA
"16","2020-11-04 11:12:03-03","ESALQ","ESA","104274","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Aguiar, O.T.","1083.0",NA,"Brasil",NA,NA,NA,"ESA104274","Magnoliophyta",NA,NA,"Baitello, J.B.","2002","03","13","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","ESA104274","2002","03","19",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA
"17","2020-11-04 11:12:03-03","ESALQ","ESA","122610","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Flores, T.B.","1481.0",NA,"Brasil",NA,NA,"Arvoreta, ca. 3m de alt. Flores alvas.","ESA122610","Magnoliophyta",NA,"(Meisn.) Mez","Ribeiro, H.L.","2012","10","23","Espírito Santo","Ibitirama","Santa Marta - Trilha a direita após a ponte ao lado do alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,"2018","09","21",NA,NA,NA,NA,"22282","auto",NA,NA,NA,NA,NA
"18","2020-11-04 11:12:03-03","ESALQ","ESA","78940","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Salino, A. ; Moraes, P.O.","4407.0",NA,"Brasil",NA,NA,NA,"ESA078940","Magnoliophyta",NA,"(Meisn.) Mez","Brotto, M.L.","1998","11","21","Minas Gerais","Manhuaçú",NA,"-42.0335998535156","-20.2581005096436","ESA078940","2017","02","02",NA,NA,NA,NA,"32626","auto",NA,NA,NA,NA,NA
"19","2020-11-04 11:12:03-03","ESALQ","ESA","57844","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Mendes-Magalhães, G.","15784.0",NA,"Brasil",NA,NA,NA,"ESA057844","Magnoliophyta",NA,"(Meisn.) Mez","Brotto, M.L.","1959","11","01","Minas Gerais","Pedra Azul",NA,"-41.2971992492676","-16.0053005218506",NA,"2017","02","02",NA,NA,NA,NA,"39993","auto",NA,NA,NA,NA,NA
"20","2020-11-04 11:12:03-03","ESALQ","ESA","56153","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Raggi, F.","18.0",NA,"Brasil",NA,NA,NA,"ESA056153","Magnoliophyta",NA,"(Meisn.) Mez","Gissi, D.S.","2004","08","30","Minas Gerais","São Gonçalo do Rio Abaixo",NA,"-43.3622016906738","-19.826099395752",NA,"2011","02","10",NA,NA,NA,NA,"17525","auto",NA,NA,NA,NA,NA
"21","2020-11-04 11:12:03-03","ESALQ","ESA","106309","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Bazarian, S.V.","132.0",NA,"Brasil",NA,NA,NA,"ESA106309","Magnoliophyta",NA,NA,"Assis, L.C.S.","2006","09","17","São Paulo","Ribeirão Grande",NA,"-48.3600006103516","-24.0900001525879","ESA106309","2007",NA,NA,NA,NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA
"22","2020-11-04 11:12:03-03","ESALQ","ESA","128514","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Kuntz, J.","939.0",NA,"Brasil",NA,NA,"Indivíduo jovem, ca. 3 m alt.","ESA128514","Magnoliophyta",NA,NA,"Baitello, J.B.","2013","03","28","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha Casa de Pedra.","-47.5","-23.9599990844727",NA,"2013","05","02",NA,NA,NA,NA,"41034","auto",NA,NA,NA,NA,NA
"23","2021-03-31 10:26:28-03","UFPI","TEPB","27437","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"S.R. Sousa","12",NA,"Brasil",NA,NA,"Arbóreo; frequência boa; solo arenoso. Indivíduo da florística. Ambiente: Transição <ll>dwc_commonname:</ll> Mangaba-braba",NA,NA,NA,"Mez.","ALENCAR, M. E.","2008","03","16","Piauí","Campo Maior","Barroca do Surrão","-41.935472","-4.749833",NA,"2007","08","29","41°56'07,7W","04°44'59,4S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-26 15:11:06-03","UFPI","TEPB","25360","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"R. BARROS","3346",NA,"Brasil",NA,NA,"Árvore com 7m, muito frequente. Ambiente: Cerrado (Capão) <ll>dwc_commonname:</ll> Cedro-branco",NA,NA,NA,"(Meisn.) Mez",NA,"2008","11","21","Piauí","Campo Maior","Comunidade São Luís","-42.199167","-5.017778",NA,NA,NA,NA,"42°11'57W","05°01'04S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-22 17:45:52-03","UFPI","TEPB","27437","PreservedSpecimen","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"S.R. Sousa","12",NA,"Brasil",NA,NA,"Arbóreo; frequência boa; solo arenoso. Indivíduo da florística. Ambiente: Transição <ll>dwc_commonname:</ll> Mangaba-braba",NA,NA,NA,"Mez.",NA,"2008","03","16","Piauí","Campo Maior","Barroca do Surrão","-41.935472","-4.749833",NA,NA,NA,NA,"41°56'07,7W","04°44'59,4S","223","223",NA,NA,NA,NA,NA,NA,NA
"26","2019-02-15 11:40:52-02","IPA","IPA","39275","S","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Pohl","3538","Southern America","Brasil",NA,NA,NA,"IPA0039275","Plantae",NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-02-15 11:40:52-02","IPA","IPA","84630","S","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Lyra-Lemos, R.P.","2728","Southern America","Brasil",NA,NA,"Arvoreta ca. 3m de altura; frutos imaturos verdes.; Mata Atlântica em encosta.","IPA0084630","Plantae",NA,"(Meisn.) Mez","Moraes, P.L.R. de","1993","04","25","Alagoas","Murici","trilha da Grota da Russa.","-35.9432983398438","-9.30667018890381",NA,"2014","02","10",NA,NA,NA,NA,"22851","auto",NA,NA,NA,NA,NA
"28","2019-02-15 11:40:52-02","IPA","IPA","81883","S","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Cano, O.; et al.; et al.","880","Southern America","Brasil",NA,NA,"Árvore ca. 6m de altura. Flor com cálice amarelo e frutos negros.; Mata ciliar.","IPA0081883","Plantae",NA,"(Meisn.) Mez","Alcina Viana","2007","07","27","Bahia","Lençóis","Chapada Diamantina, Estrada Lençóis - Andaraí, BA-142 , borda da mata, próximo a um riacho.","-41.3899993896484","-12.563099861145",NA,"2008","03","17",NA,NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
"29","2019-02-15 11:40:52-02","IPA","IPA","31975","S","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Roxana Barreto; Gallindo, F.; Lima, R.; Gallindo, F.; Lima, R.","24","Southern America","Brasil",NA,NA,"Árvore ca. 9m de altura; folhagem avermelhada quando jovem. Madeira muito clara.","IPA0031975","Plantae",NA,"(Meisn.) Mez","Roxana Barreto","1983","08","18","Pernambuco","Rio Formoso","Estação Experimental de Saltinho","-35.1585998535156","-8.66361045837402",NA,"1984","01","24",NA,NA,NA,NA,"21734","auto",NA,NA,NA,NA,NA
"30","2019-02-15 11:40:52-02","IPA","IPA","32188","S","Plantae","Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya",NA,"Hoehne, W.","1620","Southern America","Brasil",NA,NA,"Arbusto de mata seca.","IPA0032188","Plantae",NA,"(Meisn.) Mez","Teixeira, B.C.","1944","12","19","São Paulo",NA,"Parque do Estado de São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
