"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","dayIdentified","locality","imagecode","continentOcean","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","typeStatus"
"1","2020-11-04 11:12:42-03","ESALQ","ESA","53911","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Almeida, R.F.","2012","Lucas, E.J. et al.","911.0","2006","12","01","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","-39,883,333","-19,151,333","48094","ESA053911","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:10:19-03","UFES","VIES","36511","S","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","A.M. Amorim","2017","Pena, N.T.L.; Alves-Araújo, A.; Silva, L.A.; Souza, W.O.; Luber, J.; Sossai, B.G.","147","2015","03","16","Brasil","Espírito Santo","Nova Venécia","-40.4006004333496","-18.710599899292",NA,NA,"42400","VIES036511","auto","02","22","APA Pedra do Elefante. Trilha da pedra do Elefante.","VIES036511",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:32:45-03","MBM","MBM","392750","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Almeida, R.F.","2012","Amorim, A.M.A.; Forzza, R.C.; Paixão, J.L.; Gomes, L.C.J.; Forzza, R.C.; Paixão, J.L.; Gomes, L.C.J.","7498","2008","07","16","Brazil","Espírito Santo","Nova Venécia","-40.432778","-18.7825","-40.432778","-18.7825",NA,"MBM392750",NA,"11",NA,"Área de Proteção Ambiental da Pedra do Elefante, Trilha principal na Mata da Fazenda Santa Rita","MBM392750","Southern America","154","154","Liana no sub-bosque. Folhas verdes mais escuras na face superior. Frutos vermelhos vistosos.; Floresta Estacional Semidecidual.",NA,NA,NA
"4","2020-12-11 11:37:37-03","UFMG","BHCB","126787","PreservedSpecimen","Plantae","Dicotyledon","Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.",NA,"2012","Stehmann, JR","5819","2007","02","09","Brasil","Espírito Santo","Linhares","-39.936972","-19.165028","-39.936972","-19.165028",NA,"BHCB027983",NA,NA,NA,"Reserva Natural da CVRD, Entroncamento Flamengo-Gavea, Mussununga",NA,"Southern America",NA,NA,"Trepadeira, flores amarelas",NA,NA,NA
"5","2021-02-11 17:19:29-03","UFPR","UPCB","71167","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","Almeida, R.F.",NA,"Amorim, A.M.","7173","2008","02","18","Brasil","Espírito Santo","Nova Venécia",NA,NA,"9999","9999",NA,NA,NA,NA,NA,"BLOQUEADO",NA,NA,"313","313","Liana ca. 3m alt. Botões com pétalas amarelo-vívido. Flores passadas, cálice e glândulas verdes. Material prensado em álcool..",NA,NA,NA
"6","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","34067",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","R.F. Almeida/IX-2012",NA,"A. M. Amorim; et al","7173","2008","02","18","Brasil","Espírito Santo","Nova Venécia","-40.443889","-18.776944","40W26'38","18S46'37",NA,"MBML034067",NA,NA,NA,"Área de Proteção Ambiental da Pedra do Elefante","MBML034067",NA,NA,NA,"Liana ca. 3m alt. Botões com pétalas amarelo-vívido. Flores passadas, cálice e flandulas verdes. Material prensado em álcool.",NA,NA,NA
"7","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","35210",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","C. Pessoa/10-06-2015",NA,"L. Kollmann; L. Magnago","10533","2008","02","01","Brasil","Espírito Santo","Pinheiros","-40.162778","-18.301389","40W9'46","18S18'5",NA,"MBML035210",NA,NA,NA,"Santa Rita","MBML035210",NA,"130","130","Liana na sombra, frutos marrons.",NA,NA,NA
"8","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","35660",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","R.F. Almeida/IX-2012",NA,"A. M. Amorim; et al","7498","2008","07","16","Brasil","Espírito Santo","Nova Venécia","-40.432778","-18.7825","40W25'58","18S46'57",NA,"MBML035660",NA,NA,NA,"Área de Proteção Ambiental da Pedra do Elefante","MBML035660",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","47246",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied.","C. Pessoa/10-06-2015",NA,"A. M. Assis; M.D.S. Demuner & R. S. Cribari","2309","2009","11","28","Brasil","Espírito Santo","Nova Venécia","-40.430139","-18.753194","40W25'48,5","18S45'11,5",NA,"MBML047246",NA,NA,NA,"APA Pedra do Elefante - estrada entre Faz. Santa Rita e a Rodovia, sentido Mun. Nova Venécia","MBML047246",NA,"90","90","Escandente. Botões e flores amarelas",NA,NA,NA
"10","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","36577",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","bahiensis","Heteropterys bahiensis","Nied","Amorim/28-05-2008",NA,"L. Kollmann; L. Magnago","11204","2008","05","28","Brasil","Espírito Santo","Pinheiros","-40.2132987976074","-18.3703002929688",NA,NA,"28525","MBML036577","auto",NA,NA,NA,"MBML036577",NA,NA,NA,"Liana, frutos secos, flores amarelas.",NA,NA,NA
