"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:14-03","UNESC","CRI","3869","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","J. A. Jarenkow","J. A. Jarenkow","907","1988","09","05","Brasil","Rio Grande do Sul","Capão do Leão","-52.438333","-31.76","52º26'18''W","31º45'36''S","CRI007821","CRI007821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","3942","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","J. A. Jarenkow","J. A. Jarenkow","1703","1990","08","26","Brasil","Rio Grande do Sul","Pelotas","-52.342778","-31.7725","52º20'34''W","31º46'21''S","CRI007823","CRI007823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:14-03","UNESC","CRI","6135","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette","2474","1996","08","20","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI007824","CRI007824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","319","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; Mircia Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S","CRI007825","CRI007825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:11-03","UNESC","CRI","14791","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","Salazar, E.","Schwirkowski, P.","3129","2018","10","27","Brasil","Santa Catarina","Campo Alegre","-49.370278","-26.158611","49º22'13''W","26º9'31''S","CRI014124","CRI014124","2018","10","28","Bairro Fragosos. Bairro Fragosos. Rua Generoso Fragoso.","850","850","FOM. Frangmento antropizado. Frutos imaturos, cor verde Habitat: Em caíva Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:14-03","UNESC","CRI","1340","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","Jairo Jose Zocche","Jairo Jose Zocche",NA,"1990","08","15","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI007826","CRI007826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01022650","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","828","2000","12","17","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.5833","-29.4483",NA,NA,"NY01022650","NY01022650_01",NA,NA,NA,"Várzea do Cedro","830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146019' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182544","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","4577","1986","09","21","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,"NY01182544","NY01182544_01",NA,NA,NA,"Caçapava do Sul - Fazenda da Taleira.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406752' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1182532","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","M. Sobral","M. Sobral","2587","1983","10",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY01182532","NY01182532_01",NA,NA,NA,"Durasnal, Cachoeira do Sul",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406729' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01022648","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","C. M. D. E. Legrand","R. Reitz","1754","1945","08","10","Brazil","Santa Catarina","Sombrio","-49.635936","-29.103288",NA,NA,"NY01022648","NY01022648_01",NA,NA,NA,"Sombrio","15","15","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146029' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01022649","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. F. Smith","R. A. Wasum","227","1999","10","31","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.305","-30.7353",NA,NA,"NY01022649","NY01022649_01",NA,NA,NA,"Caçapava do Sul","350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146017' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01022637","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. B. Smith","L. B. Smith","8792","1956","12","19","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY01022637","NY01022637_01",NA,NA,NA,"Clay pits by Rio Iguaçu, Pôrto Uniao","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145655' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01022638","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","S. M. Silva","D. J. Carriao","s.n.","1995","10","19","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,"NY01022638","NY01022638_01",NA,NA,NA,"Parque Barigui",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145656' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01022647","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","G. G. Hatschbach","G. G. Hatschbach","32602","1973","09","28","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY01022647","NY01022647_01",NA,NA,NA,"Rio Miringuava",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146025' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1182260","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.","L. I. Nevling","P. K. H. Dusén","8055","1909","04","27","Brazil","Paraná",NA,"-50.012929","-25.234872",NA,NA,"NY01182260","NY01182260_01",NA,NA,NA,"Villa Velha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399525' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1182510","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"B. Rambo","61160","1957","09","14","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY01182510","NY01182510_01",NA,NA,NA,"Fazenda do Arroio prope Osorio.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406459' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1182514","PreservedSpecimen","Plantae","Thymelaeaceae","Daphnopsis","racemosa","Daphnopsis racemosa","Griseb.",NA,"M. Rossato","4558","1988","10","01","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,"NY01182514","NY01182514_01",NA,NA,NA,"Fazenda da Taleira.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406476' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
