"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","476857","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","carinatum","Hypericum carinatum","Griseb.","N. K. B. Robson","L. B. Smith","14348","1965","01","06","South America","Brazil","Santa Catarina","Sao Joaquim","13 km southwest of Sao Joaquim","-49.95","-28.37","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476857","NY00476857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476858","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","carinatum","Hypericum carinatum","Griseb.","N. K. B. Robson","R. Reitz","17612","1965","12","14","South America","Brazil","Paraná","Guarapuava","8 km ao oeste de Guarapuava","-51.5632738","-25.394435","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476858","NY00476858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476855","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","carinatum","Hypericum carinatum","Griseb.","N. K. B. Robson","H. H. Bartlett","21378","1944","01","22","South America","Uruguay","Rocha",NA,"Palmares de Castillos; hilly country 25 km north of Castillos",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 00:26:00-03","NY","NYBG","476854","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","carinatum","Hypericum carinatum",NA,"N. K. B. Robson","A. L. Woolston","324","1954","09","20","South America","Paraguay","San Pedro",NA,"Alto Paraguay: Primavera",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:53:00-03","NY","NYBG","476853","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Hypericum","carinatum","Hypericum carinatum",NA,"N. K. B. Robson","A. M. R. Huidobro","2102","1945","05","11","South America","Argentina","Corrientes",NA,"Beron de Astrada; Santa Isabel",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:58-03","UFRJ","RFA","9309","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Hypericum","carinatum","Hypericum carinatum","Griseb.","S.R. Slusarki","G.G. Hatschbach","21020","1969","02","07",NA,"Brasil","Paraná","Guarapuava","Fazenda Campo Real","-51.4580993652344","-25.395299911499",NA,NA,NA,"Subarbusto 50 cm de altura. Flor amarela. Pistilo 5","RFA36123",NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:53:24-03","NBC","NL-BOTANY","L.2411120","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.",NA,"Pedersen TM",NA,"1968","01","31","Southern America","Argentina",NA,NA,"Estancia ''Fortín del Iberá'', Dépt.Concepción, Prov.Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2411120 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2411120","NL-L2411120",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:53:24-03","NBC","NL-BOTANY","L.2411121","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.",NA,"Pedersen TM",NA,"1959","10","19","Southern America","Paraguay",NA,NA,"Estancia,,La Soledad'', Santiago, Dép. Misiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2411121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2411121","NL-L2411121",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:53:24-03","NBC","NL-BOTANY","U.1204935","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","11","02","Southern America","Brazil",NA,NA,"Loc. Brasil banhado 25 km N de Santo Angelo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1204935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1204935","NL-U1204935",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:53:24-03","NBC","NL-BOTANY","WAG.1464004","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.",NA,"Pedersen TM",NA,"1968","01","31","Southern America","Argentina",NA,NA,"Estancia ''Fortín del Iberá'', Dépt.Concepción, Prov.Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1464004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1464004","NL-WAG1464004",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:11:17-03","ESALQ","ESA","84161","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Hypericum","carinatum","Hypericum carinatum","Griseb.","Arbo, M.M.","Schinini, A. et al.","35622.0","2001","10","29",NA,"Argentina","Corrientes","Dep. Santo Tomé",NA,NA,NA,NA,NA,NA,NA,"ESA084161","ESA084161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:33:39-03","IAP","PACA-AGP","11138","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","P. Buck SJ",NA,"1943","01",NA,NA,"Brasil","RS","São Luiz das Missões","Cerro Largo",NA,NA,NA,NA,NA,"Habitat: in campestribus dumetosis Fenofase: flor e fruto","PACA011138",NA,NA,NA,"Magnoliatae","2013","11","04",NA,NA,NA,NA
"13","2019-08-27 13:33:39-03","IAP","PACA-AGP","115102","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","S. Bordignon et al.",NA,"2009","12","18",NA,"Brasil","RS","Arroio dos Ratos","Estrada Minas do Faxinal","-51.7291984558105","-30.0771999359131",NA,NA,NA,"ICN: 177450","PACA115102",NA,"29956","auto","Magnoliatae","2014","05","13",NA,NA,NA,NA
"14","2019-08-27 13:33:39-03","IAP","PACA-AGP","115103","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","S. Bordignon",NA,"2009","11","27",NA,"Brasil","RS","Canoas","Campus da Ulbra","-51.1836013793945","-29.9178009033203",NA,NA,NA,"Subarbusto 1m altura, pétalas tingidas de vermelho na face abaxial.&nf;ICN: 177459 Habitat: Banhado","PACA115103",NA,"8037","auto","Magnoliatae","2013","05","13",NA,NA,NA,NA
"15","2019-08-27 13:33:39-03","IAP","PACA-AGP","40240","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1949","01","28",NA,"Brasil","RS","Farroupilha","Santa Rita","-51.3478012084961","-29.2250003814697",NA,NA,NA,"Habitat: in dumetosis humidis Fenofase: flor e fruto","PACA040240",NA,"19545","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"16","2019-08-27 13:33:39-03","IAP","PACA-AGP","39587","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1949","01","07",NA,"Brasil","RS","Gravataí","Cachoeirinha","-50.9919013977051","-29.9444007873535",NA,NA,NA,"Habitat: in dumetosis paludosis Fenofase: flor","PACA039587",NA,"25424","auto","Magnoliatae","2013","11","05",NA,NA,NA,NA
"17","2019-08-27 13:33:39-03","IAP","PACA-AGP","32823","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1945","12","12",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Habitat: in humidis dumetosis Fenofase: flor e fruto","PACA032823",NA,"29946","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"18","2019-08-27 13:33:39-03","IAP","PACA-AGP","11139","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1943",NA,NA,NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,"Habitat: in dumetosis humidis Fenofase: flor e fruto","PACA011139",NA,"29946","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"19","2019-08-27 13:33:39-03","IAP","PACA-AGP","36992","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Henz, E.",NA,"1947","03","03",NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,"Habitat: In paludosis dumetosis Fenofase: fruto","PACA036992",NA,"10287","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"20","2019-08-27 13:33:39-03","IAP","PACA-AGP","25005","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","F. Theissen SJ",NA,"1907",NA,NA,NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,"Habitat: In dumetosis campestribus Fenofase: flor","PACA025005",NA,"10287","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"21","2019-08-27 13:33:39-03","IAP","PACA-AGP","34785","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1947","01","03",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Habitat: in campestribus subhumidis dumetos. Fenofase: flor e fruto","PACA034785",NA,"63451","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"22","2019-08-27 13:33:39-03","IAP","PACA-AGP","61355","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","J. Pivetta","1211","1956","02","07",NA,"Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,"Habitat: in humidis Fenofase: flor","PACA061355",NA,"36807","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"23","2019-08-27 13:33:39-03","IAP","PACA-AGP","61341","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","J. Pivetta","1182","1956","02","07",NA,"Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,"Habitat: in humidis Fenofase: flor","PACA061341",NA,"36807","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"24","2019-08-27 13:33:39-03","IAP","PACA-AGP","11140","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","E. Friderichs SJ",NA,"1943","01",NA,NA,"Brasil","RS","Lagoa Vermelha",NA,"-51.5257987976074","-28.2085990905762",NA,NA,NA,"Habitat: in dumetosis humidis Fenofase: flor","PACA011140",NA,"42261","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"25","2019-08-27 13:33:39-03","IAP","PACA-AGP","25735","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1944","01",NA,NA,"Brasil","RS","São Gabriel","Fazenda Santa Cecilia","-54.3199996948242","-30.3363990783691",NA,NA,NA,"Sicher, 03081954 Habitat: in campestribus dumetosis Fenofase: flor e fruto","PACA025735",NA,"56206","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"26","2019-08-27 13:33:39-03","IAP","PACA-AGP","11145","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1943","01",NA,NA,"Brasil","RS","São Sebastião do Caí","Nova Petrópolos","-51.3755989074707","-29.5867004394531",NA,NA,NA,"Habitat: in dumetosis humidis Fenofase: flor","PACA011145",NA,"12036","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"27","2019-08-27 13:33:39-03","IAP","PACA-AGP","9760","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","carinatum","Hypericum carinatum","Griseb.","C. Vogel Ely","Rambo, B.",NA,"1942","01","29",NA,"Brasil","RS","Tupanciretã",NA,"-53.8358001708984","-29.0806007385254",NA,NA,NA,"Habitat: in campestribus dumetosis humidis Fenofase: flor e fruto","PACA009760",NA,"59498","auto","Magnoliatae","2013","11","04",NA,NA,NA,NA
"28","2019-08-27 13:33:39-03","IAP","PACA-AGP","45778","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Hypericum","megapotamicum","Hypericum megapotamicum","Malme","Emrich-Rambo","Rambo, B.",NA,"1950","02","07",NA,"Brasil","RS","Farroupilha","Santa Rita","-51.3478012084961","-29.2250003814697",NA,NA,NA,"SEM MATERIAL Habitat: in paludosis dumetosis Fenofase: flor e fruto","PACA045778",NA,"19545","auto","Magnoliatae","1954","08","04",NA,NA,NA,NA
