"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","year","month","day","recordNumber","dayIdentified","phylum","continentOcean","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","coordinatePrecision","imagecode","geoFlag"
"1","2021-01-14 15:27:51-03","MN","R","236738","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1966","08","Becker, J.","Brasil","Espírito Santo","Ilha da Trindade","29°20'","20°30'","300","300","R010046974,R010046979,R010046978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:27:51-03","MN","R","236739","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1966","07","Becker, J.","Brasil","Espírito Santo","Ilha da Trindade","29°20'","20°30'","600","600","R010046975,R010046971,R010046976","1965","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:27:51-03","MN","R","236740","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1966","07","Becker, J.","Brasil","Espírito Santo","Ilha da Trindade","29°20'","20°30'","300","300","R010046973,R010046972","1966","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:27:51-03","MN","R","236741","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1966","08","Becker, J.","Brasil","Espírito Santo","Ilha da Trindade","29°20'","20°30'","600","600","R010046968,R010046969","1965","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:27:51-03","MN","R","51858","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1950",NA,"Mello Filho, L.E.; Segadas-Vianna, F.","Brasil","Espírito Santo","Ilha da Trindade",NA,NA,NA,NA,"R010047306,R010047301,R010047302","1950","05","24","938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:27:51-03","MN","R","51870","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Brade, A.C.","1950",NA,"Mello Filho, L.E.; Segadas-Vianna, F.","Brasil","Espírito Santo","Ilha da Trindade",NA,NA,NA,NA,"R010046977","1950","05","25","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:40-03","MN","R","228110","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Silva, N.G.","2016","06","Alves, R.J.V; Becker, J.","Brasil","Espírito Santo","Espírito Santo",NA,NA,NA,NA,"R010008158,R010008747","1994","12","20","4638","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-22 17:47:43-03","UFJF","CESJ","61281","PreservedSpecimen","Plantae","Thelypteridaceae","Amauropelta","novaeana","Amauropelta novaeana","(Brade) Salino & T.E. Almeida","A. Salino","2017","08","V.A.O. Dittrich; P.P.U. Aquino; R.D. Berrêdo","Brasil","Espírito Santo",NA,"-29.323361","-20.51525","437","437","CESJ061281","2011","10","24","1740",NA,"Polypodiopsida","América do Sul","Ilha da Trindade","-29.323361","-20.51525","Terrícola em área de vegetação campestre. Ob.: mat. em sílica-gel.",NA,NA,NA
"9","2020-04-27 16:11:49-03","UFES","VIES","11264","S","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Salino, A.","2003","12","Gomes, J.M.L.","Brasil","Espírito Santo","Vitória",NA,NA,NA,NA,"VIES011264","1992","01","25","1768",NA,NA,NA,"Ilha de Trindade - Pico do Desejado.","-40.3377990722656","-20.3194007873535","Na mata.","15291","VIES011264 VIES011264_1","auto"
"10","2020-12-21 16:46:23-03","MBM","MBM","393177","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Dittrich, V.A.O.","2011","10","Dittrich, V.A.O.; Aquino, P.P.U.; Berrêdo, R.D.; Aquino, P.P.U.; Berrêdo, R.D.","Brazil","Espírito Santo","Ilha da Trindade","-29.323333","-20.515278","437","437","MBM393177","2011","10","24","1740",NA,NA,"Southern America",NA,"-29.323333","-20.515278","Terrícola.; Em área de vegetação campestre.",NA,"MBM393177",NA
"11","2021-01-12 15:25:03-03","UFMG","BHCB-SL","105033","PreservedSpecimen","Plantae","Thelypteridaceae","Amauropelta","novaeana","Amauropelta novaeana","(Brade) Salino & T.E.Almeida","Dittrich, VAO","2011","10","Dittrich, VAO; Aquino, PPU; Berredo, RD","Brasil","Espírito Santo","Ilha da Trindade","-29.323333","-20.515278","437","437",NA,"2011","10","24","1740",NA,NA,"América",NA,"-29.323333","-20.515278","Terrícola em área de vegetação campestre.",NA,NA,NA
"12","2019-12-19 16:21:03-03","UFMG","BHCB-SL","87260","PreservedSpecimen","Plantae","Thelypteridaceae","Amauropelta","novaeana","Amauropelta novaeana","(Brade) Salino & T.E.Almeida","Salino, A",NA,NA,"Gomes, JML","Brasil","Espírito Santo","Vitória",NA,NA,NA,NA,"BHCB001708","1992","01","25","1768",NA,NA,"América","Ilha de Trindade","-40.3377990722656","-20.3194007873535","Restinga. Plano. Na Mata.","15291","BHCB001708","auto"
"13","2019-11-01 15:18:20-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Thelypteridaceae","Amauropelta","novaeana","Amauropelta novaeana","(Brade) Salino & T.E. Almeida","Salino, A","2018","12","Mundim, JV; Mill, GN; Amorim, F; Freire, JB","Brasil","Ilha da Trindade",NA,"-29.19378","-20.3036",NA,NA,"UB0036345","2016","04","24","589",NA,"Pteridophyta","Southern America","Fazendinha","-29.19378","-20.3036","Floresta Nebular",NA,"UB0036345",NA
"14","2019-11-01 15:18:20-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Thelypteridaceae","Amauropelta","novaeana","Amauropelta novaeana","(Brade) Salino & T.E. Almeida","Salino, A","2018","12","Mundim, JV; Amorim, F","Brasil","Ilha da Trindade",NA,"-29.19375","-20.30359",NA,NA,"UB0036346","2016","04","24","568",NA,"Pteridophyta","Southern America","Fazendinha","-29.19375","-20.30359","Floresta Nebular",NA,"UB0036346",NA
"15","2019-11-01 15:17:56-03","UnB","UB","215313","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Faria, ALA","2015","08","Faria, ALA; Dantas, TS","Brasil","Ilha da Trindade",NA,"-29.195833","-20.518611","500","500","UB0031690","2015","08","08","1080",NA,"Pteridophyta","Southern America","Pico do Desejado","-29.195833","-20.518611",NA,NA,"UB0031690",NA
"16","2019-11-01 15:17:56-03","UnB","UB","103736","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Incógnito",NA,NA,"Cuyler, WK","Unknown",NA,NA,NA,NA,NA,NA,"UB0033672","1926","01",NA,"4763",NA,"Pteridophyta",NA,"Cascade valley, So. Trinidad, So. Atlantic Ocean. Height: 6-30. Herbarium of Cleveland Museum of Natural History. Blossom South Atlantic Expedition, 1923-1926",NA,NA,"Sedges, grass, herbaceous anuals. Moist, sheltered slopes. Solo: Soil rich loam.",NA,NA,NA
"17","2019-11-01 15:17:56-03","UnB","UB","215312","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Faria, ALA","2015","08","Faria, ALA; Dantas, TS","Brasil","Ilha da Trindade",NA,"-29.195833","-20.518611","500","500","UB0031692","2015","08","08","1079",NA,"Pteridophyta","Southern America","Pico do Desejado","-29.195833","-20.518611",NA,NA,"UB0031692",NA
"18","2019-11-01 15:17:56-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","novaeana","Dryopteris novaeana","Brade","Faria, ALA","2015","08","Faria, ALA; Dantas, TS","Brasil","Ilha da Trindade",NA,"-29.195833","-20.518611","500","500","UB0031688","2015","08","08","1079",NA,"Pteridophyta","Southern America","Pico do Desejado","-29.195833","-20.518611",NA,NA,"UB0031688",NA
"19","2019-11-01 15:18:22-03","UnB","UB","154673","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Paixão, LC","2013","07","Faria, ALA","Brasil","Ilha da Trindade",NA,"-29.3275","-20.521111","520","520","UB0035960","2011","03","10","511",NA,"Pteridophyta","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","Solo",NA,"UB0035960",NA
"20","2019-11-01 15:18:22-03","UnB","UB","154683","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Paixão, LC","2013","07","Faria, ALA","Brasil","Ilha da Trindade",NA,"-29.3275","-20.521111","520","520","UB0035957","2011","03","10","521",NA,"Pteridophyta","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","Solo",NA,"UB0035957",NA
"21","2019-11-01 15:18:22-03","UnB","UB","154684","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","novaeana","Thelypteris novaeana","(Brade) Ponce","Paixão, LC","2013","07","Faria, ALA","Brasil","Ilha da Trindade",NA,"-29.3275","-20.521111","520","520","UB0035954","2011","03","10","522",NA,"Pteridophyta","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","Solo",NA,"UB0035954",NA
