"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","13775","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","Alexandre Medeiros","2017","11","10","Alexandre Medeiros","2017","11","10","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.600278","-27.048611","48º36'1''W","27º2'55''S","Flores amarelas com fragrância adocicada e agradável Habitat: Terrestre Habito: Arbóreo","CRI012383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:19-03","UNESC","CRI","13850","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","Alexandre Medeiros","2017","11","10","Alexandre Medeiros","2017","11","10","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro APA Costa Brava","-48.585","-27.023333","48º35'6''W","27º1'24''S","Flor amarela/ fragrância adocicada Habitat: Terrestre Habito: Arbóreo","CRI012461","789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","10030","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","Silva, D.",NA,NA,NA,"Silva, D.","2012","11","26","Brasil","Santa Catarina","Gaspar","Coloninha.","-48.976944","-26.925278","48º58'37''W","26º55'31''S","Habito: árvore","CRI003048",NA,"CRI003048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:19-03","UNESC","CRI","9352","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","A. Stival-Santos","2009","11","20","A. Stival-Santos; E. Legal & S. Silveira","2009","11","20","Brasil","Santa Catarina","Itajaí","Brilhante.","-48.780278","-26.999722","48º46'49''W","26º59'59''S","Floresta Ombrófila Densa Habitat: pastagem Habito: árvore","CRI003045","1284","CRI003045","72","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:19-03","UNESC","CRI","9384","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","S. Dreveck","2009","07","29","S. Dreveck; A. Stival-Santos & M. Verdi","2009","07","29","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí- Trilha da Chuva.","-49.081667","-27.0575","49º4'54''W","27º3'27''S","Floresta Ombrófila Densa","CRI003047","1022","CRI003047","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:48-03","E","E","100010","PreservedSpecimen","Plantae","Leguminosae","Platymiscium","floribundum","Platymiscium floribundum",NA,NA,NA,NA,NA,"Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","15","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00100010 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100010",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:109519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:48-03","E","E","100013","PreservedSpecimen","Plantae","Leguminosae","Platymiscium","floribundum","Platymiscium floribundum",NA,NA,NA,NA,NA,"Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","17","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00100013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100013",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:109525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:48-03","E","E","125302","PreservedSpecimen","Plantae","Leguminosae","Platymiscium","floribundum","Platymiscium floribundum",NA,NA,NA,NA,NA,"Ratter, J.A.","1976","09","05","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125302",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:132608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:48-03","E","E","125303","PreservedSpecimen","Plantae","Leguminosae","Platymiscium","floribundum","Platymiscium floribundum",NA,NA,NA,NA,NA,"Klitgaard, B.B. & de Lima, H.C.","1993","11","02","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125303","1",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:132654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:40:48-03","E","E","125301","PreservedSpecimen","Plantae","Leguminosae","Platymiscium","floribundum","Platymiscium floribundum",NA,NA,NA,NA,NA,"Ratter, J.A., Mecenas, Valmira & Armando, Marcio S.","1990","09","27","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125301",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:132645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
