"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber"
"1","2021-04-05 14:33:44-03","UNESC","CRI","12906","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Renato Colares & Aline Votri Guislon","2018","03","21","Alexandre Medeiros","2017","09","23","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 717 Habitat: Terrícola Habito: Arbustivo","CRI011514","CRI011514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:35-03","UNESC","CRI","14216","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Sobral, M","2010","01","25","Dreveck, S.; Carneiro, F.E.","2009","10","17","Brasil","Santa Catarina","Joinville","Piraberaba - Rio da Prata. Piraberaba - Rio da Prata.","-48.96","-26.19","48º57'36''W","26º11'24''S","Florística IFFSC 1049 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arvoreta; Fruto verde;","CRI013344","CRI013344","1175","15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:35-03","UNESC","CRI","12245","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Sobral, M","2015","07","10","Carneiro, FE","2011","07","15","Brasil","Santa Catarina","Santa Rosa de Lima","PCH do Rio Chapéu - SC- 431","-49.138333","-28.070278","49º8'18''W","28º4'13''S","Fruto Verde. Doação Herbário FURB (36079) Habito: Arvoreta","CRI010427",NA,"40","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","7691","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2007","10","31","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI004656","CRI004656",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:35-03","UNESC","CRI","5500","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Z. P. Topanotti",NA,NA,NA,"V. Citadini-Zanette; V. Boff","1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","Habito: arbórea","CRI004633","CRI004633","2431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","11868","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick",NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S",NA,"CRI008605","CRI008605",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","12777","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Jader Lima Pereira & Daniela Niero Nazario","2017","11","16","Daniela Niero Nazario; Jader Lima Pereira","2017","09","30","Brasil","Santa Catarina","Treviso",NA,"-49.523333","-28.489444","49º31'24''W","28º29'22''S","Habito: Arbóreo","CRI011041","CRI011041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","5372","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1992","12","22","Brasil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro.","-52.683333","-29.604167","52º41'0''W","29º36'15''S","Habito: arbórea","CRI004649","CRI004649","2246","66","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:35-03","UNESC","CRI","606","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI004636","CRI004636","956","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:35-03","UNESC","CRI","11981","PreservedSpecimen","Plantae","Meliaceae","Trichilia","pallens","Trichilia pallens","C.DC.","Aline Votri Guislon","2013","07","18","Aline Votri Guislon; Peterson Teodoro Padilha & Robson dos Santos","2013","07","18","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","PAP 27 cm Habito: Árvore","CRI010127","CRI010127",NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
