"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:40:48-03","E","E","296832","PreservedSpecimen","Plantae","Leguminosae","Ormosia","minor","Ormosia minor","syntype","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:317314","<a href=http://data.rbge.org.uk/herb/E00296832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","607992","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"F. C. Hoehne","South America","Brazil","Capital, nativa no Parque do Estado e Jardim Botânico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607992","Magnoliophyta","Fabales","Vogel","W. A. Ducke","s/n¦","1932","01","12","São Paulo","-46.621883","-23.654505","NY00607992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","607995","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"F. C. Hoehne","South America","Brazil",NA,"sheet",NA,"[Collection information from duplicate sheet] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607995","Magnoliophyta","Fabales","Vogel","W. A. Ducke","s.n.","1932","01","12","São Paulo",NA,NA,"NY00607995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","607991","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"G. T. Prance","South America","Brazil","Alto da Biological Reserve, Paranapiacaba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607991","Magnoliophyta","Fabales","Vogel","C. H. Stirton","10458","1969","04","02","São Paulo",NA,NA,"NY00607991_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","607994","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"F. C. Hoehne","South America","Brazil","Jardim Botanico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607994","Magnoliophyta","Fabales","Vogel","B. A. Krukoff","s.n.","1932","01","12","São Paulo","-46.618358","-23.646109","NY00607994_01",NA,NA,"Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","607990","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"H. C. de Lima","South America","Brazil","Estrada p/Glicério, próximo a Represa de Macabú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607990","Magnoliophyta","Fabales","Vogel","H. C. de Lima; J. Fontella Pereira","2640","1985","12","02","Rio de Janeiro","-41.7867","-22.3708","NY00607990_01",NA,NA,"Macaé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1009366","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"P. Fiaschi","South America","Brazil","Chaves. ES-080 (estrada não-pavimentada ligando a ES-261 à cidade de Santa Leopoldina), 8 km S da ES-261, num ramal de 1 km de extensão rumo à Cachoeira do REcanto, no Rio da Prata (afluente do Rio Santa Maria).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009366","Magnoliophyta","Fabales","Vogel","B. M. Torke","3531","2011","01","22","Espírito Santo","-40.54603","-20.00128","NY01009366_01","564",NA,"Santa Leopoldina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","607993","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"F. C. Hoehne","South America","Brazil","Capital, nativa no Parque do Estado e Jardim Botânico","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607993","Magnoliophyta","Fabales","Vogel","W. A. Ducke","s/n¦","1932","01","12","São Paulo","-46.621883","-23.654505","NY00607993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2480384","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"H. C. de Lima","South America","Brazil","Area de Proteção Ambiental de Macaé de Cima. Reserva Ecológica de Macaé de Cima, estrada para Macaé de Cima, cerca de 2 km após o Hotel Garlip","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706380' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480384","Magnoliophyta","Fabales","Vogel",NA,"5025","1995","03","18","Rio de Janeiro","-41.7868995666504","-22.3708000183105","NY02480384_01",NA,NA,"Macaé","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:30:37-03","UFRJ","RFA","39630","PreservedSpecimen","Plantae","Fabaceae","Ormosia","minor","Ormosia minor",NA,"Finotti R.; Caruzo J.",NA,"Brasil","Antigo assentamento do INCRA",NA,NA,"Arvore de 8 metros de altura e PAP de 32,6 cm.","RFA24632",NA,NA,"Vogel","R. D. Ribeiro","62",NA,NA,NA,"Rio de Janeiro","-42.845833","-22.577222",NA,"50","50","Guapimirim",NA,NA,"42º50'45''W","22º34'38''S",NA,NA,NA,NA,NA,NA,NA
