"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","504720","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.","I. Cordeiro","R. de Lemos Fróes","20217","1943","02","16","South America","Brazil","Bahia","Iramaia","De Brejao a Jiquy. Regiao da Serra de Sincorá","-40.9508","-13.2858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504720","NY00504720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503969","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.","A. Radcliffe-Smith","R. M. Harley","15263","1972","01","18","South America","Brazil","Bahia","Rio de Contas","On road to Abaira ca. 8 km to N of the town of Rio de Contas","-41.78","-13.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503969","NY00503969_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503968","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.","F. A. Pax","P. von Luetzelburg","330","1913","08","01","South America","Brazil","Bahia",NA,"Carrapatos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503968","NY00503968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503970","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.","G. L. Webster","A. G. Fernandes","8","1977","04","21","South America","Brazil","Ceará","Carnaubal","Serra Grande.","-40.9428","-4.1669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503970","NY00503970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-04-12 08:36:00-03","NY","NYBG","1127919","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides",NA,"A. Fernandes","A. H. Gentry","50166","1985","02","15","South America","Brazil","Ceará",NA,"CE-090, 8 km W of Crato, on slopes of Chapada do Araripe.","-39.83","-7.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272131' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127919","NY01127919_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685079","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.","G. L. Webster","S. A. Mori","11781","1979","05","04","South America","Brazil","Bahia","Maracás","Rod. BA-250, Fazenda dos Pássaros a 24 km a E de Maracás.","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685079","NY00685079_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","246509","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides","Müll.Arg.",NA,"J. S. Blanchet","2835","1839",NA,NA,"South America","Brazil","Bahia",NA,"Serra de Acurua",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246509","NY00246509_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 12:58:00-03","NY","NYBG","503971","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","argyrophylloides","Croton argyrophylloides",NA,"F. Crozier","J.-J. de Granville","13403","1997","03","16","South America","French Guiana",NA,NA,"Montagnes de la Trinité. Bassin de la Mana","-53.37","4.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503971",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","801822","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","tricolor","Croton tricolor","Griseb.","R. Riina","M. H. Nee","49675","1998","06","07","South America","Bolivia","Santa Cruz","Florida","7 km (by road) NE of crossing of Río Paredones north of Achiras Camping resort, on trail to Abra Los Toros.","-63.7917","-18.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801822",NA,"2075","2075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1018433","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","tricolor","Croton tricolor","Müll.Arg.",NA,"R. M. Harley","2834","2004","12","31","South America","Brazil","Bahia","Jacobina","Morro ao norte do hotel Serra do Ouro.","-40.5089","-11.1711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259469' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018433","NY01018433_01","655","655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
