"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","class","relatedCatalogItem","individualCount","county","coordinatePrecision","geoFlag","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","228736","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","isotype","A. C. Brade","21187","1957","10","10","South America","Brazil","São Paulo","Serra de la Bocaina","-44.676361","-22.842145","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228736","NY00228736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","228737","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","isotype","A. C. Brade","21187","1957","10","10","South America","Brazil","São Paulo","Serra de la Bocaina","-44.676361","-22.842145","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228737","NY00228737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1477596","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","isotype","A. C. Brade","21187[= herb. 75917]","1957","10","10","South America","Brazil","São Paulo","Serra da Bocaina","-44.676361","-22.842145","1600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477596","NY01477596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:44:24-03","EAO","IAN","94585","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","isotipo","Brade, AC","21187","1951","10","10","Southern America","Brasil","São Paulo","Serra da Bocaina. Varzea pantanosa, nas touceiras de Cortadeiras e Xyridaceae assoc. com Sphagnum.",NA,NA,NA,NA,NA,NA,"IAN094585",NA,"Brade, AC","1951",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:03:07-03","NBC","NL-BOTANY","U 0004039","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","isotype","Brade AC",NA,"1951","10","10","Southern America","Brazil","São Paulo","Estado de Sao Paulo - Serra da Bocaina -",NA,NA,NA,NA,NA,"Varzea pantenosa, nas touceiras de Cortadeira e Xyridaceae assoc. com Sphagnum.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004039 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004039","NL-U0004039",NA,NA,"Magnoliopsidae","33199 B",NA,NA,NA,NA,NA
"6","2016-02-02 14:38:33-02","BGBM","B","B 10 0465926","S","Plantae",NA,NA,"Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Bade",NA,"A. C. Brade","21187","1957","10","10","Middle and South America","Brazil",NA,"Sao Paulo (SP) .Serra de Bocaina.",NA,NA,"1600","1600",NA,"<a href=http://herbarium.bgbm.org/object/B100465926 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100465926","B100465926",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:34:23-03","MBM","MBM","374480","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","ISOTYPE","Brade, A.C.","21187","1957","10","10","Southern America","Brazil","São Paulo","Serra da Bocaina",NA,NA,"1600","1600",NA,"Várzea pantanosa, nas touceiras de Cortaderia e Xyridaceae.","MBM374480","MBM374480",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-06 08:29:00-03","MO","MOBOT","3229194","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","uliginosa","Miconia uliginosa","(Brade) R. Goldenb.","Isotype","Alexander C. Brade","Brade 21187","1951","10","10","South America","Brazil","São Paulo","Serra da Bocaina",NA,NA,"1600.00000000",NA,NA,NA,NA,NA,"fide Michelangeli et al.",NA,NA,NA,"1",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3648092","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","Isotype","A. C. Brade","21187","1951","10","10","South America - Neotropics","Brazil","São Paulo","Serra da Bocaina",NA,NA,"1600","1600",NA,"Date on label is 10-X-1957, apparently an error for 10.X.1951 as cited in protologue (note also name was published in 1956!).","US01105581","US01105581_01",NA,NA,"Dicotyledonae",NA,"1",NA,NA,NA,NA
"10","2021-03-08 15:44:10-03","MN","R-TIPOS","212572","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","uliginosa","Leandra uliginosa","Brade","Isotypus","Brade, A.C.","s.n.","1957","10","10",NA,"Brasil","São Paulo","Serra da Bocaina","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"R000212572","R000212572_001",NA,NA,NA,NA,NA,"São Paulo","53584","auto",NA
