"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus"
"1","2020-09-23 10:41:32-03","E","E","82947","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Silva, Cordeiro, J. & Poliquesti, C.B.","1875","1996","12","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91430","<a href=http://data.rbge.org.uk/herb/E00082947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02736630","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","F. Almeda","9830","2009","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244523' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736630","Magnoliophyta","Myrtales","Cham.","São Paulo","Road from Sao Jose do Barreiro","-44.61658","-22.73317","1493","1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02226436","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","F. R. da Maia","25","2011","11","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499169' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226436","Magnoliophyta","Myrtales","Cham.","Paraná","Parque Estadual do Guartelá","-50.23","-24.57",NA,NA,"F. Almeda","Tibagi","NY02226436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02226412","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","R. Goldenberg","1665","2011","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499156' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226412","Magnoliophyta","Myrtales","Cham.","Paraná","Parque Estadual do Guartelá.","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Tibagi","NY02226412_01","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558638","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","T. M. Koyama","13839","1970","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558638","Magnoliophyta","Myrtales","Cham.","Paraná","Road from Curitiba to Vila Vellia, Fazenda Santo Amelia, Highway BR at Km 70",NA,NA,NA,NA,"R. Goldenberg",NA,"NY00558638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:49-03","UTFPR","DVPR","401","PreservedSpecimen","Plantae","Melastomataceae","Lavoisiera","australis","Lavoisiera australis","Saridakis, DP; Correa, GT; Souza, A","s.n.","2002","07","19",NA,"Brasil",NA,NA,"Arbusto 40 cm, flores rosa-choque.; Em campo natural, a 1150 m de altitude.","DVPR000401","Magnoliophyta",NA,"Naudin","Paraná","margem da PR 151, entre Piraí e Jaguaraíva",NA,NA,NA,NA,"Estevan, DA","Joaquim Murtinho","DVPR000401",NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:25:23-03","PUCPR","HUCP","19661","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M; Beltrami, L","1874","2007","12","09",NA,"Brasil",NA,NA,NA,"HUCP00013688","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013688","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:23-03","PUCPR","HUCP","18636","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M; Beltrami, L","1201","2006","08","26",NA,"Brasil",NA,NA,NA,"HUCP00013605","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013605","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:23-03","PUCPR","HUCP","21141","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M","2619","2009","03","23",NA,"Brasil",NA,NA,NA,"HUCP00013676","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013676","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:23-03","PUCPR","HUCP","19972","S","Plantae","Melastomataceae","Lavoisiera","pulchella","Lavoisiera pulchella","Selusniaki, M; Beltrami, L","1775","2007","11","10",NA,"Brasil",NA,NA,NA,"HUCP00013792","Eudicotiledonea",NA,"Cham.","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"Selusniaki, M","Balsa Nova","HUCP00013792","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
