"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","infraspecificEpithet","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","498496","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","L. B. Smith; S. F. Smith","G. G. Hatschbach","15438","1966","12","13","South America","Brazil","Paraná","Palmas","Palmas","-51.9906","-26.4844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498496","NY00498496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498503","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.",NA,"L. Riedel","1531","1831",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498501","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","H. O. Sleumer","F. C. Hoehne","252","1917","06",NA,"South America","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498558","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.",NA,"Collector info in notes","1531","1833","11",NA,"South America","Brazil",NA,NA,"Mugi et St. Paul",NA,NA,"sheet","[collector not specified, but is probably Riedel; collection number and date matches several other specimens] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","498500","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","T. M. Pedersen","T. M. Pedersen","12603","1979","12","02","South America","Brazil","Rio Grande do Sul","Sao Lourenço do Sul","Main road from Pelotas to Porto Alegre, between arroio S. Isabel & R. Camaqua (km 167)","-51.9781","-31.3656","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498500","NY00498500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498498","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","O. A. Guimarães","O. A. Guimarães","s.n.","1991","11","22","South America","Brazil","Paraná","Lapa","Reserva Florestal Passa Dois","-49.37","-25.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498498","NY00498498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","498497","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","M. Sobral","M. Sobral","5454","1987","01",NA,"South America","Brazil","Rio Grande do Sul","Capao do Leao","Horto Florestal UFPel, Capao do Leao","-52.4839","-31.7633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498497","NY00498497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","498495","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","B. Rambo","J. da Costa Sacco","669","1957","11","27","South America","Brazil","Rio Grande do Sul","Pelotas","I.A.S. - Pelotas. Dentro do Canal de ligaçao com o Arroio do Pe. Doutor","-52.3422","-31.7719","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498495","NY00498495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","498440","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","F. Zapata","L. Riedel","32",NA,NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498440","NY00498440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","498502","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","chlorophylla","Escallonia chlorophylla","Cham. & Schltdl.","H. O. Sleumer","L. Riedel","1531","1833",NA,NA,"South America","Brazil","São Paulo",NA,"Inter Mugi et St. Paul",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498502","NY00498502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
