"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","monthIdentified","class","coordinatePrecision","geoFlag","dayIdentified","individualCount","fieldNumber"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2425","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro ex Döll) Ekman","L. B. Smith","1957","L. B. Smith; R. Klein","1957","03","13","Brasil","Santa Catarina","Mafra","-49.808889","-26.116389","49º48'32''W","26º6'59''S","806","806","CRI006722","CRI006722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:51-03","UNESC","CRI","2429","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro ex Döll) Ekman","L. B. Smith",NA,"L. B. Smith; R. M. Klein","1957","02","01","Brasil","Santa Catarina","Campo Alegre","-49.265833","-26.193056","49º15'57''W","26º11'35''S",NA,NA,"CRI006721","CRI006721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 13:01:00-02","NY","NYBG","641073","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii",NA,"J. R. Swallen",NA,"L. B. Smith","1957","02","01","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925",NA,NA,"900","900","NY00641073","NY00641073_01","Magnoliophyta","Poales","10530","South America","Lower fazenda of Ernesto Scheide, Campo Alegre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371989' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 13:01:00-02","NY","NYBG","641070","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii",NA,NA,NA,"J. R. Swallen","1946","01","31","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00641070","NY00641070_01","Magnoliophyta","Poales","8385","South America","Estaçao Experimental, Ponta Grossa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371990' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1549934","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro) Ekman","A. M. Cialdella",NA,"H. S. Irwin","1966","02","20","Brazil","Distrito Federal","Brasília","-48.0816667","-15.94305",NA,NA,"1000","1000","NY01549934","NY01549934_01","Magnoliophyta","Poales","13073a","South America","Ca. 25 km S.W. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804824' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 13:01:00-02","NY","NYBG","641071","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii",NA,NA,NA,"G. Davidse","1976","03","10","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"1250","1250","NY00641071","NY00641071_01","Magnoliophyta","Poales","11081","South America","21 km NE of Santa Cecilia along Highway BR-116 to Curitiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371992' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 13:01:00-02","NY","NYBG","641072","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii",NA,"J. R. Swallen",NA,"L. B. Smith","1957","03","13","Brazil","Santa Catarina","Mafra","-49.8053","-26.1117",NA,NA,"800","850","NY00641072","NY00641072_01","Magnoliophyta","Poales","12095","South America","7 km northwest of Mafra on the road to Barracas (20 km)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371988' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","641074","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro) Ekman",NA,NA,"M. A. Chase","1925","03","07","Brazil","Minas Gerais","Lavras","-44.99889","-21.24635",NA,NA,NA,NA,"NY00641074","NY00641074_01","Magnoliophyta","Poales","8762","South America","Lavras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371991' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:26-03","EAO","IAN","64906","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro) Ekman","Boechat, SC","1987","Ule, EHG","1894","03",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"2000","2000","IAN064906",NA,"Monocotiledônea",NA,"239","Southern America","Campos de Itatiaia.",NA,NA,"06",NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:26-03","EAO","IAN","66737","PreservedSpecimen","Plantae","Poaceae","Gymnopogon","burchellii","Gymnopogon burchellii","(Munro) Ekman",NA,NA,"Brade, AK","1936","02","26","Brasil","Mato Grosso","Itatiaia",NA,NA,NA,NA,NA,NA,"IAN066737",NA,"Monocotiledônea",NA,"15133a","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
