"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","day","barcode","imagecode"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","6","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","atalaiaense","Nidularium atalaiaense","E.Pereira & Leme","Elton. C. M. Leme","2009","05","Elton M. C. Leme;","1980","01","Brasil","Rio de Janeiro","Arraial do Cabo","pontal do Atalaia","-42.0278015136719","-22.966100692749","25964","1","254","auto",NA,NA,NA,NA,NA
"2","2021-01-14 15:25:59-03","MN","R","225661","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","atalaiaense","Nidularium atalaiaense","E. Pereira & Leme","Silva, B.R.","2001","06","Alves, R.J.V.","1999","03","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto","19","6585","23","R010002641,R010002642,R010002643","R010002641 R010002642 R010002643"
"3","2021-01-14 15:25:59-03","MN","R","225660","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","atalaiaense","Nidularium atalaiaense","E. Pereira & Leme",NA,NA,NA,"Ghizi, A.C.","2000","05","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto",NA,"328","20","R010002638,R010002639,R010002640","R010002638 R010002639 R010002640"
