"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","typeStatus","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","1948","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","serratifolius","Croton serratifolius","Baill.","R. J. Downs","R. Reitz; R. M. Klein","1962","10","26","Brasil","Santa Catarina","Irineópolis","-50.8025","-26.238611","50º48'9''W","26º14'19''S","CRI002376","CRI002376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504117","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus","Baill.","L. B. Smith","R. Reitz","1962","10","26","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY00504117","NY00504117_01","Magnoliophyta","Malpighiales","13608","South America","Fazenda Frei Rogério, Porto Uniao","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54426' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504116","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus","Baill.","L. B. Smith; R. J. Downs","L. B. Smith","1956","12","17","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY00504116","NY00504116_01","Magnoliophyta","Malpighiales","8635","South America","East of Valoes (Irineópolis) on the road to Canoinhas","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54425' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","504115","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus","Baill.","L. B. Smith; S. F. Smith","G. G. Hatschbach",NA,NA,NA,"Brazil","Paraná","Uniao da Vitória","-51.0864","-26.23",NA,NA,"NY00504115","NY00504115_01","Magnoliophyta","Malpighiales","14889","South America","Estr. para Porto Vitoria",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504114","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus","Baill.","G. G. Hatschbach","G. G. Hatschbach","1969","10","28","Brazil","Paraná","Paula Freitas","-50.9381","-26.2083",NA,NA,"NY00504114","NY00504114_01","Magnoliophyta","Malpighiales","22726","South America","Rio S'Ana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54427' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 02:16:00-03","NY","NYBG","504118","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus",NA,"S. L. Ginzbarg","S. L. Ginzbarg","1987","02","15","Paraguay","Amambay",NA,"-56.02","-22.67",NA,NA,"NY00504118",NA,"Magnoliophyta","Malpighiales","523","South America","Pq. Nac. Cerro Corá. 1,5 km al N de la casa del guarda parque. Sendero a Cerro Muralla, 0.1 km del camino",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54423' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504335","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","pimeleus","Croton pimeleus","Baill.","L. B. Smith","L. B. Smith","1965","01","19","Brazil","Paraná","Sengés","-49.37","-24.13",NA,NA,"NY00504335","NY00504335_01","Magnoliophyta","Malpighiales","14845","South America","Fazenda Morungava, Rio Funil","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182727' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4133854","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","serratifolius","Croton serratifolius","Baill.",NA,"W. D. Stevens","1994","10","13","Paraguay","Amambay",NA,"-55.98","-22.65",NA,NA,"NY04133854",NA,"Magnoliophyta","Malpighiales","26061","South America","Parque Nacional Cerro Corá, Cerro Muralla, cerrado entre camino y bosque.","180","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4454897' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1065332","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","serratifolius","Croton serratifolius","Baill.","P. E. Berry","A. C. Allem","1976","12","11","Brazil","Mato Grosso","Miranda",NA,NA,NA,NA,"NY01065332","NY01065332_01","Magnoliophyta","Malpighiales","686","South America","16km da Estação ferroviária de Guaicurus. Estrada Guaicurus-Vila Pres Médici-Serra da Bodoquena.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228927' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:38:21-03","EAO","IAN","73108","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","corrientesianus","Croton corrientesianus","Baill.",NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN073108",NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:38:21-03","EAO","IAN","5283","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","garckeanus","Croton garckeanus","Baill.",NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005283","IAN005283_ft","Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:38:21-03","EAO","IAN","73145","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","pimeleus","Croton pimeleus","Baill.",NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN073145",NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
