"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3888","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ramiflora","ramiflora","Cassia ramiflora ramiflora","Vogel","isotype","F. Sellow","s.n.","1838","04","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003888","NY00003888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1746428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ramiflora","amazonica","Cassia ramiflora amazonica","H.S.Irwin","isotype","E. Pereira","3213[=herb. RB 101542]","1957","10","South America","Brazil","Icoaracy [=Icoaraci]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1960926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746428","NY01746428_01","05","Pará","Belém","-48.5043983459473","-1.4558299779892","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3889","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ramiflora","trijuga","Cassia ramiflora trijuga","Vogel","isotype","F. Sellow","s.n.",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003889","NY00003889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3888","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ramiflora","ramiflora","Cassia ramiflora ramiflora","Vogel","isotype","F. Sellow","s.n.","1838","04","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003888","NY00003888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","633871","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis","plurifoliolata","Chamaecrista ensiformis plurifoliolata","(Hoehne) H.S.Irwin & Barneby",NA,NA,"18","1930","08","South America","Brazil","Posse - Avellar - E. do Rio","sheet","Coll. Serviço de Reflorestamento <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633871","NY00633871_01","30","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 19:07:00-03","NY","NYBG","1581368","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis",NA,"Chamaecrista ensiformis",NA,NA,"I. G. Vargas Caballero","636","1990","06","South America","Bolivia","Loc. Perseverancia, orillas del Río Negro, 10 km río abajo de Perseverancia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1888082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581368","NY01581368_01","16","Santa Cruz","Ñuflo de Chávez","-62.62","-14.63",NA,NA,"R. C. Barneby","257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","515324","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis","ensiformis","Chamaecrista ensiformis ensiformis","(Vell.) H.S.Irwin & Barneby",NA,"R. S. Pinheiro","2302","1973","11","South America","Brazil","Rod. Linhares para Povoaçao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00515324","NY00515324_01","26","Espírito Santo","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","515326","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis","ensiformis","Chamaecrista ensiformis ensiformis","(Vell.) H.S.Irwin & Barneby",NA,"A. M. Amorim","1606","1994","03","South America","Brazil","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una. Fazenda Maruim e Dois de Julho, ao Fundo da Reserva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00515326","NY00515326_01","22","Bahia","Una","-39.08","-15.15",NA,NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","633870","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis","plurifoliolata","Chamaecrista ensiformis plurifoliolata","(Hoehne) H.S.Irwin & Barneby",NA,"G. Machado Nunes",NA,"1930",NA,"South America","Brazil","Avella (Estado do Rio)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633870","NY00633870_01",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1135519","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ensiformis","maranonica","Chamaecrista ensiformis maranonica","(H.S.Irwin) H.S.Irwin & Barneby",NA,"G. T. Prance","58956","1964","08","South America","Brazil","10 km south of Gurupi, Belém-Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135519","NY01135519_01","30","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
