"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","414817","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.","C. Van den Berg","R. de Lemos Fróes","20181","1943","02","18","South America","Brazil","Bahia","Mucugê","Serra Sincorá, Mucugê","-41.3706","-13.0056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414817","NY00414817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547451","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","velutina","Cattleya velutina lietzei","Regel",NA,"Lietze","s.n (LE)",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547451","NY00547451_01","lietzei","photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547450","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","velutina","Cattleya velutina punctata","Regel",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547450","NY00547450_01","punctata","photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547451","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","velutina","Cattleya velutina lietzei","Regel",NA,"Lietze","s.n (LE)",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547451","NY00547451_01","lietzei","photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547450","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","velutina","Cattleya velutina punctata","Regel",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547450","NY00547450_01","punctata","photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:48-03","MN","R","35644","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb. f.",NA,"Travassos",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:48-03","MN","R","35651","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb. f.","Hoehne, F.C.","Hoehne, F.C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:16-03","FFCLRP","LBMBP","120","S","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","23272",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Lindl.","A. P. Fontana/27-02-2004","A. P. Fontana; et al","748","2004","02","27",NA,"Brasil","Espírito Santo","Santa Teresa","Bairro do Eco","-40.595833","-19.931667",NA,"Epífita, flores c/ pétalas e sépalas amarelas alaranjadas c/ pintas vermelhas, labelo branco c/ base amarela c/ estrias lilás ápice amarelado.","MBML023272","MBML023272",NA,NA,"40W35'45","19S55'54",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","38414",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.","D. R. Couto - 8/2/05","D.R. Couto","237","2005","02","08",NA,"Brasil","Espírito Santo","Mimoso do Sul","Santa Luzia/ Estivado- Conceição de Muqui","-41.3664016723633","-21.0641994476318",NA,"Holoepífita característica. Flores amarelas maculadas, labelo amarelo com strias roseas. Planta rara nos habitats. Mata Carlos Demartini, vegetando na copa.","MBML038414","MBML038414",NA,NA,NA,NA,"2005","02","08","29430","800","800","auto"
"11","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"ad Serra de Rodeio",NA,NA,NA,NA,NA,"P03P5N0054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"ad Serra de Rodeio",NA,NA,NA,NA,NA,"P03P5N0054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"In sylvis montuosis prope Rodeio prov. Rio de Janeiro",NA,NA,NA,NA,NA,"P03P5N0054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","velutina","Cattleya velutina","Rchb.f.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"In sylvis montuosis prope Rodeio prov. Rio de Janeiro",NA,NA,NA,NA,NA,"P03P5N0054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
