"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","infraspecificEpithet","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","594923","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","M. Sobral","G. G. Hatschbach","14724","1966","09","15","South America","Brazil","Paraná","Morretes","Rio Ipiranga","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594923","NY00594923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145455","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","M. Sobral","J. M. Silva","3060","1999","09","29","South America","Brazil","Paraná","Morretes","Serra da Prata, trilha para o cume","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317238' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145455","NY01145455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557864","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","M. Sobral","G. G. Hatschbach","41785","1978","12","14","South America","Brazil","Paraná","Antonina","Rio Pequena","-48.7117","-25.4286","sheet","Xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557864","NY00557864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558083","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","G. M. Barroso","J. P. P. Carauta","3316","1979","11","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Morro da Urca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558083","NY00558083_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","594892","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","M. Sobral","G. G. Hatschbach","18136","1967","12","14","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594892","NY00594892_01","50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:21:12-03","UFBA","ALCB","86094","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O.Berg","Ribas, OS","Ribas, OS; Lopes, CVG","7879","2007","09","01","Southern America","Brasil","Paraná","Doutor Ulysses","Mata dos Lima, Varzeão","-49.4197006225586","-24.5680999755859",NA,"4 m. Fruto imaturo.; transição Floresta Ombrófila Mista.","ALCB057801",NA,NA,NA,"2008","32237","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:28-03","ESALQ","ESA","98192","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera",NA,"Sobral, M.","Hatschbach, G.","60099.0","1993","11","11",NA,"Brasil","Espírito Santo","Marechal Floriano",NA,"-40.6831016540527","-20.4127998352051",NA,NA,"ESA098192","ESA098192",NA,NA,"2005","23038","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:28-03","ESALQ","ESA","104516","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera",NA,"Aguiar, O.T.","Aguiar, O.T.","1022.0","2002","03","14",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA104516","ESA104516",NA,NA,"2002","27904","auto","03","17",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:28-03","ESALQ","ESA","109390","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera",NA,NA,"Duarte, A.R.","511.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,"ESA109390","ESA109390",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:28-03","ESALQ","ESA","52007","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","capitulifera","Eugenia capitulifera","O. Berg.",NA,"Lima, R.A.F.","438.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"ESA052007","ESA052007","400","400",NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
