"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3384","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros","Carlos A. Ferreira Jr.","2014","04","14","Carlos Alberto F. Jr. ; Fernando Fernandes, João Batista e Bruno Carvalho","CAF1369","2014","04","11","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo das Gerais. Base oeste do Ermo-Açu.","-43.7144012451172","-19.1688995361328","19º 02' 08S","43º 42' 53W","26557","1418","1418","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 01:13:00-03","NY","NYBG","1075111","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Sarcoglottis","rupestris","Sarcoglottis rupestris",NA,"A. J. Steen",NA,NA,NA,"Collector unspecified","75","1969","02","26","Guyana",NA,NA,"Atkinson: St. Cuthbert's Trail, 4.5 miles from highway.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287221' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01075111",NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:52-03","EAO","IAN","56487","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros","Meneguzzo, TEC","2013","12",NA,"Archer, WA","4063","1936","09","24","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"In sand; flr. white.",NA,"Southern America",NA,"IAN056487",NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:52-03","EAO","IAN","120679","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros","Meneguzzo, TEC","2013","12",NA,"Heringer, EP; Belém, RP","9758","1964","08","18","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"70570",NA,NA,"Planta de 50 cm de altura.","auto","Southern America",NA,"IAN120679",NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:52-03","EAO","IAN","166083","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros",NA,NA,NA,NA,"Ribeiro, BGS","2569","1998","02","23","Brasil","Pará","Belém","Planta ornamental coletada no portão da fazenda Pirelli; solo argiloso.","-48.5043983459473","-1.4558299779892",NA,NA,"48462",NA,NA,NA,"auto","Southern America",NA,"IAN166083",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:52-03","EAO","IAN","166015","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros",NA,NA,NA,NA,"Ribeiro, BGS","2501","1998","03","16","Brasil","Pará","Belém","Terra firme, solo arenoso.","-48.5043983459473","-1.4558299779892",NA,NA,"48462",NA,NA,NA,"auto","Southern America",NA,"IAN166015",NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:52:52-03","EAO","IAN","166049","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Veyretia","rupicola","Veyretia rupicola","(Garay) F.Barros",NA,NA,NA,NA,"Ribeiro, BGS","2535","1998","02","28","Brasil","Pará","Bragança","Vila Acarajó, mangual.","-46.7655982971191","-1.05360996723175",NA,NA,"56429",NA,NA,NA,"auto","Southern America",NA,"IAN166049",NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:50-03","NBC","NL-BOTANY","U.1469926","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Orchidaceae","Sarcoglottis","rupestris","Sarcoglottis rupestris","(Lindl.) Barb.Rodr.",NA,NA,NA,NA,"Heyligers PC",NA,"1957","02","01","Surinam",NA,NA,"Prope Jodensavanne (fluv. Suriname).",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1469926 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,"NL-U1469926","NL-U1469926",NA,NA,NA,NA,NA
"9","2020-02-08 08:46:50-03","NBC","NL-BOTANY","U.1469925","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Orchidaceae","Sarcoglottis","rupestris","Sarcoglottis rupestris","(Lindl.) Barb.Rodr.",NA,NA,NA,NA,"Wildschut JT; Teunissen PA",NA,"1967","11","07","Surinam",NA,NA,"NAt res 'Brinckheuvel'-Saban pasi savanne.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1469925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,"NL-U1469925","NL-U1469925",NA,NA,NA,NA,NA
"10","2020-02-08 08:46:50-03","NBC","NL-BOTANY","U.1469927","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Orchidaceae","Sarcoglottis","rupestris","Sarcoglottis rupestris","(Lindl.) Barb.Rodr.",NA,NA,NA,NA,"Kramer KU; Hekking WHAM",NA,"1961","01","27","Surinam",NA,NA,"Zanderij, between Z. and the Cola-kreek.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1469927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,"NL-U1469927","NL-U1469927",NA,NA,NA,NA,NA
