"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1016443","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","L. B. Smith","1758","1929","01","08","South America","Brazil","Rio de Janeiro","Near Rio Campo Belo. Open summit, t. Itatiaya, Estação Biologica.","-44.68","-22.42","2000","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016443","NY01016443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016445","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","A. C. Brade","20724","1951","04","25","South America","Brazil","São Paulo","Serra da Bocaina. Alto da Boa Vista.","-44.660221","-22.775041","1900","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178084' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016445","NY01016445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1016446","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","A. C. Brade","20303","1950","05",NA,"South America","Brazil","Rio de Janeiro","Agulhas.","-44.5631","-22.4961","2500","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016446","NY01016446_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016447","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","A. C. Brade","10124","1903","04",NA,"South America","Brazil","Rio de Janeiro",NA,"-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178091' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016447","NY01016447_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807664","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","A. C. Brade","15512","1937","03",NA,"South America","Brazil","Rio de Janeiro",NA,"-44.5631","-22.4961","2200","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807664","NY00807664_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2240816","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","J. Prado","1121","2000","06","21","South America","Brazil","Rio de Janeiro","Parque Nacional do Itatiaia, subida do Pico das Agulhas Negras","-44.67","-22.38","2397","2397","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2668814' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240816","NY02240816_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039741","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","E. Schuettpelz","1443","2010","01","20","South America","Brazil","Rio de Janeiro","Serra da Mantiqueira. Itatiaia National Park (lower portion), off Estrada do Parque Nacional (BR-485), SE of ranger station and microwave tower, in Planalto do Itatiaia.","-44.68133","-22.38466","2410",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490706' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039741","NY01039741_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02696787","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","F. B. Matos","2204","2013","02","12","South America","Brazil","Rio de Janeiro","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para o Pico Asa de Hermes.","-44.675","-22.3839","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974254' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696787","NY02696787_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02703504","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","S. J. da Silva Neto","568","1995","05","22","South America","Brazil","Rio de Janeiro","Estrada para o Pico das Agulhas Negras. Parque Nacional do Itatiaia","-44.566667","-22.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006190' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703504","NY02703504_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02696877","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","F. B. Matos","2210","2013","02","12","South America","Brazil","Rio de Janeiro","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para o Pico das Agulhas Negras","-44.6711","-22.385","2410",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974439' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696877","NY02696877_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1016444","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","P. von Luetzelburg","18917","1910","11",NA,"South America","Brazil","Rio de Janeiro","Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016444","NY01016444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","144425","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","itatiaiensis","Pellaea itatiaiensis","Fée","A. F. M. Glaziou","5345",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","These two leaves came from Fée. Annotation by R. M. Tryon, 1941: This is probably authentic material. Glaziou 5345 is the type number of Pellaea crenulans and Glaziou 5348 is the type number of Pellaea itatiaiensis. I suspect Underwood made an error in the number as he also has a packet of Doryopteris crenulans: Pellaea crenulans, Glaziou 5345, ex Fée. [see NY 144422]. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144425","NY00144425_01",NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:20:47-03","UFRJ","RFA","43072","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ","Guarnier, G.B.; Oliveira, R.G.","s.n.","2018","09","21",NA,"Brasil","Rio de Janeiro","Base das Prateleiras, entre a Pedra da Maçã e Pedra da Tartaruga","-44.668056","-22.398611","2434","2434",NA,"Habitat: Solo pedregoso Habito: Herbáceo","RFA42921",NA,"Itatiaia",NA,"Oliveira, R.G. & Guarnier G.B.","2018","09","26","44º40'5''W","22º23'55''S",NA,NA,NA,NA,NA,NA
"14","2021-04-08 20:48:41-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05337","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ.","Máximo F. Morel","116","1990","02","11","América do Sul","Brasil","Rio de Janeiro","estrada para A. Negras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"GEOGRAFIA: heliófita na base da pedra;",NA,NA,"Itatiaia",NA,"Silvestre, L.S.",NA,NA,NA,NA,NA,"Polypodiopsida","19648","auto",NA,NA,NA
"15","2021-04-08 20:48:41-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","03524","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ.","P.G. Windisch","053","1970","02","05","América do Sul","Brasil","Rio de Janeiro","estrada para A. Negras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"GEOGRAFIA: planalto;",NA,NA,"Itatiaia",NA,"P.G. Windisch",NA,NA,NA,NA,NA,"Polypodiopsida","19648","auto",NA,NA,NA
"16","2020-02-08 10:42:34-03","NBC","NL-BOTANY","U.1041719","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ","Brade AC",NA,"1937","03","01","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041719","NL-U1041719",NA,NA,"Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida",NA,NA,"U 0015934",NA,NA
"17","2020-02-08 10:42:34-03","NBC","NL-BOTANY","U.1041720","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ","Camerik AM",NA,"1975","03","15","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041720 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041720","NL-U1041720",NA,NA,"Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida",NA,NA,"U 0015930",NA,NA
"18","2020-02-08 10:42:34-03","NBC","NL-BOTANY","U.1041721","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ","Camerik AM",NA,"1975","03","15","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041721 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041721","NL-U1041721",NA,NA,"Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida",NA,NA,"U 0015861",NA,NA
"19","2020-02-08 10:42:34-03","NBC","NL-BOTANY","U.1041724","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","(Fée) Christ","Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041724 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041724","NL-U1041724",NA,NA,"Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida",NA,NA,"U 0015935",NA,NA
"20","2021-01-14 15:33:18-03","MN","R","237954","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Lytoneuron","itatiaiense","Lytoneuron itatiaiense","(Fée) Yesilyurt","Gonçalves, M.T.A.; Azevedo, V.M.",NA,"2019","09","05",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia","-44.66864","-22.39475","2381","2381",NA,NA,"R010071340","R010071340","Itatiaia",NA,"Gonçalves, M.T.A & Azevedo, V.M.","2019","09","10","-44.66864","-22.39475",NA,NA,NA,NA,NA,NA
"21","2019-08-27 13:36:18-03","IAP","PACA-AGP","77789","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","Fée) Christ","Sehnem, A.",NA,"1967","02","03",NA,"Brasil","RJ","Serra do Itatiaia abrigo Reboucas",NA,NA,NA,NA,NA,"Confirmado por J. Cislinski-Yesilyurt em 2005 Habitat: inter rupes","PACA077789",NA,NA,NA,"Sehnem",NA,NA,NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"22","2019-08-27 13:36:18-03","IAP","PACA-AGP","77790","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","Fée) Christ","Strang","25751","1966","12","30",NA,"Brasil","RJ","Itatiaia - Abrigo Reboucas",NA,NA,NA,NA,NA,"Confirmado por J. Cislinski-Yesilyurt em 2005","PACA077790",NA,NA,NA,"Sehnem",NA,NA,NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"23","2019-08-27 13:36:18-03","IAP","PACA-AGP","98608","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","itatiaiensis","Doryopteris itatiaiensis","Fée) Christ","Sehnem, A.","9065",NA,NA,NA,NA,"Brasil","RJ","Serra do - Abrigo Rebouças","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Habitat: Inter rupes","PACA098608",NA,"Rio de Janeiro",NA,"A. Sehnem",NA,NA,NA,NA,NA,"Filicopsida","57442","auto",NA,NA,NA
