"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","county","coordinatePrecision","geoFlag","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","885135","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","H. N. Moldenke; B. A. Krukoff","F. C. Hoehne","946","1917","11","24","South America","Brazil","São Paulo","Butantan.","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:29-03","UFRJ","RFA","19507","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Mello Barreto","Rennó","2","1942",NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.6697006225586","-19.8799991607666",NA,NA,"RFA45925","Caeté","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:20-03","UFRJ","RFA","19751","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","G.G. Hatschbach","G.G. Hatschbach","40218","1977","10","05",NA,"Brasil","Paraná","Rio Turvo","-49.261100769043","-24.823600769043",NA,"trepadeira lenhosa, flores creme, botões verdes","RFA45927","Cerro Azul","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:29-03","UFRJ","RFA","6989","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Smith, L.B.","Klein, R.","1458",NA,NA,NA,NA,"Brasil","Santa Catarina","Morro da Ressacada","-48.6618995666504","-26.9078006744385",NA,"Liana; fruto imaturo, verde","RFA45918","Itajaí","27253","auto","1956","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:45:08-03","EAO","IAN","82113","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Krukoff, BA","Mexia, Y","4456","1930","03","12","Southern America","Brasil","Minas Gerais","Agricultural College lands; Cha-Cha Valley; near boundary Cut-over woods.",NA,NA,NA,"Woody vine, climbing 10m. Fruit green; said to be yellowush when ripe and to be edible.","IAN082113",NA,NA,NA,"1967","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:45:08-03","EAO","IAN","13908","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Krukoff, BA","Magalhães, MG","2388","1942","11","23","Southern America","Brasil","Minas Gerais","Córrego do Marimbondo.","-43.6697006225586","-19.8799991607666",NA,"Trepadeira, flores esverdeadas, muito frequente.","IAN013908","Caeté","22051","auto","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:45:08-03","EAO","IAN","15120","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Krukoff, BA","Oliveira, JE de","s.n.","1941","05","09","Southern America","Brasil","Minas Gerais","Mata, Fazenda das Antilhas.","-42.0228004455566","-20.9046993255615",NA,"Trepadeira, pouco frequente.","IAN015120","Tombos","16749","auto","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:28-03","PUCPR","HUCP","22230","S","Plantae","Eudicotiledonea",NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler.","Hatschbach, GG","Silva, JM; Cordeiro, J","6183","2007","11","13",NA,"Brasil","Paraná",NA,"-48.9911003112793","-24.6571998596191",NA,NA,"HUCP00014243","Adrianópolis","49901","auto",NA,NA,NA,"HUCP00014243",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:47-03","UFBA","ALCB","86965","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Abuta","selloana","Abuta selloana","Eichler","Hatschbach, G","Cordeiro, J; Silva, JM","6183","2007","11","13","Southern America","Brasil","Paraná","Fazenda Mato Preto","-48.9911003112793","-24.6571998596191",NA,"flor amarela","ALCB021080","Adrianópolis","49901","auto","2008",NA,NA,"ALCB021080",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:44-03","NBC","NL-BOTANY","L.1746433","PreservedSpecimen","Plantae",NA,"Ranunculales","Menispermaceae","Abuta","selloana","Abuta selloana","Eichler",NA,"Reitz R; Klein RM",NA,"1959","10","22","Southern America","Brazil",NA,"Plantas de Santa Catarina- Brasil. Mata da Companhia Hering, Bom Retiro, Blumenau Capoeirão.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1746433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1746433",NA,NA,NA,NA,NA,NA,"NL-L1746433","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
